id,en,jp,trans
0-synopsis,,帝国兵の青年ユーリは、遊んでばかりの同僚に愛想を尽かし、単独行動に出る。ユーリが一人で哨戒を行っていると、思いがけず脱走兵ファラと遭遇する。ファラが、同じく脱走兵であるカタリナ中尉と行動を共にしていると知ったユーリは、二人を帝国に連れ戻して手柄を立てる事を思いつくのであった。, 年轻帝国兵的尤利，对心里只想着玩乐的同僚感到烦厌、选择独自一人行动。当尤利自己一人放哨的时候，突然间碰见了逃兵法拉。知道了法拉正在和同为逃兵的卡塔莉娜中尉一起行动的尤利，开始考虑怎样把她们两人带回帝国来为自己增添一份功积。翻译报错到NGA@mirror0420
0,,<span class='scene-font-place'>アウギュステ列島</span><span class='scene-font-katari'>の首都、ミザレア。</span>,<span class='scene-font-place'>奥古斯都列岛</span><span class='scene-font-katari'>的首都，米莎蕾亚。</span>
1,,<span class='scene-font-katari'>平和に見えるこの地で、</span><br><span class='scene-font-katari'>エルステ帝国軍による大規模な</span><br><span class='scene-font-katari'>軍事行動が行われようとしていた。</span>,<span class='scene-font-katari'>在这个看上去很和平的地方</span><br><span class='scene-font-katari'>埃尔斯特帝国军</span><br><span class='scene-font-katari'>正打算展开大规模的军事行动。</span>
2,,いいか！　貴様ら！<br>この作戦が成功すれば帝国軍は<br>さらに活動空域を広げる事ができる！, 你们！听好了！ <br>只要这次行动能够成功<br>我们帝国军就能扩张活动空域！
3,,はっ！, 知道！
4,,主要作戦の概要は追って指示する！<br>まずは作戦前の準備段階として<br>作戦区域の哨戒行動にあたれ！, 主要作战的指示之后再说！<br>作为作战前的准备<br>需要对作战区域进行哨戒！
5,,ジック、ハーパー、ユーリで班を組め！<br>貴様らは海岸の状況の調査！<br>魔物の分布を見極めろ！, 吉克，哈波，尤利组成一队！<br>你们去调查海岸的情况！<br>弄清楚魔物的分布！
6,,いいか！　貴様ら！<br>海に来たからといってはしゃぐなよ！<br>気持ちはわかるが！, 你们！听好了！<br>不要因为来到海边就像疯了一样玩闹！<br>我理解你们很兴奋！
7,,サー！　イエス！　サー！, SIR！ YES!  SIR!
8,,総員、散開！, 全员，解散！
11,,さて、何から始めるか……, 那么，先从什么开始好呢……
12,,釣りだな！, 当然是钓鱼！
13,,いんや、泳ぐべ～, 不對，游泳呗。
14,,<span class='scene-font-kokoro'>（言われた側からこいつらは……！）</span>,<span class='scene-font-kokoro'>（队长才刚说完你们这些家伙……！）</span>
15,,どうする、ユーリ？, 你想玩什么，尤利？
