id,en,jp,trans
0-chapter_name,,第5話 水神を呼びし者, 第5话  被称为水神的他
0-synopsis,,帝国軍は、星晶獣ポセイドンによって破壊されようとしている島から脱出する準備を進めていた。ユーリは、騎空艇に乗って去ろうとするポンメルンを追う。怒りを露わにするユーリに対し、ポンメルンは魔晶の怪物へと変化し立ちはだかる。人を異形にしてしまう帝国の非道さを目の当たりにし、ユーリはさらに怒りを燃やすのだった。, 帝国军正在、准备逃难将要被星晶兽波塞顿破坏的这个岛。尤利他、正在追着乘骑空艇而去的伯梅伦。面对愤怒的尤利、伯梅伦使用魔晶变成了怪物和他战斗。目睹了帝国这种把人变成怪物的事实、尤利的怒火变得更激烈了。<br>翻译报错到NGA@mirror0420
0,,おや？<br>騎空艇の準備が整ったようですネェ。, 哦？<br>骑空艇的准备好像差不多完成了、呢。
1,,撤収！　撤収ですネェ！, 撤退！　撤退了、呢！
2,,逃がすか！<br>お前ら！　どけ！, 不会让你跑的！<br>你们！　躲开！
3,,おやおや……そんなに吾輩を追って<br>何をしたいんですかネェ……, 哎啊哎……这么想追上我<br>想做什么、呢……
4,,お前のような外道は……<br>一発殴らせてもらう！, 像你这样的邪道……<br>我要送你一拳！
5,,裏切り者の一兵卒が<br>随分と思い上がったものですネェ……<br>いいでしょう！, 一个杂兵背叛者<br>想法倒是挺嚣张的、呢……<br>好吧！
6,,貴様の知らない帝国の姿……<br>もう一つ見せてあげますネェ！, 就让你多看一些……<br>你所不知道的帝国、呢！
10,,……っ！<br>なんだよ……これは……！<br>ポンメルン大尉……なのか？,……！……！<br>这……是什么…！<br>他是……伯梅伦大尉吗？
11,,人をこんな姿に変えるなんて……<br>帝国って奴は<br>どこまで道を外れてやがる！, 居然把人类改造成这个模样……<br>帝国到底<br>行差踏错到哪里去了啊！
12,,畜生！　ますます許せねえ！, 可恶！　越来越不能饶恕了！
13,,恐れ慄け！<br>これが帝国の誇る魔晶技術の結晶！<br>ですネェェェーーーーッ！！！<br>,恐惧吧！<br>这就是帝国引以为傲的魔晶技术了！<br>呢ーーーー！！！
info,,1,scene_evt140930_cp5_q4_s20
