path,trans,duration,note
voice/3040147000_s1_halloween5,万圣节快乐！,2,万圣
voice/3040147000_s1_halloween6,不给糖就捣蛋！,3,
voice/3040147000_s1_halloween7,团长，你怎么还穿这身衣服？跟我一起准备变装吧。\n既然要做，就要全力享受！,11,
voice/3040147000_s1_christmas7,圣诞快乐！,2,圣诞
voice/3040147000_s1_christmas8,哼哼哼~啊，团长！\n等开始下雪，我准备和嘉尔一起玩雪上相扑大会，团长你也来参加吧~,12,
voice/3040147000_s1_newyear5,新年快乐！,2,新年
voice/3040147000_s1_newyear6,一到正月，我就想吃阿妮拉姐姐做的年节菜啊。,6,
voice/3040147000_s1_valentine6,情人节快乐！,2,情人节
voice/3040147000_s1_valentine7,嗅嗅~到处都是甜甜的香味啊~这就是情人节吗？,8,
voice/3040147000_s1_whiteday7,白色情人节快乐！,2,白情
voice/3040147000_s1_whiteday8,呼，花味道好香~,7,
voice/3040147000_mypage1,按照族里的传统，我从很~小的时候，就和刚出生不久的卡鲁见面了，从那以后就一~直在一起。恩所以，最了解卡鲁的是我，最了解我的也是卡鲁！,19,
voice/3040147000_mypage2,卡鲁和小狗狗们当然都是家人，不过和十二神将的大家也有这种感觉，明明没有经常见面来着，很神奇吧？,12,
voice/3040147000_mypage3,喝！哈！咤！啊团长~来得正好！一起锻炼吧！卡鲁和团长对上我这样上吧！来嘛来嘛快点！,14,
