path,trans,duration,note
voice/3030026000_Halloween2b,万圣节快乐！,2,万圣
voice/3030026000_Halloween1,不给糖就捣蛋！,2,
voice/3030026000_Halloween3b,万圣节快乐！\n虽然静静地追思去世的人也是个好方法，但像这样热闹也不错。\n我想让爸爸妈妈看看我现在精神奕奕的样子。,15,
voice/3030026000_Xmas1,圣诞快乐!,2,圣诞
voice/3030026000_Xmas2,圣诞快乐！\n光是看到华丽的装饰我就很开心了！\n说起来，爷爷说他见过圣诞老人，是真的吗？,15,
voice/3030026000_newyear1,新年快乐！,2,新年
voice/3030026000_newyear2,新年快乐。新的一年开始了呢。\n就像与你一起出来旅行一样，今年我想再次挑战新的东西。,12,
voice/3030026000_Valentine1,情人节快乐！,2,情人节
voice/3030026000_Valentine2a,情人节啊。……你，喜欢甜食吗。……是吗。……如、如果方便的话，你愿不愿意等会和我一起吃点心？我做了糖果，还会泡茶。……怎么样？,22,
voice/3030026000_whiteday1,白色情人节快乐！,2,白情
