path,trans,duration,note
voice/3040049000_birthday2,Happy Birthday！,1,生日
voice/3040049000_birthday1,生日快乐！,1,
voice/3040049000_Halloween2,万圣节快乐！,2,万圣
voice/3040049000_Halloween1,不给糖就捣蛋！,2,
voice/3040049000_Halloween3,万圣节快乐！呵呵，看着变了装的孩子们开心的样子，我也开心了。\n欸？你问我要不要变装？那个我实在是很不好意思啊。,19,
voice/3040049000_Xmas1,圣诞快乐！,2,圣诞
voice/3040049000_Xmas2,圣诞快乐！\n我明明已经成为大人很久了，平安夜还是让我有点激动啊。\n我能在树上再加点装饰吗？,14,
voice/3040049000_newyear1,恭贺新年！,2,新年
voice/3040049000_newyear3,新年快乐！\n能和你一起迎接新的一年，我很高兴。今年也一起努力修行吧。,10,
voice/3040049000_Valentine1,情人节快乐！,2,情人节
voice/3040049000_Valentine2,情、情人节……快乐……\n那个……可能跟我的年龄不太相称，不过我准备了巧克力。\n这是对平日承蒙关照的谢意，我想你应该收到很多人的巧克力了，不过能请你收下吗？,27,
voice/3040049000_Valentine3,情人节快乐！\n一直以来辛苦了。平日承蒙关照，这是我给你的礼物。希望你能吃点甜食养精蓄锐。\n不太过努力，偶尔休息也是很重要的。,20,
voice/3040049000_whiteday1,白色情人节快乐！,2,白情
voice/3040049000_whiteday2,白色情人节快乐！\n嗯，我从铳工房的姐妹们那里收到了友情？巧克力。\n虽然有点晚了，我烤了曲奇作为返礼。烤了很多，你也要吃一点吗？,20,
