id,en,jp,trans
0-chapter_name,,その威を示し、王たれと,王者，示其威也。
0-synopsis,,最後にソーンの前に現れたのは、十天衆頭目・シエテだった。いつものように軽い口調で話しかけるシエテだが、ソーンはそんなシエテを突っぱねる。話が通じないことを悟ったシエテは、実力行使でソーンを止めにかかる。,最后在索恩面前出现的是，十天众头目希耶提。像平时一样一直都是轻浮腔调的希耶提向索恩搭话，但是索恩对着这样的希耶提开门见山说明了本意。在知道沟通没法解决问题的希耶提，打算用武力阻止索恩。
2,,やーっと見つけたよ、ソーン。,终于让我找到你了，索恩。
3,,シエテ……,希耶提……
4,,戦うのもいいけどさ、<br>もっと違う交流もしたいなぁ。俺は。,打架倒是可以，<br>但是，我想用些更不同的交流方式啊。
5,,ほら、メシとか一緒に行って……<br>飲める奴は酒でも飲んで、<br>そんなのどう？,吼啦，比如说一起去吃个饭……<br>能喝就的人喝点酒<br>这样的，怎么样？
6,,…………,…………
7,,雨降って地固まるって言うじゃない？<br>色々揉めたけど、またみんなで<br>仲良くやれると思うんだけどなぁ。,不是有句话叫不打不相识吗？<br>虽然会有各种各样的摩擦，但是这之后<br>我觉得大家还是能再次和好啊。
8,,そういう事を望む時期は終わったの。,期待这种事情的时代已经结束了。
9,,もう話もできない、か……<br>ならば、仕方ない。,看来已经没办法说下去了，吗……<br>既然如此，那就没办法了。
10,,頭目としての責任を果たすため、<br>俺はここでキミを止める。,为了履行作为头目的责任，<br>你就由我来阻止。
13,,十天衆頭目、天星剣王シエテ……<br><span class='scene-font-4'>参る！</span>,十天众头目，天星剑王希耶提……<br><span class='scene-font-4'>前来挑战！</span>
info,,1,scene_ult_chr129_q4_9_s10
