id,en,jp,trans
0-chapter_name,,ソーンの故郷で,重归故里
0-synopsis,,魔物の討伐に成功した一行はソーンの幼馴染の家に招かれ、祝杯をあげる。ソーンは幼馴染や村人との誤解を解き、一行と共に再び空の旅に出る。その後、ソーンは田舎に何度も手紙を送り、返ってきた返事の手紙をシェロカルテから手渡されるたびに、目を輝かせるのだった。,魔物讨伐成功的一行人被索恩的青梅竹马招待到家里，举杯庆祝。索恩解开了与青梅竹马还有村民之间的误会，一行人再次踏上旅行。在那之后，索恩不知给故乡写了多少次信。每次从榭洛科特的手中接到回信时，双眼都闪烁着幸福的光芒。
0,,<span class='scene-font-katari'>かくして外から流れ込んだ魔物達を</span><br><span class='scene-font-katari'>退けたソーン達は、幼馴染の家に招かれ</span><br><span class='scene-font-katari'>食事を楽しんでいた。</span>,<span class='scene-font-katari'>击退了流入到次的魔物们的索恩一行人，</span><br><span class='scene-font-katari'>被青梅竹马招待到家中用餐。</span>
1,,<span class='scene-font-katari'>すると、ソーンの話を聞きつけた</span><br><span class='scene-font-katari'>狩人達が幼馴染の家に押しかけ、</span><br><span class='scene-font-katari'>食事会は騒がしい祝勝会となった。</span>,<span class='scene-font-katari'>接着，在听说了索恩的故事后的</span><br><span class='scene-font-katari'>猎人们也都不请自来，加入到了聚会之中。</span><br><span class='scene-font-katari'>就这样，小小的聚会变成了热闹的庆功会。</span>
2,,わっはっはっは！<br>なんだよ！<br>こいつ中身は昔のままじゃねえか！,啊哈哈哈！<br>什么吗！<br>这家伙不是一点都没变吗！
3,,でしょう？<br>垢抜けたの見て<br>びっくりして損したよ！,对吧？<br>我还以为变时髦了呢<br>结果白吓了一跳。
4,,だよなぁ！　化粧なんかしちまってよ！<br>もっとお高く止まってるのかと<br>思ってたぜ！,就是啊！　我还以为会是化了很多妆<br>长得比原来更高了那样的呢！
5,,ふふ……<br>にぎやかだね。,哈哈……<br>真是热闹啊。
6,,久しぶりだよ、こんなの。<br>みんな魔物にやられて滅入ってたから。,好久没有这么热闹了。<br>之前大家都被魔物纠缠的情绪很低落。
7,,あんた達のお蔭で助かったよ。<br>……ごめんね、冷たくして。,多亏了你们，我们终于得救了。<br>……之前我那么冷漠，真的很抱歉。
8,,ううん。もういい。<br>私の方こそ……,没关系。都已经过去了。<br>而且我也很抱歉……
9,,あ、そうだ。<br>ひとつお願いが……,啊，对了。<br>我有一个小小的请求……
10,,<span class='scene-font-katari'>こうして宴は朝まで続いた。</span><br><span class='scene-font-katari'>日が高くなる頃全員が眠りにつき、</span><br><span class='scene-font-katari'>目を覚ましたのは夕暮れ時。</span>,<span class='scene-font-katari'>就这样宴会一直开到清晨。</span><br><span class='scene-font-katari'>日上三竿时所有人都在睡觉，</span><br><span class='scene-font-katari'>所以当醒过来时已经是傍晚了。</span>
13,,<span class='scene-font-katari'>姬塔達はもう一晩厄介になり、</span><br><span class='scene-font-katari'>その翌朝に村を発ったのであった。</span><br><span class='scene-font-katari'>そして、騎空艇に戻る道中──</span>,<span class='scene-font-katari'>于是姬塔们又叨扰了一晚，</span><br><span class='scene-font-katari'>第二天早上离开村子。</span><br><span class='scene-font-katari'>在回到骑空艇的路上──</span>
14,,えへへ……,嘿嘿嘿……
15,,ソーンさん、嬉しそうです！,索恩姐，看起来很开心啊！
16,,えへへ……<br>昔みたいに、<br>村のみんなと騒げて楽しかった。,嘿嘿嘿……<br>又能像原来一样和村里的大家<br>吵吵闹闹真的好开心。
17,,ったくよぉ……あの村の狩人の連中、<br>怪我してんのによく騒いだなぁ！,真是的……那帮村子里的猎人<br>都受伤了还那么能作！
18,,みんな、ソーンさんと仲直りできて<br>嬉しかったんですよ！,大家能和索恩姐重归于好<br>真的很令人开心啊！
19,,……そう思う？,……看起来是那样吗？
20,,だなぁ。<br>どいつも狩人姉ちゃんの話、<br>聞きたがってたぜ？,是啊。<br>无论是谁都想听<br>猎人姐姐的故事。
21,,…………,…………
22,,結局私、一人で悩んでたんだね。<br>馬鹿らしくなっちゃった。,归根到底是我一个人在烦恼。<br>真的好傻啊。
23,,村にも居場所が無くなったなんて、<br>気のせいだったんだね。,说什么在村里没有容身之地，<br>结果全都是我多心了。
24,,ま、誤解が解けて何よりだぜ！,嘛，误会能解开真是再好不过了！
25,,うふふ……本当に。<br>あ、そうだ。<br>シェロカルテに便箋頼まないと。,哈哈哈……确实是。<br> 啊，对了。<br>得去找榭洛科特要信纸。
26,,うん？　手紙でも書くのか？,嗯？　你要写信吗？
27,,えへへ……<br>幼馴染のあの子が、<br>たまには手紙出せって。,嘿嘿嘿……<br>青梅竹马的那个孩子，<br>有时候会给我来信。
28,,私が村の外でどんな事してるのか<br>知りたいんだって。,说想要知道我在<br>村子外面的地方都做些什么。
29,,姬塔達といれば<br>書く事には困らないし……<br>貴方達の旅に加わって本当によかった。,和姬塔们在一起不会因为<br>不知道写什么而发愁……<br>加入你们的旅行真的是太好了。
30,,<span class='scene-font-katari'>それからソーンは田舎に何度も手紙を</span><br><span class='scene-font-katari'>送り、返ってきた返事を</span><br><span class='scene-font-katari'>シェロから渡されるたび目を輝かせた。</span>,<span class='scene-font-katari'>那之后，索恩不知给故乡写了多少信。</span><br><span class='scene-font-katari'>每次从榭洛科特接到回信时，</span><br><span class='scene-font-katari'>她的双眼中都闪烁着幸福的光芒。</span>
31,,<span class='scene-font-katari'>姬塔達との出会いの末に、</span><br><span class='scene-font-katari'>寂しがり屋の彼女が抱えていた悩みは</span><br><span class='scene-font-katari'>またひとつ消えたのであった。</span>,<span class='scene-font-katari'>在与姬塔们相遇的最后，</span><br><span class='scene-font-katari'>容易感到寂寞的她所怀揣烦恼</span><br><span class='scene-font-katari'>又消失了一个。</span>
info,,1,scene_chr129_q3_s20
