path,trans,duration,note
voice/3040031000_mypage1,呵呵，我的眼睛很厉害吧。\n……不过，没法看见跟大家一样的景色，还是有点……寂寞。,11,终突前
voice/3040031000_mypage2,咦？露莉亚去哪了？我找到一家看起来挺好吃的蛋糕店，想找她一起去……,7,
voice/3040031000_mypage3,呐，姬塔，我喜欢露玛茜群岛的景色。下个目的地选那儿怎么样？呵呵。,8,
voice/3040031000_03_mypage1,我……一直在思考，普通到底是什么……\n村子的普通……城市的普通……如果有什么违反了的话，是不是就没有容身之处了……\n不过，十天众和姬塔的骑空团接受了我的一切，我很高兴。,27,终突后
voice/3040031000_03_mypage2,席尔瓦说我的眼睛很厉害。因为平常跟人提起岛的另一端的人的事情的时候，别人经常会觉得很不愉快，所以我很惊讶她这么说。,12,
voice/3040031000_03_mypage3,因为多管闲事伤害了别人这种事情……不管过了多少年都忘不了呢。,6,
voice/3710072000_mypage1,真开心……谢谢你带我来海边，姬塔。,5,泳装皮
voice/3710072000_mypage2,这个泳装啊，是为了突出十天众的感觉，才选了白色的。不过我曾经犹豫过要不要选黑的……呵呵，好看吗？,10,
voice/3710072000_mypage3,如果有一天……可以和十天众的大家一起来度假就好了……,5,
voice/3040031000_birthday1,Happy Birthday！\n呵呵，我想试试给你个惊喜。,6,生日
voice/3040031000_Halloween1,团长，说说看“不给糖就捣蛋”。\n呵呵，给，糖果。,8,万圣
voice/3040031000_Halloween2,露莉亚酱到哪去了？我买了很多糖果回来……,5,
voice/3040031000_Xmas2,团长！你不和团员一起交换圣诞礼物吗？\n来交换吧！,7,圣诞
voice/3040031000_newyear1,恭贺新年！团长！,3,新年
voice/3040031000_newyear2,我能遇到团长还有露莉亚你们真是太好了，今年也请多关照！,6,
