id,name,text,trans 利兹
0-chapter_name,,憧れの浜辺,憧憬的海边
0-synopsis,,ひと時の休息を求め、ユディスティラ島へ訪れた<span>姬塔</span>たち。バカンスに興味の無いそぶりのレ・フィーエだったが、どういう訳か熱心に吟味して用意した水着を着用していた。どうやら人一倍、この島に訪れるのを楽しみにしていたようだ。レ・フィーエの無駄のない下調べのお陰で、一行はバカンスを思う存分楽しむのだった。,为了暂时休息，而拜访优蒂斯提拉岛的<span>姬塔</span>他们。装作对假期没有兴趣的蕾·芬耶不知为何穿上了经过认真斟酌准备的泳衣。看来她比其他人还要更多一倍期待来到这个岛上。多亏了蕾·芬耶的派上用场的提前调查、一行人充分享受了假期。
0,レ・フィーエ/蕾・芬耶,ふぅん……<br>ここが<span class='scene-font-place'>ユディスティラ島</span>ですのね。,哼……<br>这里就是<span class='scene-font-place'>优蒂斯提拉岛</span>啊。
1,,<span class='scene-font-katari'>険しい旅を続ける</span><br><span class='scene-font-katari'>姬塔一行。</span>,<span class='scene-font-katari'>继续着充满冒险旅途的</span><br><span class='scene-font-katari'>姬塔一行人。</span>
2,,<span class='scene-font-katari'>一行はひと時の休息を求め、</span><br><span class='scene-font-katari'>リゾート地として名高い</span><br><span class='scene-font-place'>ユディスティラ島</span><span class='scene-font-katari'>に降り立った。</span>,<span class='scene-font-katari'>一行人为了暂时休息一下、</span><br><span class='scene-font-katari'>在作为避暑地而出名的</span><br><span class='scene-font-place'>优蒂斯提拉岛</span><span class='scene-font-katari'>降落。</span>
3,カタリナ/卡塔莉娜,ああ、騎空艇の上からでもわかるな、<br>白い砂浜、青い海……<br>実に美しいじゃないか。,啊，即使从骑空艇上也能感受到、<br>这雪白的沙滩、碧蓝的海面……<br>真是美不胜收啊。
4,レ・フィーエ/蕾・芬耶,そ、そうですわね……<br>でも、まぁ、宝石の美しさに比べれば<br>大したことありませんわ。,是、是的呢……<br>不过、比起宝石的耀眼美丽来说<br>这算不了什么了不起的。
5,ビィ/碧,おいおい……<br>せっかく来たんだから、<br>野暮なこと言うもんじゃねーぜ！,喂喂……<br>难得来到这里、<br>就不要说这么不识趣儿的话啦！
6,ルリア/露莉亚,そうですっ！<br>せっかくなんだし、<br>思いっきり楽しみましょう！,就是！<br>难得来了、<br>尽力去享受吧！
7,ルリア/露莉亚,ねっ？　レ・フィーエさん！,对吧？　蕾·芬耶！
8,レ・フィーエ/蕾・芬耶,ふ、ふん……,哼……
11,カタリナ/卡塔莉娜,ふぅ……<br>やはりここまで来ると<br>かなり暑いな……,呃……<br>果然到了这里<br>真是好热啊……
12,ルリア/露莉亚,だ、大丈夫、カタリナ！？<br>無理しちゃだめだよ！？,没、没事吧、卡塔利娜！？<br>别勉强自己啊！？
13,カタリナ/卡塔莉娜,はは……<br>ちょ、ちょっと眩暈がするだけで、<br>どうということも……,哈哈……<br>稍、稍微有点头晕而已、<br>没事儿……
14,レ・フィーエ/蕾・芬耶,まったく……<br>この島でそんな格好をしていては、<br>倒れてしまいますわよ？,真是的……<br>在这个岛上还穿成这样、<br>会热倒的哟？
15,カタリナ/卡塔莉娜,き、君……<br>いつの間にそんな水着を？,你、你……<br>什么时候突然换上了泳装？
16,レ・フィーエ/蕾・芬耶,この島の気候に合わせて<br>よろず屋さんに<br>用意してもらいましたの。,配合这个岛上的天气，<br>让万事屋<br>帮我准备的。
17,レ・フィーエ/蕾・芬耶,け、決してこの島に来るのが<br>楽しみだったとか……<br>そういうのはありませんのよ？,绝、绝不是很期待着<br>来到这个岛上……<br>绝对不是哦。
18,レ・フィーエ/蕾・芬耶,本当は私だって、<br>こんなはしたない格好は……,其实我、<br>穿着这么不体面的衣服……
19,ルリア/露莉亚,でも、レ・フィーエさん、<br>とっても似合ってますよ！<br>可愛いです！,但是、蕾·芬耶、<br>这身非常合适你哦！<br>特别的可爱！
20,レ・フィーエ/蕾・芬耶,え？　そ、そうですの……？<br>まぁ、吟味には時間をかけましたから、<br>当然ですわね。,欸？　是、是这样吗……？<br>姑且是花了时间用心选的<br>也是应当的事。
21,ビィ/碧,島には興味なさそうにしてたくせに、<br>その水着は熱心に選んだんだな！,亏得你好像对岛没兴趣的样子、<br>泳装还是认真选了啊！
22,レ・フィーエ/蕾・芬耶,なっ！？　そ、それはその……<br>王族として無粋な姿を<br>晒すわけにも参りませんし……,啊！？　那、那是因为……<br>作为王族来说<br>不展现自己优雅的身姿是不行的……
23,レ・フィーエ/蕾・芬耶,それに、<br>最近の流行やお値段も考えると、<br>本当に難しくって……,而且、<br>考虑到最近的流行和价格、<br>真是很难办啊……
24,レ・フィーエ/蕾・芬耶,って、違いますわよ！？<br>この島を楽しむための水着を、<br>真剣に悩んでたわけじゃなくて……,欸、别误会哦！？<br>才不是因为很期待来这个岛才<br>为泳衣而烦恼哦……
25,レ・フィーエ/蕾・芬耶,そ、そうそう！<br>姬塔はどう思いますの？<br>この水着について。,对、就是这样！<br>姬塔对于我这身泳衣<br>怎么想？
25-sel1_txt,,<span class='scene-font-katari'>けしからん</span>,<span class='scene-font-katari'>不像话</span>
25-sel2_txt,,<span class='scene-font-katari'>すごく似合ってる</span>,<span class='scene-font-katari'>非常合适哦</span>
27,レ・フィーエ/蕾・芬耶,それは……どういう意味ですの？<br>顔がニヤついてますわよ？,这是……什么意思？<br>你的脸上带着笑哦？
28,レ・フィーエ/蕾・芬耶,ふ、ふん……<br>まぁ、当然ですわ！,哼……<br>当然了！
29,レ・フィーエ/蕾・芬耶,とはいえ、<br>姬塔に褒められるのも、<br>悪い気はしないものですわね。,虽然这么说、<br>被姬塔称赞、<br>也不会觉得不舒服呢。
30,レ・フィーエ/蕾・芬耶,ふふふ……甘いですわね。<br>せっかくのバカンスなんですのよ？,哼哼哼……真是天真啊。<br>这可是难得的假期哦？
31,レ・フィーエ/蕾・芬耶,少しくらい大胆でも<br>きっと罰は当たりませんわ。,稍微大胆一点儿<br>也不会受到处罚哦。
32,レ・フィーエ/蕾・芬耶,こ、これより派手に……？<br>姬塔は、<br>そういうのが好みなんですのね。,比、比这还要再华丽点……？<br>姬塔、<br>喜欢那样子的啊。
33,レ・フィーエ/蕾・芬耶,っと……<br>こんなことを<br>している場合ではありませんわ！,呃……<br>现在不是<br>在意这种事的时候！
34,レ・フィーエ/蕾・芬耶,みなさん！　急ぎますわよ！,大家！　快一点！
