id,name,text,trans 利兹
0-chapter_name,,海色の輝石,海色的輝石
0-synopsis,,魔物を退け、洞窟の行き止まりまで足を踏み入れた<span>姬塔</span>たち。そこでレ・フィーエが目にしたのは、「海色の輝石」を纏ったモフモフの生き物だった。その姿に驚く一行の前に、再び現れたならず者が襲いかかる。,魔物退治后、<span>姬塔</span>他们走到了洞窟的尽头。在此映入蕾·芬耶眼帘的是身上缠绕着海色辉石的毛绒绒的生物。为那姿态所感到惊奇的一行人、受到了再次现身的暴徒们的袭击。
0,ビィ/碧,おっ！<br>この洞窟そろそろ、<br>行き止まりみてーだぞ。,哦！<br>这个洞窟<br>差不多要走到头儿了。
1,レ・フィーエ/蕾・芬耶,ああ……<br>ということは、<br>いよいよ海色の輝石とのご対面が……,啊……<br>这么说来、<br>终于能和海色的辉石见面了……
2,レ・フィーエ/蕾・芬耶,わぷっ！？,哇っ！？
3,レ・フィーエ/蕾・芬耶,な、なんですの！？<br>今のはいったい……,怎、怎么回事！？<br>刚才究竟……
4,？？？,キュー！,啾ー！
5,ルリア/露莉亚,わぁ！<br>可愛いですね！,哇！<br>好可爱！
6,レ・フィーエ/蕾・芬耶,このモフモフですのね……<br>さっき私に突撃してきたのは……,这个毛绒绒的生物……<br>就是刚才朝我冲过来的吗……
7,レ・フィーエ/蕾・芬耶,って……<br>この子が身にまとっている宝石って……,话说……<br>这孩子身上缠着的的宝石是……
8,ルリア/露莉亚,ふわぁ……綺麗な青い色……<br>これ……この子が……？,啊……漂亮的蓝色……<br>这是……这孩子是……？
9,？？？,キュー！,啾！
10,レ・フィーエ/蕾・芬耶,こ、これが海色の輝石なんですの……？<br>でもこれは、<br>この子の身体の一部じゃ……,这、这就是海色的辉石吗……？<br>で但这看上去、<br>是这孩子身体的一部分啊……
11,ならず者/暴徒,ついに見つけたみてぇだなぁ……！,可让我们好找……！
12,レ・フィーエ/蕾・芬耶,貴方……<br>しつこい男は嫌われるって、<br>ご存じありませんの？,阁下……<br>不知道纠缠不休的男人<br>是会被人讨厌的吗？
13,ならず者/暴徒,知ったことか！<br>さぁ、そいつを渡してもらうぜ！,不知道又怎样！<br>快、把那家伙快交过来！
14,？？？,キュー……,啾……
15,レ・フィーエ/蕾・芬耶,この状況で……<br>私達がこの子を、<br>大人しく差し出すと思いますの？,这种情况下……<br>你们觉得我们会把这孩子<br>老老实实地交出来吗？
16,ならず者/暴徒,手荒な真似はしたくねぇんだがなぁ……,我不想对你下狠手……
17,レ・フィーエ/蕾・芬耶,そうですの？<br>私は嫌いじゃありませんわよ？,这样吗？<br>我可是不讨厌的哦？
18,レ・フィーエ/蕾・芬耶,大切なものを守るためなら、<br>どんな荒事にも臨む所存でしてよ！！,为了守护重要之物、<br>不管怎样的粗暴之事我都决心要面对！！
19,ならず者/暴徒,けっ！　その台詞、後悔させてやるぜ！,切！　我要让你为你的这句话而后悔！
20,レ・フィーエ/蕾・芬耶,貴方達にはいまここで、<br>キッチリお仕置きして差し上げますわ！<br>いきますわよ！　姬塔！,我会好好在这里<br>修理一下你们各位的！<br>要上了哦！　姬塔！
info,,,scene_chr067_q3_s10
