id,name,text,trans 利兹
0-chapter_name,,海色の輝石,海色的辉石
0-synopsis,,ユディスティラ島に伝わる「海色の輝石」について、情報を集めるレ・フィーエと<span>姬塔</span>たち。有力な情報を得られずにいる一行に、輝石を狙うならず者たちが襲いかかる。,收集着关于优蒂斯提拉岛上相传的海色的辉石相关情报的蕾·芬耶和<span>姬塔</span>一行人。并没有得到有利情报的他们、被瞄准着辉石的暴徒们袭击了。
0,ルリア/露莉亚,海の色……ですか？,海的颜色……吗？
1,レ・フィーエ/蕾・芬耶,そうですわ……その宝石はまるで<br>この海を閉じ込めたような……<br>そんな色をしているという伝説ですの。,是这样的……那块宝石就宛如<br>把整片海给关进去了一样<br>才形成了这样的颜色。<br>这就是它颜色的传说。
2,,<span class='scene-font-katari'>旅の間隙を縫って、</span><br><span class='scene-font-katari'>リゾート地である</span><span class='scene-font-place'>ユディスティラ島</span><span class='scene-font-katari'>を</span><br><span class='scene-font-katari'>訪れた姬塔一行。</span>,<span class='scene-font-katari'>在旅途中</span><br><span class='scene-font-katari'>来到观光胜地</span><span class='scene-font-place'>优蒂斯提拉岛</span><span class='scene-font-katari'>的</span><br><span class='scene-font-katari'>姬塔一行人。</span>
3,,<span class='scene-font-katari'>その浜辺でレ・フィーエは、</span><br><span class='scene-font-place'>ユディスティラ島</span><span class='scene-font-katari'>に伝わる伝説を</span><br><span class='scene-font-katari'>熱っぽく語っていた。</span>,<span class='scene-font-katari'>在其海边上、蕾·芬耶</span><br><span class='scene-font-katari'>热情地讲述了</span><br><span class='scene-font-place'>优蒂斯提拉岛/span><span class='scene-font-katari'>上的传说</span>
4,レ・フィーエ/蕾・芬耶,私も初めてその存在を知った時は、<br>心底驚いたものですわ……,我最初知道的时候也是、<br>打心底感到震惊……
5,レ・フィーエ/蕾・芬耶,全空の輝石の集約地とも呼べる<br><span class='scene-font-place'>宝石境</span>においてすら、<br>誰も見たことがない宝石……,那是甚至连被称为全空宝石聚集地的<br><span class='scene-font-place'>宝石境、<br>的人都没见过的宝石……
6,レ・フィーエ/蕾・芬耶,その青き輝きは、<br><span class='scene-font-place'>ユディスティラ</span>の海を彷彿とさせ、<br>人々を惹きつけてやまない……,那蓝色的光辉、<br>宛若是<span class='scene-font-place'>优蒂斯提拉</span>的海、<br>在不停地吸引着人们……
7,レ・フィーエ/蕾・芬耶,そんな伝説の宝石が、<br>この<span class='scene-font-place'>ユディスティラ島</span>のどこかに、<br>必ずあるはずなんですの。,那传说中的宝石、<br>一定就在这<span class='scene-font-place'>优蒂斯提拉岛</span>的某个地方。
8,ビィ/碧,でもよぅ、結局は伝説なんだろ？<br>本当にこの島にあるのかなんて、<br>わかったもんじゃねーぜ？,但是啊、到头来说不就是个传说吗？<br>是否真的就在这座岛上、<br>可没人知道吧？
9,レ・フィーエ/蕾・芬耶,ひっ！？<br>い、いつのまにそんな近くに……<br>油断も隙もないトカゲですわね。,欸！？<br>什、什么时候突然靠得这么近……<br>真是不能让人掉以轻心的蜥蜴呢。
10,ビィ/碧,だからオイラはトカゲじゃねーっての！,都说了咱不是蜥蜴了！
11,ビィ/碧,それで？<br>さっきから聞き込みしてたけど、<br>結局、有力な情報はあったのかよ？,それで？<br>从刚才开始就四处打听、<br>但是到底有没有什么有用的情报啊。
12,レ・フィーエ/蕾・芬耶,いまのところ確かなのは、<br>伝説は侮りがたい<br>ということくらいですわね……,现在唯一能确定的是、<br>传说是不容<br>轻视的存在哦……
13,ルリア/露莉亚,伝説を知っている人は<br>たくさんいましたけど……,知道传说的人<br>倒是很多……
14,ルリア/露莉亚,皆さん、<br>それが本当にあるものだとは<br>思っていないみたいでしたね……,大家、<br>好像不觉得这块宝石<br>是真实存在的呢……
15,レ・フィーエ/蕾・芬耶,いいえ……<br>海色の輝石は必ず、<br>この島のどこかにありますわ。,不……<br>海色的辉石一定<br>就在这座岛上的何处存在着。
16,レ・フィーエ/蕾・芬耶,宝石を扱う者として、<br>私の勘がそう囁いているんですの……,作为使用宝石的人、<br>我的直觉这样悄悄告诉我……
17,レ・フィーエ/蕾・芬耶,なんとしても見つけ出して、<br><span class='scene-font-place'>宝石境</span>に持ち帰り……,不管怎样我都一定要找到它、<br>带回<span class='scene-font-place'>宝石境</span>……
18,ならず者/暴徒,よう……姉ちゃんだな？<br>俺達以外にも、<br>海色の輝石を探してるってのは……,哟……小姐姐啊<br>除了我们以外、<br>还有在寻找海色的辉石的人啊……
19,レ・フィーエ/蕾・芬耶,まぁ！<br>あなた達もあの伝説を追ってますのね！<br>でしたら、ぜひ協力を……,啊！<br>你们也在寻找传说中的宝石啊！<br>既然如此、请务必协助……
20,ならず者/暴徒,どこから嗅ぎつけたか知らねぇが、<br>あれは俺達のもんだ……<br>渡しはしねぇぞ！,虽然不知道你们是从那儿得到的消息、<br>但那是我们的东西……<br>才不会给你们！
21,ビィ/碧,ひっ！？<br>お、おい！<br>オイラ達、囲まれてるぞ！？,ひっ！？<br>喂、喂！<br>咱们、被包围了啊！？
22,レ・フィーエ/蕾・芬耶,これはどういうことか、<br>ご説明いただきたいところですけど……,虽然很想让你们来解释、<br>到底是怎么一回事……
23,レ・フィーエ/蕾・芬耶,どうやら力づくで<br>教えていただくしかないようですわね。<br>いきますわよ！　姬塔！,不过现在看来<br>只有用武力使你们折服后再说明情况了啊。<br>要上了哦！　姬塔！
info,,,scene_chr067_q1_s10
