id,name,detail,vyrn
10001,赞克汀泽,,
10001-1,环形山脉,整个赞克汀泽岛被外部山脉所环绕着，<br>这座山脉曾经切断了岛民和外界的联系。<br>但是由于近年来骑空艇技术的发展，<br>现在岛民也可以积极地参加和其他岛屿的有意义的交流了。,山脈に関係なく<br>外に出たがらない奴が<br>この島は多いけどな
10001-2,金露森林,这座岛最大的秘密被金露森林所包围着。<br>星晶的力量可以让人民在森林之中自由生活。<br>只有被选中的巫女才能够进入这座森林。,この場所は……<br>なぜか懐かしい感じが<br>するんだよな……
10001-3,主人公之家,主人公和碧一起生活过的地方，<br>没有人知道肩负着世界<br>的命运的少年就是在这<br>座房子里出生和成长。,小っちぇ家だけど<br>住んでみると、<br>悪くないもんだぜ！
10001-4,隐秘之村,吉哈泽尔村已经与世隔绝<br>超过数百年的时间。<br>然而，他们并不是完全地奉行孤立主义，<br>事实上村民们还是很欢迎那些<br>不时到访的骑空士和游客的。,村の奴らはみんな、<br>いい奴ばっかりだぜ！
20001,艾因加纳岛 波特普利兹,,
20001-1,乌格德城堡,乌格德城堡是一座位于闹市区的古城，<br>千百年来，这座古城经历了无数沧桑和剧变。<br>现在，这座城堡主要是作为一个指挥塔，<br>对来往港口的骑空艇进行交通管制。,testこのお城のてっぺんは<br>さぞかし見晴らしが<br>いいだろうぜ！
20001-2,はずれの桟橋,騎空艇の着岸に使われる桟橋。<br>主に乗客や貨物の積み降ろしに使われ、<br>細い桟橋への正確な着岸は、<br>操舵士の腕の見せ所とされている。,騎空艇の操縦は、<br>専門家の操舵士に、<br>お任せってことだな！
20001-3,教会本堂,微风港的圣地，<br>在这里供奉着风之星晶兽和守护神：提亚马特。<br>然而，在百年时光的传承中，<br>这份信仰渐渐地变得平淡，<br>甚至有些人已经对提亚马特失去了敬意。,この島の豊かな風は<br>ティアマトの力に<br>よるものらしいぜ！
20001-4,榭洛酱的万事屋,这座商店提供骑空士们需要的一切，<br>从日常用品到攻城武器，<br>只有你想不到的，没有榭洛酱卖不了的。<br>除了销售服务，<br>万事屋还开设了酒馆供骑空士们分享各自的所见所闻。,よろず屋は<br>歳も生まれも<br>謎だらけだぜ……
20002,弗雷梅尔岛 巴尔兹公国,,
20002-1,大工廠（ファクトリー）,ファータ・グランデ空域最大の工場を有する<br>バルツ公国の官邸。<br>バルツ大公の居城であり、<br>大公府もここに置かれている。<br>覇空戦争の時代の工廠を再利用しており、<br>鉄鋼業で発展してきたバルツらしい<br>こだわりを見ることができる。,覇空戦争って<br>数百年前だぜ……？<br>築何年なんだろうな？
20002-2,溶岩の河,バルツ公国の工業を支える熱源であり、<br>国内各所を流れている。<br>島の地下深くに<br>古来より強大な熱源が埋まっているため、<br>固まることなく流れ続けている。,バルツがあっちいのは<br>だいたい<br>この河のせいだな！
20002-3,プラント,バルツ公国本島のフレイメル島には<br>多数の工場が立ち並んでいる。<br>工場は全てプラントと呼ばれ、<br>古い順に番号がふられており、<br>中には数百年前に放棄された廃工場もある。,鉱業、工業に長けた<br>ドラフの本領だな！<br>街中工場だらけだぜ！
20002-4,アーセナル,工場を囲む鉱山は全てアーセナルと呼ばれ、<br>プラント同様、番号がふられている。<br>バルツの山はほとんどが鉱山だが、<br>少数ではあるが緑豊かな山も存在しており、<br>自然と暮らすドラフ族もいる。,オイラは鉱山よりも<br>りんごの採れる山が<br>いいなぁ……
20003,奥古斯提列岛 首都米萨雷亚,,
20003-1,水上都市ミザレア,アウギュステ列島の首都ミザレアは、<br>アウギュステが有する広大な水資源、<br>海の上に位置している。<br>水の都とも呼ばれ、<br>移動には騎空艇ではなく主に船が使われる。,綺麗な街だよな！<br>一度はゆっくり<br>観光してみたいぜ！
20003-2,奥古斯提的商店1,アウギュステ列島は<br>ファータ・グランデ空域有数の経済力を持ち、<br>街のいたるところに商店がある。<br>アウギュステは国防軍を持たず、<br>アウギュステ軍は主に<br>金で雇われた傭兵で構成されている。,オイゲンの奴も<br>その雇われ傭兵の<br>ひとりだったわけか
20003-3,奥古斯提的商店2,騎空艇を主な移動手段とする空では、<br>高い場所ほどより良い立地とされるが、<br>アウギュステでは主な移動手段が<br>海上を滑る船となるため、<br>低い位置の商店ほど高級とされている。,場所代ってのが<br>結構大変だって、<br>シェロがぼやいてたな
20003-4,願いの橋,水上都市ミザレアの観光名所のひとつ。<br>最も人気のあるスポットとされる。<br>この橋の下を日没に合わせて通過すると<br>願いが叶うと言われている。,橋をくぐるなんて、<br>アウギュステらしい<br>観光名所だよな！
20004,梅乃亚领地 露玛茜群岛,,
20004-1,ルーマシーの人々,ルーマシー群島に住む人々は皆、<br>あまり世界と関わりを持とうとはしない。<br>この群島の気質は不干渉であり、<br>来る者を拒むことも、<br>去る者を追うこともなく、<br>ただただ、大地に根を張る大樹のごとく<br>静かに歴史を見守ってきた。,この群島は<br>ザンクティンゼルと<br>同じ匂いがするぜ……
20004-2,星霜の大樹,ルーマシー群島において、<br>幾百年を生き抜いた巨木は、<br>星霜の大樹と呼ばれる。<br>ルーマシー群島の木々は大いなる加護を<br>受けているため、長い年月を経ようとも、<br>決して枯れることはない。,この樹は<br>星の民の襲来も<br>見守ってきたんだな！
20004-3,樹上の邸宅,ルーマシー群島では、<br>樹上に居を構えることも珍しくない。<br>それは外敵から身を守るために<br>極めて有効な手段であり、<br>また、高い木の上から見る森は、<br>多少の利便性を犠牲にしても<br>得る価値のある絶景と名高い。,木の上の家かぁ……<br>隠れ家みたいで<br>おもしれーな！
20004-4,深き森の入口,ルーマシー群島の主は、<br>深く生い茂る植物達であり、<br>黒き森が群島のほとんどを占める。<br>森の最奥には、偉大なる世界樹と<br>伝わざりし真実の歴史が眠る。,怖いような、<br>落ち着くような……<br>不思議な森だぜ……
20005,城砦都市阿尔比昂,,
20005-1,アルビオン城,城砦都市アルビオンの中央に位置し、<br>アルビオンの根幹を成す城。<br>領主の執務室や貴賓室、<br>来客用の客室などがあり、<br>下層はアルビオン士官学校の<br>校舎として利用されている。,お城の一部を<br>校舎にしちまうなんて<br>変わった街だぜ
20005-2,アルビオンの緑,人工都市であるアルビオンだが、<br>一部には植物が自生している。<br>これは長い年月の中で、<br>風に乗って流れてきた種が根付き、<br>成長、繁殖していったものである。,やっぱりオイラは<br>緑がねぇと<br>落ち着かねぇや！
20005-3,アルビオン市街,アルビオン城を取り囲むように並び、<br>城砦都市アルビオンそのものを形作る。<br>街中には鍛練を怠らぬため<br>魔物が放し飼いにされており、<br>腕に自信のない者は市街地であっても<br>護衛騎士を必要とする。,心の休まらねぇ<br>おっかねぇ街だぜ……
20005-4,城砦都市アルビオン,星の民によって作られた城砦都市であり<br>現在は士官学校を中心とした社会が<br>形成されている。<br>実力至上主義を標榜しており、<br>領主が亡くなると次の領主を決めるべく<br>アルビオン全体で武術大会が開かれ、<br>その優勝者が次の領主となる。,誰にでも領主になる<br>チャンスがあるって<br>すげぇ都市だよな！
20014,北方荒原 白风之境,,
20014-1,エオニオ山脈,白風の境の象徴とも言える山の連なり。<br>その裾野は広大なノース・ヴァストの<br>一地域を丸ごと構成しており、<br>ファータ・グランデ空域で、<br>最も巨大な山脈とされる。<br>また、ファータ・グランデ空域において、<br>最も過酷な地とも呼ばれ、<br>調査のために命を落とす者が後を絶たない。<br>,すっげぇ寒いし、<br>おっかねー場所<br>だよな……<br>
20014-2,瘴流域,空域と空域を分断する暴風域の壁。<br>その発生時期は覇空戦争以前、<br>星の民の襲来にまで遡る。<br>瘴流域の内部は、<br>魔物を活性化させ、人体には極めて有害な<br>超高濃度の瘴気に満ちており、<br>中に足を踏み入れた者は、<br>わずか数分で死に至る。<br>,オイラ達は<br>これを越えるために<br>旅してきたんだよな！<br>
20014-3,白風の境の魔物,白風の境には、同系の魔物であっても、<br>より巨大なものが生息している。<br>過酷な環境に適応するため<br>魔物が進化した可能性や、<br>白風の境に出現する星晶獣の影響など、<br>様々な説が唱えられているが、<br>未だにはっきりとした結論は出ていない。<br>,見慣れた魔物でも<br>デカいだけで<br>焦るもんだよな……<br>
20014-4,隠れ里の伝説,未開の地である白風の境には、<br>幾つもの伝説が存在し、<br>その中の一つに、隠れ里の伝説がある。<br>エオニオ山脈に挑み、<br>力尽きた騎空士がある集落に拾われ、<br>騎空士は数日療養した後、集落を出る。<br>しかし、その後、<br>その騎空士が集落を再び訪れることは、<br>決して出来なかったという。<br>,この雪山には、<br>色んなもんが<br>潜んでそうだよな！<br>
20011,王都阿加斯蒂亚,,
20011-1,エルステ帝国府官邸,アガスティアのほぼ中央に位置する<br>エルステ帝国の執務拠点。<br>その形状から「タワー」とも呼ばれる。<br>民間人の立ち入りは<br>厳しく制限されており、<br>公の施設でありながら、<br>その多くが謎に包まれている。,ずうっと見上げてたら<br>オイラ、後ろに<br>ひっくり返っちまった
20011-2,エルステ帝国　軍事戦闘艦,ファータ・グランデ空域の<br>各所で見られるエルステ帝国の戦艦。<br>主に騎空艇との戦闘、<br>兵士や兵器、物資の輸送を担う。<br>ガロンゾから購入したものに<br>エルステ帝国内で<br>独自改良を加えて運用しており、<br>その性能は計り知れない。,ザンクティンゼルで、<br>こいつを見たときは<br>心底驚いたぜ……
20011-3,アガスティア市街,エルステ帝国皇帝のお膝元であり、<br>短期間に飛躍的な経済成長を遂げた街。<br>アガスティアそのものが、<br>軍事拠点としても活用されているため、<br>多くの軍人が街中を闊歩しており、<br>街の住人との交流も盛んである。,エルステの街とはいえ、<br>住んでる奴らは、<br>結構普通なんだよな
20011-4,帝都アガスティア,エルステが王政から帝政に変わる際に、<br>新たに首都として開発が始まった<br>巨大要塞都市。<br>島を上下に覆うように<br>様々な最新鋭の施設が建造されており、<br>大地や緑の見える部分は非常に少ない。,すげー街だと思うけど<br>なんか息が<br>詰まるんだよなぁ……
20009,拉比岛 旧王都美佛拉修,,
