detail,trans
2回攻撃の発生確率が減少した状態,
2回攻撃の発生確率が減少した状態(回復不可),
3回攻撃の発生確率が減少した状態,
3回攻撃の発生確率が減少した状態(回復不可),
アイテムドロップ率が上昇した状態,
アビリティの標的になった状態,
エーテルブラストで大きなダメージを受けるようになった状態(エーテルブラストを受けると効果UP),
カインの策が発動し、弱体耐性が減少した状態(消去不可),
チャージターンが溜まらなくなる状態,
ブレイク時間が延長している状態,
光属性の被ダメージに対する防御力が減少した状態,
光属性攻撃力が減少した状態,
回復行為でダメージを受ける状態,
土の印・弐が掛かった状態,
土属性の被ダメージに対する防御力が減少した状態,
夜煙の標的となった状態,
奥義ゲージが上昇しない状態,
奥義ゲージ上昇量が減少した状態,
弱体耐性が減少し、通常攻撃/特殊技/特殊行動が確率でミスになる状態,
弱体耐性が減少した状態,
弱体耐性が減少した状態(回復不可),
弱体耐性が減少した状態(累積),
忍の印・弐が掛かった状態,
戦闘行動を封じられ、大ダメージを受ける状態（ダメージを受けた時確率で解除）,
戦闘行動を封じられ、大ダメージを受ける状態（ダメージを受けた時解除）,
戦闘行動を封じられた状態,
攻撃が稀にミスになる状態,
攻撃のターゲットになりやすい状態,
攻撃のターゲットになりやすい状態(回復不可),
攻撃力が減少した状態,debuff测试文本
攻撃力が減少した状態(回復不可),
攻撃力が減少した状態(累積),
攻撃行動が稀に制限される状態,
敵が特殊技を使用した時に起爆し、無属性ダメージと麻痺効果が発生する状態(消去不可),
最大HPが減少した状態(累積/回復不可),
毎ターンHPが減少する状態,
毎ターンHPと奥義ゲージが減少する状態,
水の印・弐が掛かった状態,
水属性の被ダメージに対する防御力が減少した状態,
江戸川コナンの追跡の対象となった状態,
火の印・弐が掛かった状態,
火属性の被ダメージに対する防御力が減少した状態,
火属性攻撃力が減少した状態,
特殊技の最大チャージターンが上昇する状態,
禁呪の代償の累積回数によりダメージを受ける状態,
竜の力に捉われグレアの攻撃性能が上昇する状態,
行動できない状態(回復不可),
通常攻撃/特殊技/特殊行動が確率でミスになる状態,
闇属性の被ダメージに対する防御力が減少した状態,
闇属性攻撃力が減少した状態,
防御力が減少した状態,
防御力が減少した状態(回復不可),
防御力が減少した状態(累積),
雷の印・弐が掛かった状態,
風の印・弐が掛かった状態,
風属性の被ダメージに対する防御力が減少した状態,
