detail,trans
1ターンの間に自分が発動した奥義回数に応じて奥義ダメージと奥義ダメージ上限が上昇する状態,一回合内自身奥义伤害与上限随自身发动的奥义次数上升
2回攻撃の発生確率が上昇した状態,二连攻击概率上升
2回攻撃の発生確率が上昇した状態(消去不可),二连攻击概率上升（不可驱散）
3回攻撃の発生確率が上昇した状態,三连攻击概率上升
3回攻撃の発生確率が上昇した状態(消去不可),三连攻击概率上升（不可驱散）
MPを消費して強化効果を得る状態,消费MP时得到强化效果
わしとガルが一緒に戦うぞ！(消去不可),就让老朽和伽尔与你并肩作战吧！（不可驱散）
アイスソード(水水)：敵に水属性ダメージ/自分に魔法陣：水を1つ付与　◆魔法陣：水を2つ消費して、魔法陣付与の代わりに味方全体の水属性攻撃UP/変転効果/有利属性ダメージ軽減,寒冰之剑（水水）：对敌水属性攻击/自身获得一层水属性魔法阵　◆魔法阵：消费两层水，自身不会获得魔法阵，相对应的，我方全员水属性攻击力UP/获得变换效果/受到有利属性伤害减少
アクアヒール(水風)：参戦者のHP回復,水之回复（水风）：回复参战者的HP
アビリティダメージが上昇した状態,技能伤害上升
アビリティ再使用間隔を短縮,技能冷却时间减少
アルベス・フェルマーレ状態の敵への攻撃力が上昇した状態,
アースソード(土土)：敵に土属性ダメージ/自分に魔法陣：土を1つ付与　◆魔法陣：土を2つ消費して、魔法陣付与の代わりに味方全体の土属性攻撃UP/連続攻撃確率UP,大地之剑（土土）：对敌土属性攻击/自身获得一层土属性魔法阵　◆魔法阵：消费两层土，自身不会获得魔法阵，相对应的，我方全员土属性攻击力UP/连续攻击机率UP
ウィンドソード(風風)：敵に風属性ダメージ/自分に魔法陣：風を1つ付与　◆魔法陣：風を2つ消費して、魔法陣付与の代わりに味方全体の風属性攻撃UP/アビリティ性能UP,飓风之剑（风风）：对敌风属性攻击/自身获得一层风属性魔法阵　◆魔法阵：消费两层风，自身不会获得魔法阵，相对应的，我方全员风属性攻击力UP/技能性能UP
