id,name,comment
125001,圣洁之夜的长袍,受传说中背负了无辜民众的罪孽，自我牺牲的圣洁老者影响而制成的圣衣。有人为了给贫穷的孩童送去笑容，有人为了使重要的家人能享受犒劳的盛宴，有人则是为了敬爱的同伴，为了给圣夜的气氛增添更多色彩——<br><br><div class='txt-small'><span class='txt-yellow'>得意武器为「杖」的Lv20以上职业可更换使用</span></div>
185001,你与我的未来,榭洛科特通过自己的渠道，为了格兰和姬塔而制作的LIVE演出服。那如同澄澈青空的蓝色，使男性多了几分清爽，女性添了几分可爱。最大程度地引出穿着之人的魅力，将观众的心夺走的姿态正如偶像其名。不用说，这套服装绽放更多光辉的时刻，自然是舞台之上。<br><br><div class='txt-small'><span class='txt-yellow'>得意武器为「乐器」的Lv20以上职业可更换使用</span></div>
310101,格兰&姬塔,朝向空之彼方，约定之地──被苍之少女这么邀请，朝向无尽天空的旅途开始了。虽然会因前方等待的无数困难而痛苦，但在航路中结下的众多缘分，终将成为力量，开拓通向星之岛的道路。<br><br><div class='txt-small'><span class='txt-yellow'>所有Lv20以上职业可更换使用</span></div>
310501,统帅十天众之人,统帅全空威胁的骑空士，成为了连接这十种超群力量之人的牵绊。身穿十天众同款的服装，轻松的担任起了世界抑制力的责任。<br><br><div class='txt-small'><span class='txt-yellow'>所有Lv20以上职业可更换使用</span></div>
310601,抵达十天极致之人,抵达了全空极致的骑空士，习得了穷极的十种极意。经过与十天众的壮烈死斗之后，达到了新的境界。其双眸注视的世界，究竟是——<br><br><div class='txt-small'><span class='txt-yellow'>所有Lv20以上职业可更换使用</span></div>
310701,异种人格·邪术师,拒绝了无秩序的旋涡伸出的侵略红线，为了反过来支配它而作为人偶的英勇身姿。即使这份力量对人之子的身躯来说过于庞大，和同伴一起，为了同伴而使用的话，掌控便也不在话下。<br><br><div class='txt-small'><span class='txt-yellow'>所有Lv20以上职业可更换使用</span></div>
310801,浴衣装束,在充满喧闹气氛的小吃街，一边互相谈天说地一边逛着。侧耳倾听着响起的祭典音乐，不经意地抬头看向夜空。夏日的繁星正在那里无比寂静地眨眼闪烁。对正流逝而过的季节感到心痒难耐，用手指画起了奇怪的星座。随着那些动作，祭典装束的袖子轻轻地摇摆着。<br><br><div class='txt-small'><span class='txt-yellow'>所有Lv20以上职业可更换使用</span></div>
360001,碧玩偶装,「哦，你原来想变成我吗？　哈哈！　但这不是挺合适的嘛！　嘿～原来我在别人眼里是这个样子啊。嘿嘿！　真帅气啊！」<br><br><div class='txt-small'><span class='txt-yellow'>所有Lv20以上职业可更换使用</span></div>
360101,走艇竞赛服,为了参加走艇竞赛PSC而特别委托制作的竞赛服。帮忙准备的自然是榭洛科特。具有最大程度地减轻选手在严苛比赛中的身体负担的性能，服装设计也同样精心雕琢。魅力点是头上的大耳朵。一同搭乘奈特赛法的碧和露莉亚自然也穿着配套的服装，目标是极速的尽头！<br><br><div class='txt-small'><span class='txt-yellow'>得意武器为「铳」的Lv20以上职业可更换使用</span></div>
370201,浮游坏兽BUKON,软绵绵漂浮着的，有点不可思议的坏兽。长满全身的刺变成了进食用的嘴，似乎会用其刺穿猎物吸食血液。<br><br><div class='txt-small'><span class='txt-yellow'>所有Lv20以上职业可更换使用</span></div>
370601,异种人格·恶堕,禁忌的侵犯产生了深不见底的愉悦，肉体沉溺于性与死的螺旋之中。甘美的背德浸满了灵魂，永不厌倦的本能尽情享受着戏耍。<br><br><div class='txt-small'><span class='txt-yellow'>所有Lv20以上职业可更换使用</span></div>
370801,异种人格·禁忌,禁忌的侵蚀唤醒了内心深处破坏的渴望，性与死的螺旋交织成烁烁生辉的镰刀。被禁断之力完全侵染的灵魂摧毁了理性的枷锁，露出了扭曲的笑容。<br><br><div class='txt-small'><span class='txt-yellow'>所有Lv20以上职业可更换使用</span></div>
3710001000,水百合振袖,在染成淡蓝色的布料上大胆地装饰了白百合花的一件。那飒爽的颜色会让人想起初春拂过的一阵清风。
3710002000,菊尘袴,使用了让人平静的颜色，也不忘却纯真的一件。那不经意的玩心之意一定会在新年的重要场合上引人注目。
3710003000,暮色水仙振袖,橙色的布料让人预感明快的一年将会造访，在其之上点缀水仙图案的一件。袖口和衣摆都能看出匠人的讲究。
3710004000,龙华艳衣,在某处传承的传统礼服。吸引绅士们眼球的大胆开叉不仅是为了表现成人的色气，也追求着行动的便利，使生活更加舒适。
3710005000,幻想锁铠,残存坚固盔甲的部分本质，染上雅致颜色，在旅行者中很有人气的一件。虽然设计压抑了部分主观色彩，但这份质朴能给他人带来纯朴的印象。
3710006000,棉花凉衣,追求舒适和可爱，作为常服最适合的一件。实现了仿佛被软绵绵的羊毛包裹的舒适感，削减了大部分布料的设计让服装展现了少女的可爱和凉爽。
3710007000,你与我的未来(维拉),榭洛科特通过自己的渠道，为了维拉而制作的LIVE演出服。那如同澄澈青空的蓝色，给人装点了可爱又清纯的色香。最大程度地引出穿着之人的魅力，将观众的心夺走的姿态正如偶像其名。不用说，这套服装绽放更多光辉的时刻，自然是舞台之上。
