text,fixed
空空团,骑空团
骑空师,骑空士
星星兽,星晶兽
娃哈哈,哇哈哈
Ruria,露莉亚
Luria,露莉亚
lulia,露莉亚
卢利亚,露莉亚
卢丽亚,露莉亚
卢莉亚,露莉亚
莱利亚,露莉亚
鲁莉亚,露莉亚
卢瑞亚,露莉亚
Yuno,乌诺
Uno,乌诺
Uuno,乌诺
Bie,碧
Bj,碧
碧碧,碧
Bj-kun,阿碧
Istarcia,伊斯塔尔西亚
Rakham,拉卡姆
Tiamato,提亚玛特
Tiamat,提亚玛特
Grand Cypher,格兰赛法
Grand Cipher,格兰赛法
Port Breeze,微风港
星形动物,星晶兽
原始野兽,星晶兽
原始的野兽,星晶兽
最初的野兽,星晶兽
Rosetta,萝赛塔
萝塞塔,萝赛塔
伊奥,伊欧
Noah,诺亚
catalina,卡塔莉娜
葛兰塞法,格兰赛法
格兰赛佛,格兰赛法
迪亚马特,提亚玛特
临时合同,临时契约
格兰赛弗,格兰赛法
格兰塞弗,格兰赛法
欧拉，我,咱
奥伊拉,咱
欧伊拉,咱
奥伊拉，我,咱
欧拉也,咱也
欧拉他们，我,咱
欧拉他们,咱们
我们欧伊拉,咱
oria,咱
Oira，我,咱
Oira，我,咱
Oira 也,咱也
Oira 他们，我,咱
Oira 他们,咱们
我们 Oira,咱
老公,老爷
木卫一,伊欧
小行星775,卢米埃
小行星320,卡塔莉娜
小行星311,克劳迪娅
小行星319,蕾欧娜
小行星1080,欧尔姬丝
小行星351,伊尔莎
小行星1387,套话
小行星535,蒙太古
港口和风-KM,微风港
和风-KM,微风港
爱隆,艾露恩族
姬塔们,姬塔一行
杰塔,姬塔
吉塔,姬塔
耶塔,姬塔
碧小姐,阿碧
碧先生,阿碧
碧君,阿碧
谢罗卡特,榭洛科特
谢罗卡尔特,榭洛科特
雪罗小姐,榭洛酱
珀西瓦里,帕西瓦尔
波美拉尼亚,伯梅伦
奥奇斯,欧姬丝
吉尔德,公会
吉尔多,公会
可口可乐,可可萝
可可罗,可可萝
Kokolo,可可萝
Kokolo 小姐,可可萝
Kokolo 先生,可可萝
卡尔小姐,凯露
卡尔先生,凯露
佩柯琳,佩可莉姆
佩可林,佩可莉姆
佩科琳,佩可莉姆
佩可林小姐,佩可莉姆
佩科琳先生,佩可莉姆
【美食殿】,【美食殿堂】
义神星,阿斯特莱亚
气盖山河,山猫
梅泰拉,美黛拉
梅特拉,美黛拉
费里,菲莉
费利,菲莉
は？,哈？
胡恩夫,芬芙
西斯,希斯
西雅图,希耶提
西耶特,希耶提
西耶泰,希耶提
尼欧,妮欧
尼奥,妮欧
埃塞尔,艾瑟尔
艾塞尔,艾瑟尔
ClariS,克拉莉丝
ClariS 先生,克拉莉丝
乔雅,除夜
乔亚,除夜
joya,除夜
约亚,除夜
戈恩,咚
郭元,咚
马基拉,玛琪拉
马吉拉,玛琪拉
麦基,玛琪
安妮拉,阿妮拉
阿尼拉,阿妮拉
十二药叉大将,十二神将
炬燵,被炉
上撒尿,里休息
伯尔兹亲王国,瓦尔兹公国
世界有机农场机会组织,沃夫
福里亚,芙莉亚
金刚,瓦姬拉
贝娅特丽克丝,贝阿朵丽丝
克比拉,库碧拉
克比拉先生,库碧拉小姐
泽它,泽塔
"\u0020?~\u0020?",～
\u0020?――,──
\u0020?--,──
\u0020?goa'uld\u0020?,──
\u0020?Goa'uld\u0020?,──
\u0020?something\u0020?,
\u0020?Something\u0020?,
"(v1_10_5)... ?.{1,2}(?!.) ?",……
(v1_10_5)... ?,…
卡里欧斯特罗,卡莉奥斯特萝
卡里欧斯特罗先生,卡莉奥斯特萝
花样滑冰,人偶
花样滑冰选手,人偶
卡普雷特,凯普莱特
默剧,麦姆
《天雷战斗机》,天雷剑
天雷战斗机,天雷剑
《星之零泪》,星之零泪
艾尔,艾鲁
爱尔,艾鲁
CIA,小空
大熊猫,伏魔殿
死亡天使\(漫画\),死亡天使
露碧,露比
伊斯塔西亚,伊斯塔尔西亚
伊斯塔卢西亚,伊斯塔尔西亚
流石是,不愧是
天马座,呀啊啊啊
天马流星拳,哈啊啊啊
守护甜心,露莉亚
哥本哈根,咳
该死,真是的
缺绿病,白化
撒尿,好了
苏西埃,苏丝雅
尤厄尔,尤艾尔
 Justice \(乐队\),正义
白龙\(演员\),白龙
范比,斑比
范皮,斑比
小范比,斑比酱
维特,斑特
雪洛病历,榭洛科特
雪诺病历,榭洛科特
雪罗,榭洛
雪洛,榭洛
雪诺,榭洛
小行星1015莉亚,克里斯塔利亚
讨伐魔鬼,讨伐魔物
骑兵团,骑空团
区域11,11区
CC \(床单\),C.C.
ニーア ゲシュタルト／レプリカント,妮娅
ニーアゲシュタルト／レプリカント,妮娅
朗斯洛特,兰斯洛特
小行星242,克琳希德
CfA2长城,长城
利夏,莉夏
小行星358,阿波罗尼亚
