text,trans
いよぅ！元気か相棒！,哟！还好吗伙伴！
今日も会えて嬉しいぜ！,很高兴今天也能看到你！
プレゼントがあるから受け取ってくれよ！,今天有礼物别忘记拿了哟！
今日のプレゼントは、,今天的礼物是，
「レジェンドガチャチケット」だ！,「单抽券」！
これを使ってどんどん先へ進もうぜ！,用上这个不断前进吧！
明日のプレゼントは、,明天的礼物是，
「カジノメダル」だ！,「赌场硬币」
こいつぁ旅で役に立つはずだぜぃ！,这玩意应该能在旅行上帮上忙的！
5日ログインするたびに,第5天登陆时
「レジェンドガチャチケット」が,会得到「单抽券」
手に入るぜ！ 頑張っていこうな！,更加努力吧！
今日までよく頑張ったな！,你今天也很努力呢！
さすがはオイラが見込んだ奴だぜ！,不愧是咱看上的家伙！
また明日からもログインしてくれよな！,明天还要再登陆哦！
毎日頑張ってるみてーだな！,看来你每天都有好好努力呢！
オイラも負けずに良いもの探してきたぜ！,咱也不能输给你，努力找了好东西！
頑張ってるご褒美にプレゼントだ！,这是奖励努力的你的礼物！
「エリクシール」だ！,「大红」！
「レジェンドガチャチケット」だ！,「半红」！
「宝晶石」だ！,「宝晶石」！
「ルピ」だ！,「卢比」！
そんな相棒のために、,为了奖励这么努力的伙伴你
ご褒美のプレゼントを用意したぜ！,我特意准备了礼物哦！
#gbvs,
ご機嫌いかが？,
最近がんばってるキミに贈り物だ。,
喜んで貰えるとイイんだけど。,
今日の贈り物は……,
「エリクシールハーフ」,
なんてどうだろう。,
おっと、まだあるぜ。,
更に「宝晶石200個」だ。,
明日はそうだな……,
「ルピ」,
なんてのはどうだい？,
5日間ログインする度に、,
「レジェンドガチャチケット」を,
贈らせて貰うよ。,
今日まで本当に御苦労様。,
予想以上の活躍だったよ。,
まぁ今後も期待させて貰おう。,
