path,trans,duration,note
voice/3030244000_mypage1,我可以唱一首歌吗？不知为何，现在我就是这种心情。,5
voice/3030244000_mypage2,虽、虽说我还是很怕魔物……只要我的力量能帮上忙的话……！,7
voice/3030244000_mypage3,我写了新的歌！姬塔，你想听吗？,5
voice/3030025000_mypage1,真是一阵惬意的风呢！不知道为什么，我突然就很想唱歌。,5
voice/3030025000_mypage2,要去打倒魔物吗？……虽、虽然很可怕，但是我会加油的！,7
voice/3030025000_mypage3,我曾经很向往能有家人。不过，现在骑空团的大家就是我的家人了！,8
voice/3030025000_s2_newyear0,用崭新的心情迎接新的一年，今年也要充实地度过！,6,新年
voice/3030025000_s2_newyear1,恭贺新禧。,3,新年
voice/3030025000_s2_newyear2,新年快乐！,2,新年
voice/3030025000_s2_newyear3,谨贺新年。,3,新年
voice/3030025000_s2_birthday0,为你的生日献上诚挚的祝福。,3,生日
voice/3030025000_s2_birthday1,生日快乐。,2,生日
voice/3030025000_s2_valentine0,情人节快乐！,2,情人节
voice/3030025000_s2_valentine1,啊，有一股香甜的味道飘来，真是好闻！,7,情人节
voice/3030025000_s2_whiteday0,白色情人节快乐！,2,白情
voice/3030025000_s2_whiteday1,呵呵，如果我的白色情人节礼物能给姬塔带来喜悦就好了。,8,白情
voice/3030025000_s2_halloween0,万圣节快乐！,2,
voice/3030025000_s2_halloween1,不给糖果就捣蛋！,2,
voice/3030025000_s2_halloween2,哇，吓我一跳！今天有好多怪物。,9,

