id,jp,en,trans
air_space_1,空域図,Skydoms,空域图
arcade_mode_1,アーケードモード,ARCADE MODE,
arcarum_1,アーカルムの転世,Arcarum: The World Beyond,阿尔卡那的转世
arcarum_10,確認,TP,确认
arcarum_11,星導の天球儀,Globe of the Starways,
arcarum_12,ステージクリア,Stage Cleared,通关
arcarum_13,次のステージに進みますか？,Continue on to the next stage?,是否前往下一关？
arcarum_14,チェックポイント到達,Checkpoint Reached,抵达存档点
arcarum_15,アイテム,Items,道具
arcarum_16,アイテム入手,Treasure,获得道具
arcarum_17,強化発動,Status Effect,发动强化效果
arcarum_18,？？？,???,？？？
arcarum_19,ステータス効果,Status Effects,状态效果
arcarum_2,ポイント詳細情報,Arcapoint Details,点数详情
arcarum_20,探索完了,Expedition,完成探索
arcarum_21,チュートリアル完了,Tutorial Complete,教学关已完成
arcarum_22,「アーカルムの転世」の<br>チュートリアルを完了しました。,You completed the Arcarum tutorial.,「阿尔卡那的转世」教学关已结束。
arcarum_23,確認,Note,确认
arcarum_25,ポイント交換はチュートリアル完了後<br>解放されます。,Complete the tutorial to unlock the trader.,点数兑换功能将在完成教学关后开启。
arcarum_26,アイテムを使用,Use Item,使用道具
arcarum_27,称号獲得,Trophy Achieved,获得称号
arcarum_28,他称号を%s個獲得しました,You got %s other trophy.,以及其他%s个称号。
arcarum_29,進行中のクエストから撤退し、<br>探索を終了しました。,You retreated from the quest.<br>The expedition has ended.,从进行中的任务中撤退，结束探索。
arcarum_3,出発確認,Departure Check,确认出发
arcarum_32,アイテム追加,New Item,增加道具
arcarum_33,TPが0になったため<br>進行中のクエストから撤退し、<br>探索を終了しました。,You have no TP left.<br>The expedition has ended.,TP已为0，退出当前任务，结束探索。
arcarum_34,通知設定,Reminder,通知设定
arcarum_35,アイテム通知,Item Reminder,道具提醒
arcarum_36,簡易探索,Fast Expedition,简易探索
arcarum_4,再開確認,Resume,继续任务
arcarum_5,探索終了,Expedition,结束探索
