keyword,trans,cs
rumors,传言,
promise,约定,
Crew Alliance Rafale,骑空团阵风联盟,
Crew Alliance,骑空团联盟,
Crew of Enforcers,秩序骑空团,
Amalthea,阿玛提亚,
pant,喘息,
phew,呼,
blue maiden,苍之少女,
primal beast,星晶兽,
primal beasts,星晶兽,
crew's,团员们,
crews,团员,
crew,骑空团,
party,队伍,
company,同伴,
staff,法杖,
in prusuit of,追寻,
skyfarer,骑空士,
skyfarers,骑空士,
Wha,什么,1
Grandcypher,格兰赛法,
shrine,神殿,
skydom,空域,
Eek,啊,1
Port Breeze,微风港,1
mansion,洋馆,
abomination,坏兽,
abominations,坏兽,
hybrids,坏人,
Zinkenstill,赞克汀泽,1
Valtz Duchy,瓦尔兹公国,
Phantagrande,法塔格兰德,1
Rgh,呜,1
Whaaat,什什什么,1
Eeep,诶诶,1
Ahaha,啊哈哈,1
Nnn,嗯嗯,1
Teehee,嘿嘿,1
Erm,嗯,1
Nuh,嗯,1
Grr,唔,1
rupies,卢比,
Uranohoshi,浦之星,1
