id,name,detail,vyrn
10001,赞克汀泽,,
10001-1,环形山脉,整个赞克汀泽岛被外部山脉所环绕着，<br>这座山脉曾经切断了岛民和外界的联系。<br>但是由于近年来骑空艇技术的发展，<br>现在岛民也可以积极地参加和其他岛屿的有意义的交流了。,不过这岛上有很多人<br>不管有没有山脉<br>都不愿意出岛
10001-2,金露森林,这座岛最大的秘密被金露森林所包围着。<br>星晶的力量可以让人民在森林之中自由生活。<br>只有被选中的巫女才能够进入这座森林。,这里是……<br>总觉得很怀念……
10001-3,主人公之家,主人公和碧一起生活过的地方，<br>没有人知道肩负着世界<br>的命运的少年就是在这<br>座房子里出生和成长。,虽然是个很小的家，<br>但住起来感觉也不错！
10001-4,隐秘之村,吉哈泽尔村已经与世隔绝<br>超过数百年的时间。<br>然而，他们并不是完全地奉行孤立主义，<br>事实上村民们还是很欢迎那些<br>不时到访的骑空士和游客的。,村里的人都是好人！
20001,艾因加纳岛 微风港,,
20001-1,乌格德城堡,乌格德城堡是一座位于闹市区的古城，<br>千百年来，这座古城经历了无数沧桑和剧变。<br>现在，这座城堡主要是作为一个指挥塔，<br>对来往港口的骑空艇进行交通管制。,这城堡顶上<br>能看到的风景一定很棒！
20001-2,外围的栈桥,用于骑空艇靠岸的栈桥。<br>主要用来给乘客及货物上下船，<br>是否能够正确停靠在狭窄的栈桥上，<br>就要看操舵士的本事了。,操纵骑空艇的事情<br>就交给专业的操舵士吧！
20001-3,教会本堂,微风港的圣地，<br>在这里供奉着风之星晶兽和守护神：提亚马特。<br>然而，在百年时光的传承中，<br>这份信仰渐渐地变得平淡，<br>甚至有些人已经对提亚马特失去了敬意。,这座岛上丰饶的风<br>据说都来自于提亚马特的力量！
20001-4,榭洛酱的万事屋,这座商店提供骑空士们需要的一切，<br>从日常用品到攻城武器，<br>只有你想不到的，没有榭洛酱卖不了的。<br>除了销售服务，<br>万事屋还开设了酒馆供骑空士们分享各自的所见所闻。,万事屋从出生到年纪都是谜……
20002,弗雷梅尔岛 巴尔兹公国,,
20002-1,大工厂（Factory）,拥有法塔・格兰德空域最大工厂的<br>巴尔兹公国官邸。<br>是巴尔兹大公的居城，<br>大公府也设于此处。<br>再利用了霸空战争时代的工厂，<br>可以看到以钢铁业发展起来的巴尔兹<br>独有的执着。,霸空战争不是<br>几百年前的事吗……？<br>不知道有多少年的历史了？
20002-2,熔岩之河,支撑巴尔兹公国工业的热源，<br>流经国内各处。<br>由于岛屿地下深处<br>自古以来就埋藏着强大的热源，<br>因此熔岩永不凝固，不断流动。,巴尔兹之所以闷热<br>基本上都是<br>这条河的错吧！
20002-3,工 厂（Plant）,弗雷梅尔岛上矗立着<br>巴尔兹公国的众多工厂。<br>工厂统称为Plant，<br>按照历史悠久程度编号，<br>其中不乏数百年前废弃的旧工厂。,这展现了精通<br>矿业、工业的<br>卓拉族的本领啊！<br>满城都是工厂！
20002-4,矿山（Arsenal）,环绕工厂的矿山统称为Arsenal，<br>和Plant一样，也有编号。<br>巴尔兹的山大多是矿山，<br>但少数山也郁郁葱葱，<br>有卓拉族与大自然和谐相处。,比起矿山，<br>我更喜欢<br>能摘到苹果的大山啊……
20003,奥古斯提群岛 首都米萨雷亚,,
20003-1,水上都市米萨雷亚,奥古斯提群岛的首都米萨雷亚，<br>凭借奥古斯提拥有的广阔水资源，<br>位于海上。<br>也被称为水之都，<br>移动手段主要使用船只而非骑空艇。,真是个漂亮的城市啊！<br>真想找个时间<br>好好观光一番！
20003-2,奥古斯提商店街1,奥古斯提群岛拥有<br>法塔・格兰德空域数一数二的经济实力，<br>街上随处可见商店。<br>奥古斯提没有国防军，<br>奥古斯提军主要由<br>花钱雇佣的佣兵组成。,欧根那家伙<br>也是其中一个<br>受雇佣的佣兵啊
20003-3,奥古斯提商店街2,在以骑空艇为主要移动工具的空之世界，<br>地势越高的地方被认为地理位置越好，<br>但在奥古斯提，主要的移动工具是<br>在海上滑行的船只，<br>所以商店的位置越低越被视为高档。,听谢洛抱怨过，<br>店面费用<br>确实很贵呢
20003-4,许愿之桥,水上都市米萨雷亚的观光胜地之一。<br>据说是最受欢迎的景点。<br>传说在日落时分通过这座桥下，<br>愿望就会实现。,从桥下通过，<br>真是符合奥古斯提特色的<br>观光景点啊！
20004,梅诺亚领地 鲁玛西群岛,,
20004-1,鲁玛西群岛居民,居住在鲁玛西群岛的人们，<br>都不太愿意与外界产生联系。<br>这个群岛的气质是不干涉，<br>既不拒绝来访者，<br>也不追随离去者，<br>只是像扎根大地的参天大树一样，<br>静静地见证着历史。,这个群岛，<br>散发着与「赞克汀泽」<br>相似的气息……
