text,trans,count
あ行,a行,
アウギュステ列島,奥古斯特列岛,
広大な水資源の上を漂う経済特区。正しくはアウギュステ列島特別経済協力自治区であり、どの周辺国の領土にも属さない特別自治区。アウギュステは海と呼ばれる他に類を見ない巨大な水たまりから観光地として人気が高く、多くの商店が軒を連ねている。商店からの税収によって潤沢な財源を持っており、国軍に匹敵するほどの傭兵を自衛軍として雇っている。,漂浮在广大的水资源上的经济特区。准确来说是叫奥古斯特列岛特别经济协力自治区，是不属于任何周边国领土的特别自治区。因奥古斯特有其他地方都没有的名为海的巨大水池，所以它作为观光地很有人气，商店鳞次栉比。由商店收取来的税收让其拥有充裕的财源，雇佣了能够匹敌国军的佣兵作为自卫军。,
失われた王家,失落的王家,
千年前に失われたある王国を統治していた古の血統。ソシエ、ユエル、コウの先祖である。元々は壱之王が全土を総べていたが、広がり続ける国土、増え続ける国民を一人の王が統治し続けることには限界があった。壱之王は信頼できる八名の臣下に国と民を割譲し、それぞれを諸王とする。しかしこれに増長した諸王は権力を乱用し始めた。国の分裂を危惧した壱之王は諸王に序列を設ける法を定め、平和の維持に努めた。しかしその甲斐虚しく、やがて王家は暴れ狂う九尾に降伏し、定期的に国の文化であった舞を捧げるようになる。それをよしとしない壱之王は諸王と結託し密かに九尾を封印する計画を実行。計画は見事に成功したが、その間際、九尾は致死性の瘴気を撒き散らし、封印に立ち会った九名の王を殺してしまう。要を失った王国は緩やかに衰退し、やがて滅びてしまった。,千年前统治失落的王国的古老的血统。是苏丝雅、尤艾尔、蔻的祖先。<br>原本是由壹之王统治着全部的国土，然而对于不断扩张的领土和增长的国民，一个王想要持续统治也是心有余而力不足。后来壹之王将国土和国民割让给了可以信赖的八名部下，分封他们成为各国的王。但是诸王却因此傲慢起来，开始滥用权力。担心国家分裂的壹之王颁布了对诸王设置顺序的法律，努力想要维持和平。<br>然而她的努力都是徒劳，最终王家向狂暴的九尾投降，定期向它献上作为国家文化的舞蹈。不愿屈服于九尾的壹之王伙同其他诸王秘密实行封印九尾的计划。最终计划顺利成功，但在一切都要结束的时候九尾散发出致死性的瘴气，杀害了在场参与封印的九名国王。失去主心骨的王国随后慢慢衰退，最终消失于世。,
か行,ka行,
グランサイファー,格兰赛法,
ポート・ブリーズ群島、エインガナ島のアンガド高原に、いつの頃からか放置されていた難破船。草原に座しながらも雄々しいその姿は、操舵士を志したラカムの原風景であり、同時に彼の心を縛るものとなった。騎空艇としては中型のものであり、動力などに関しては一般的な騎空艇と変わらないが、搭乗者の心に反応するなど謎の多い機体でもある。,不知何时起被弃置在微风港群岛的艾因加纳岛安嘉德高原上的遇难船。<br>它坐落草原依然雄壮无比的姿态，对以操舵手为志向的拉卡姆来说，既是他的原始心象风景，亦束缚了他的心。<br>作为骑空艇，格兰赛法属于中型艇，动力方面与其他一般的骑空艇没有多大的区别，但它会对搭乘者的心做出反应，是充满谜团的机体。,
さ行,sa行,
スーオファミリー,娑之家,
国や街といった形を取らない集団であり、「マフィア」という単語が生まれた頃の互助組織としてのマフィアの形を今に残す者達。覇空戦争時代、瞳に強い魔力を宿した女性レイは各地で戦災孤児達を戦火から救い、保護していた。戦後、レイは彼女の一族が住んでいた島に孤児達と共に移り住み、彼等彼女等を養育。また、周囲の島には問題が起こった際にレイの瞳で真実を見極めてもらうといった形でレイを頼る者達もおり、その力を借りて子供達は無事成長していた。長じた子供達は様々な分野で才能を発揮、周囲の島の発展で重要な役割を果たしていく中で彼らが自分達の母として敬愛するレイもまた、本人の能力と相まって重鎮として存在感を放っていくようになる。長い時間の中でレイはひとつの権威となり、様々な組織間の調停を担う立場となっていったのである。,他们是没有采取国家及城市这种形式的集团，将黑手党此名诞生之初作为互助组织的黑手党的形态延续至今的人们。霸空战争时代，眼瞳中寄宿着强大魔力的女性零在各地将战争孤儿们从战火中救出并保护他们。战后她与孤儿们一起移居到她的一族的岛上，将孤儿们养大。另外，周围岛上有些人在有问题的时候借助零的眼瞳辨明事实，以这种形式依靠零，零也借助他们的力量让孩子们平安成长起来。长大后的孩子们在各个领域发挥才能，在周围岛屿的发展中负担起重要责任，而他们作为自己的母亲敬爱的零也逐渐配合自己的能力释放作为权威的存在感。经过漫长的时间，零成为了一个权威，站在了负责调解各种组织间关系的立场上。,
ま行,ma行,
マフィア,黑手党,
覇空戦争時代終結直後の空の世界は旧来の支配構造が解体され、治安の悪化や利権の奪い合いが発生せざるを得ない状況だった。同じ島に住む者同士、あるいは血の繋がりを持つ者同士といった集団がそれぞれ互助を行い再出発の道を歩む中で、主に武力によって集団を維持した者達が現在においてマフィアと呼ばれる存在の祖となっていく。武力頼みで他の勢力から「奪う」形で力を持った者達は、次第に他の形で安定を得た別の集団にとって目の敵となり、騎空艇の発展の中で島同士のやりとりが活発になるにつれそれらの関係性からつまはじきにされていった。その流れの中で暴力的な組織は非合法な手段を取ることで財を得るようになっていき、かくしてマフィアは犯罪者の集団として空の世界の闇を背負う者達の呼称となっていく。とはいえ本来は空の世界の互助組織の一形態を示していた言葉であり、場所によっては「地元の老舗自警団」といった意味合いでマフィアという単語が使われている例も見られる。,霸空战争时代刚刚结束的空之世界，过去的支配结构解体，治安恶化及权力争夺必然会发生。居住在同一座岛上的人，或是有血缘关系的人这种类型的集团各自互帮互助重新走上再次发展的道路，其中，主要以武力维持集团的人们成为了现在被称为黑手党的人的祖先。 依靠武力从其他势力“夺取”从而成为有力者的那些人，逐渐成为用其他方法获得稳定的其他集团的眼中钉。在骑空艇发展的途中，随着岛屿之间交流愈发活跃，他们也因为这些关系，被他人所嫌恶。在这种趋势下，暴力组织开始用不合法的手段获取财物，如此一来黑手党就作为犯罪者的集团成为了背负空之世界的黑暗的人们的称呼。 虽然如此，其原本也是体现了空之世界的互助组织的一个形态的词，有些地方也会用黑手党这词语来表示“本地的老商店自警团”的意思。,
マガザン,玛格森,
