id,en,jp,trans
0-chapter_name,,第2話 ひよこ班、訓練す,第2话 鸡仔班，训练
0-synopsis,,ひよこ班では筋トレと走り込みが連日行われていた。モルドレッドは、この練習を続けていて強くなれるのか、とヴェインに疑問をぶつける。ヴェインは班員に木剣を渡し、「これ使って俺にかかってこい！」と言い放つ。,鸡仔班一直持续着肌肉训练与跑步训练。莫德雷德向维恩提出质疑，只是持续这样的联系真的会变强吗？维恩发给班员们木剑，让他们和自己比试。
1,,<span class='scene-font-katari'>朝の練兵場。</span><br><span class='scene-font-katari'>相も変わらず筋トレと</span><br><span class='scene-font-katari'>走り込みを続けるひよこ班。</span>,<span class='scene-font-katari'>清晨的练兵场上。</span><br><span class='scene-font-katari'>一如既往地肌肉锻炼和</span><br><span class='scene-font-katari'>跑步的鸡仔班。</span>
2,,よーし！<br>んじゃ今日も訓練と行くか！,好啦！<br>开始今天的训练吧！
3,,今日もまた筋トレと<br>走り込みですか？,今天也是俯卧撑和<br>跑步训练吗？
4,,そうだけど？<br>どうかしたか？,是哦，<br>怎么了？
5,,いえ……<br>筋トレと走り込みばっかりで<br>強くなれるのかなーと思いまして。,不……<br>就是感觉总是训练俯卧撑和<br>跑步的话完全不会变强……
6,,そういえば……<br>他の班はもう剣を使って<br>訓練してるって聞いたよ！,话说回来……<br>听说其他班已经开始练剑了！
7,,そ、そうなんですね……<br>僕は剣は怖いなぁ……,是……是这样吗……<br>我有点害怕用剑……
8,,……剣術か。,剑术吗……
9,,ひよこ班のみんな！<br>はい！　注目！,鸡仔班的各位看这里！
10,,よそはよそ！<br>うちはうち！,别人是别人！<br>我们是我们！
11,,よそってのは良く見えるもんだ。<br>そんなものに惑わされてちゃあ<br>強くはなれないんだなぁ、コレが。,总是在意别处什么样才<br>最不可能变强哦！
12,,こんな練習を続けて<br>本当に強くなれるんですか？,可一直持续这种练习<br>真的能变强吗？
13,,俺ももっと強くなりたいなー！,我也好想变强啊！
14,,強くなりたいねぇ……<br>う～ん……仕方ないな。,想变强啊……<br>嗯……那没办法。
15,,よし、わかった！<br>お前達、まとめて俺にかかってこい！,我知道了！<br>你们几个联合起来和我比试！
16,,ええっ！？,诶诶！？
17,,いきなり実戦ですか……？,突然实战吗……？
18,,ああ、ただしこの木剣でな。<br>これ使って俺にかかってこい！,是啊，不过只能用木剑，<br>你们用这个朝我来吧！
19,,へへっ！<br>やったー！,嘿嘿，太好啦！
20,,……仕方ない。,没办法……
21,,えっえっ？<br>みんな本当に班長と戦うの？,诶诶？<br>大家真要和班长战斗吗？
22,,なぁに……ちょっとした手合せだ！<br>トネリロは無理しなくてもいいからな！,只是稍微比试一下而已！<br>托涅利罗不用勉强自己！
23,,は、はい……,好，好的……
25,,……行くぞ。,要上了……
26,,……言われなくても<br>分かってるぜ！,不说我也知道……！
27,,ああ！,啊啊！
info,,1,scene_evt171130_cp2_q3_s20
