text,trans
七星剣、預けたからね！<br>大事に使ってよ、姬塔ちゃん！,七星剑就先托付给你了！<br>用的时候要注意爱惜哦，姬塔酱！
豪胆、豪胆！<br>この状況で笑いやがるとは<br>流石肝が据わってなさる！,豪胆、豪胆！<br>这种情况还能笑得出来，<br>不愧是你们，真是很有胆量啊！
この人と一緒にしてほしくは<br>ないですけどね……<br>そんなことより、来ますよ！,不是很想和这个人被放在一起……<br>比起这个，祂要过来了！
──────！！,——————！！
,
「潰えた可能性」と取り込まれた<br>オロロジャイアを倒し、空の世界の喪失を回避しろ──！,打倒被“破灭的可能性”侵占的欧罗罗伽亚，<br>避免空之世界的丧失吧——！
七星剣を介して『涯て』の力が全身に漲る！,通过七星剑，“涯”的力量充斥着全身！
バトルログ,战斗记录
この魔力の流れ……！<br>気をつけて、<br>おっきいのが来るので！,这个魔力的流向……！<br>小心，<br>大的招式要来了！
臆する必要はない！<br>ここは私が引き受けよう！,没必要害怕！<br>这里就由我来接下！
ウーノが強力な攻撃に<br>備えて何重もの障壁を展開した！,乌诺为了抵御强力的攻击，<br>展开了多重的壁障！
Lv?? オロロジャイアの特殊行動が発動！,Lv?? 欧罗罗伽亚发动特殊行动！
スケロス・セメイオン,斯卡洛斯之印
良くぞ堪えた！<br>今こそ好機ぞよ！,干得好接住了！<br>现在正是好机会！
──────！?,——————！？
『因果』をも越える、<br>『涯て』の力……解き放つわ！,连“因果”都能跨越的，<br>“涯”的力量……在此解放！
ソーンの放つ魔力の矢がオロロジャイアを貫く！,索恩放出的魔力箭矢贯穿了欧罗罗伽亚！
そのまま、<br>核まで突っ走るが良いのじゃ！<br>特異点！,就按这个势头，<br>突进到核那里去吧！<br>特异点！
警戒。<br>（次の攻撃が来ます、<br>避けて下さい！）,警戒。<br>（下一次的攻击要来了，<br>请避开！）
避けなくていい！<br>こっちで対処します！<br>……姉さん！,没必要避开！<br>我们会应付的！<br>……姐姐！
姬塔を<br>止めさせはしない……！,不会让你妨碍姬塔的……！
エッセルとカトルがオロロジャイアの攻撃を弾く！,艾塞尔和卡托尔弹开了欧罗罗伽亚的攻击！
姬塔っ！<br>いっけー！！,姬塔！<br>上吧——！！
──ッ！<br>注意し給──,——！<br>注意——
メランレイヴ,梅拉诺熔岩
フュンフとニオが傷ついた<br>姬塔の体を癒し、体勢を立て直す！,芬芙和妮欧治疗了姬塔受伤的身体，<br>并帮助重整了态势。
Lv?? オロロジャイアのCTがMAXになった。,Lv?? 欧罗罗伽亚的CT变成MAX状态。
姬塔っ！！<br>いたいの、いたいの、<br>とーんでけー！！,姬塔！！<br>痛痛，痛痛，<br>都飞走——！！
気をしっかり保って……！<br>姬塔、<br>次の攻撃が来る！,要保持注意……！<br>姬塔，<br>下一次的攻击要来了！
私達がついてる。<br>一緒に乗り切ろう……！,我们会在你身边。<br>一起跨越过去吧……！
タレース・アスター,泰勒斯之星
長引かせればこちらが不利になる！<br>サラーサ、オクトー！<br>一気に片をつけるぞ！,拖太久对我们这边不利！<br>萨拉萨、奥克托——！<br>一口气解决掉祂！
承知！,了解！
任せとけ！,交给我吧！
姬塔！<br>俺達が隙を作る。<br>トドメはお前が──！,姬塔！<br>我们来制造机会。<br>最后一击就交给你了——！
空の世界喪失を回避するため<br>『涯て』の力を限界まで引き出す！,为了避免空之世界的丧失，<br>将“涯”的力量引出直到极限！
『涯て』の力を取り込んだ３人の奥義が<br>オロロジャイアに叩き込まれる！,摄入“涯”力量的3人的奥义，<br>尽数打在了欧罗罗伽亚身上！
オロロジャイアは動きを止めている……,欧罗罗伽亚的动作停止了……
