path,trans,duration,note
voice/3040080000_mypage1b,嗯？怎么了，团长？很在意我的衣服么？ 呵呵呵，不要客气……。来吧……想看就看，想碰就碰……随你喜欢……,17,暗贞
voice/3040080000_mypage2,呜……啊、啊……！好烫……好痛苦……！！那团火还在我体内燃烧……将那座村庄、将人们……燃尽的业火……！！,15,
voice/3040080000_mypage3,啊……团长好温暖……这就是生者的体温呢。这样依靠着你，我就能感到冰冷的心得到了些许慰藉……拜托了……暂时让我靠一会儿吧。,19,
voice/3040080000_birthday2,Happy Birthday。,1,生日
voice/3040080000_birthday1,生日快乐。,1,
voice/3040080000_Halloween1,不给糖就捣蛋！,2,万圣
voice/3040080000_Halloween2,万圣节快乐！,2,
voice/3040080000_Xmas1,圣诞快乐。,2,圣诞
voice/3040080000_newyear1,恭贺新年！,2,新年
voice/3040080000_newyear2,新年快乐！,2,
