id,en,jp,trans
0-chapter_name,,第24章　不死の星晶獣,第24章  不死星晶兽
0-synopsis,,霧に気配を紛れさせるセレストをなかなか見つけられないルリア。途方に暮れる一行の目の前でセレストはゾンビの魔物を食らい、力の回復を行う。村人の危機を察したフェリはひとり走り去ってしまう。,塞莱斯特的气息混入雾气之中，连露丽亚也难以找到它的本体。而就在束手无策的一行人面前，塞莱斯特吞噬了僵尸魔兽来恢复体力。菲莉察觉到村民们也处于危险之中，独自离开。
0,,ど、どうしよう、姬塔……<br>ごめんなさい……<br>セレストを探せそうにありません……,怎、怎么办呢，姬塔……对不起……我好像找不到塞莱斯特……
1,,なんだって！？<br>ど、どういうことだよ？,什么！？这、这是怎么回事？
2,,霧に紛れて、<br>気配が島中に広がってるんです……<br>これじゃ本体がどこにいるかなんて……,它的气息混在雾气里，弥漫在整个岛屿上……所以我根本不知道本体到底在哪里……
3,,マズイな……<br>この霧では目視で探そうにも、<br>そう遠くまで探すことは出来ないぞ……,情况不妙啊……就算我们用肉眼寻找，雾这么大，搜寻的范围也有限……
6,,…………,…………
7,,ね、ねぇ、あいつなにしてるの！？<br>いま、もしかして……,喂、你们看，那家伙在干什么！？它刚才、是不是……
8,,ゾンビの魔物を……食べてる。,把僵尸魔兽……吃掉了。
9,,ゾンビや幽霊……<br>自分に近い存在を食べることで、<br>力の回復をするつもりなのかしら……,吞噬自身附近的僵尸和幽灵……是想借此来恢复体力吧……
10,,おい、待てよ！<br>そうすっと、村の連中も<br>危ないんじゃねーか！？,喂，等等！这么说来村民们不就危险了！？
11,,……っ！！,……！！
13,,あっ！　おい！　フェリ！<br>どこへ行くんだ！？　危ないぞ！！,啊！ 喂！ 菲莉！你去哪里啊！？很危险的！！
14,,危ないのはこっちも一緒よ！<br>魔物が来てるわ！<br>油断してたら、やられちゃうわよ！,我们也一样面临危险哦！魔兽攻过来了！要是大意，可会被干掉的！
info,,1,scene_cp24_q2_s20
