path,trans,duration,note
voice/3040000000_Halloween1,万圣节快乐。,3,万圣
voice/3040000000_Halloween2,不给糖就捣蛋。,3,
voice/3040000000_Halloween3,团长，来说，“不给糖就捣蛋！”\n我已经准备了充足的糖果！呵哈哈。像这样到处施舍糖果的话，我的诅咒一下子就能……\n什么？你说不会解除？,19,
voice/3040000000_Xmas1,圣诞快乐。,2,圣诞
voice/3040000000_Xmas2,哼，无论谁都那么开心，我可不管什么圣诞节……\n什么？已经准备好了庆祝的位子？啧，没办法，今天就陪你吧。,17,
voice/3040000000_newyear1,新年快乐！,3,新年
voice/3040000000_newyear3,真是的……大过年的那群人真吵。不过是过个年有什么兴奋的……\n喂，等下，我没说我不吃正月的料理啊！,13,
voice/3040000000_Valentine1,情人节快乐。,3,情人节
voice/3040000000_Valentine2,什么……？你说这个巧克力给我……？哦，原来今天是那个叫情人节的日子啊。哼……不过，事到如今就算从你手上收到巧克力，我也没什么特别的想法……不过机会难得，我还是勉为其难收下好了。,18,
voice/3040000000_Valentine3,哼，传达想法的日子这种习俗真是太磨磨蹭蹭了。想法这种东西，不管什么时候赶快说出来不就好了吗。对吧，团长，你也是这么认为的吧？,17,
voice/3040000000_Whiteday1,白、白色情人节快、快乐！,4,白情
voice/3040000000_Whiteday2,收下……\n什么？你这家伙，居然要让本大爷说明吗！？是回礼！情人节的！\n哼……光受到施舍感觉不太舒服。我没什么其他意思。……不要搞错了！,18,
voice/3040000000_Whiteday3,本来，如果是要追求回礼的话，一开始就什么都别送不就好了……\n传达心意的话，靠语言就够了吧……你还要追求什么？,13,
