path,trans,duration,note
voice/3040047000_birthday1,Happy Birthday！,1,生日
voice/3040047000_birthday2,生日快乐！,2,
voice/3040047000_birthday3,我很高兴能像这样一起为你庆祝生日。愿精灵也保佑姬塔。,7,
voice/3040047000_Halloween1,万圣节快乐！,2,万圣
voice/3040047000_Halloween2,不给糖就捣蛋！\n今天正是最适合尽情欢闹的日子啊！,7,
voice/3040047000_Halloween3,嘿嘿嘿，我会好好努力恶作剧的。,5,
voice/3040047000_Xmas1,圣诞快乐!,2,圣诞
voice/3040047000_Xmas2,今天是圣诞节呢。\n欸？你想让我用力量下雪？,8,
voice/3040047000_newyear1,新年快乐！,3,新年
voice/3040047000_newyear2,新年快乐！\n今年的目标是，嗯……啊……偶尔放飞一下自我！,10,
