path,trans,duration,note
voice/3040021000_s1_birthday0,Happy Birthday！,1,生日
voice/3040021000_s1_birthday1,生日快乐！,1,
voice/3040021000_s1_birthday2,愿你度过一个美好的生日，姬塔,4,
voice/3040021000_s1_birthday3,能为你庆祝我觉得很幸福哦~,4,
voice/3040021000_s1_halloween0,万圣节快乐！,2,万圣
voice/3040021000_s1_halloween1,不给糖就捣蛋！,3,
voice/3040021000_s1_halloween2,呵呵，爱恶作剧的孩子也好可爱。,5,
voice/3040021000_s1_halloween3,哎呀哎呀，大家都想要糖果啊。,5,
voice/3040021000_s1_christmas0,圣诞快乐!,3,圣诞
voice/3040021000_s1_christmas1,平安夜的美食，真让人开心。\n来，团长，啊~嗯~,10,
voice/3040021000_s1_christmas2,我很期待交换礼物哦~呵呵,8,
voice/3040021000_s1_newyear1,Happy New Year！,3,新年
voice/3040021000_s1_newyear0,新年快乐！,3,
voice/3040021000_s1_newyear2,哎呀哎呀，欧根他好像喝多了，我去照顾他。,8,
voice/3040021000_s1_newyear3,呵呵呵，团长你还不能喝酒哦~,6,
