path,trans,duration,note
voice/3040153000_mypage1,我和你们只是因为利害一致而暂时共同行动罢了。就让我们在必要时刻并肩作战吧。,9,终突前
voice/3040153000_mypage2,特异点……我们曾经还是敌人……呵，所谓命运，真是不可思议。,10,
voice/3040153000_mypage3,为什么我喜欢咖啡？……毕竟我第一次喝咖啡已经是两千年以前了。……那种久远的事情，我早就忘了。,15,
voice/3040153000_s1_halloween_mypage1,万圣节快乐……只是随口说说而已。,3,万圣
voice/3040153000_s1_halloween_mypage2,不给糖果就捣蛋……我才没有觉得很欢快。,4,
voice/3040153000_s1_halloween_mypage3,两千年间我都是一个人，对于孤独，早就已经习惯了。,7,
voice/3040153000_s1_valentine_mypage1,情人节快乐。偶尔吃点甜食也不错啊。,4,情人节
voice/3040153000_s1_valentine_mypage2,谢谢你的礼物。什么啊，就算是我也是会道谢的。,5,
voice/3040153000_03_mypage1,我自身的愿望吗……\n没想到只不过是那位大人的替代品的我，也会有承认自己的存在意义的一天……,10,终突后
voice/3040153000_03_mypage2,天司长的羽翼和极彩色的羽翼，老实说，背负这两个羽翼对我来说是重担。\n但是聚集在我身上的羽翼，以及愿望，我是不会放手的。,14,
voice/3040153000_03_mypage3,引起灾厄的罪人到头来变成了新的天司长，真是讽刺啊。\n不……这也是大家信任我的结果吧。,14,
voice/3040153000_s1_birthday_mypage1,嗯？今天骑空艇的伙伴们特别坐立不安啊。\n原来如此，是姬塔你的生日啊,10,生日
voice/3040153000_s1_birthday_mypage2,一年一度被大家庆祝诞生的日子啊，对我来说是无缘的事情呢。,8,
voice/3710089000_mypage1,路西菲尔大人……\n您是怀着怎样的心情背负着这六枚羽翼的呢……\n我想要更加了解您的心情。,13,cd皮
voice/3710089000_mypage2,我曾经憎恨着自己作为天司长的备用品被制造出来的命运，完全没有预想过……预想过这一天真的会到来。\n没想到那位大人会有一天不在人世……,16,
voice/3710089000_mypage3,空之世界的咖啡经过不断的进化，香味和浓度都发生了多样的变化。\n其如同主张个性般的发展，就像在表现空之民本身的性质一样。,13,
voice/3710088000_mypage1,没想到他们会想邀请曾经给空之世界带来危机的我去参加空之民的晚会……甚至还给我准备了这样的衣服。\n特异点那家伙，太有干劲了。,14,周年皮
voice/3710088000_mypage2,怎样？可否愿意与我共舞一曲。\n……喂特异点！这本叫《晚会的秘诀》的愚弄人的书到底是什么东西！\n这种台词，在外面怎么可能说得出口！,12,
voice/3710088000_mypage3,穿着与平常不同的穿着享用的咖啡，味道也与平常不一样啊。\n偶尔穿这件衣服喝喝咖啡说不定也不错。,12,
voice/3040153000_s1_christmas_mypage1,圣诞快乐。\n今天是名叫平安夜的日子啊。,5,圣诞
voice/3040153000_s1_christmas_mypage2,在天上飞的圣诞老人？\n喂，那家伙是司掌什么的天司？,7,
voice/3040153000_s1_newyear_mypage1,新年快乐。\n今年也请多关照。,5,新年
voice/3040153000_s1_newyear_mypage2,Happy New Year。\n今年一定要报仇雪恨。,6,
