id,name,detail
npc,萝赛塔,3040068000
special,无尽玫瑰,<div class=prt-text-small>风属性伤害(特大)/(无结界时)我方全体弱化效果成功率UP/(有结界时)防御UP</div>
special-エターニティ・ローズ,永恒玫瑰,<div class=prt-text-small>风属性伤害(特大)/(无结界时)我方全体弱化效果成功率UP/连续攻击率UP/(有结界时)防御UP/奥义值UP</div>
skill-1,蔷薇结界,<div class=prt-text-small>展开蔷薇结界 <span class=text-blue>◆每回合消费30%奥义值/奥义值不足、结界LV5、再使用时解放结界，赋予我方全体强化效果</span></div>
skill-2,铁处女,对敌方全体造成风属性伤害/我方全体伤害提升
skill-2++,铁处女,对敌方全体造成风属性伤害/赋予我方全体蔷薇的慈爱效果
skill-3,梦之城,赋予自己援护效果（全体）/减轻50%受到的伤害
skill-3+,梦之城,<div class=prt-text-small>赋予自己援护效果（全体）/减轻50%受到的伤害/根据受到伤害的次数提高奥义值（5%/最大50%）</div>
skill-4,永恒主宰,<div class=prt-text-small>无视目标随机造成8次风属性伤害/赋予敌方全体久远荆棘效果</div>
support-1,蔷薇女王,玫瑰结界展开时，自己获得敌对心UP/反射/再生/攻击力DOWN效果
support-2,蔷薇摇篮,根据受到敌人的攻击的次数，在回合结束时无视目标随机造成风属性伤害（最大10次）
skill-lb,LB技能,使用技能「铁处女」时有概率使玫瑰结界密度上升
intro,苍丽的蔷薇,她旅途的足迹划遍空域，妖娆的微笑背后总藏掖着真相。女人的眼神里曾有无数景色随时光来往过却。 作为今昔之连结者，她一直悉心照料着那株“小小的”未来。
