name,trans
血濡れのヘッドリーパー,染血的斩首者
マンティス・グラディエーター,螳螂角斗士
ブラッドサースト,渴血的怪兽
クレイゴーレム,黏土魔像
エンシェント土竜,远古土龙
アルデバラン,金牛座
チップマンクアーミー,花栗鼠军团士兵
闘虫禍草,斗虫祸草
ヤンググリーン,小青
ロッポウハンド,六面手
デスペラード,法外狂徒
ヒッポラーヴァ,熔岩河马
眼力のモノクロプス,目力的独眼巨人
ヘルキャメル,地狱骆驼
ディスカード・パペット,弃牌木偶
ミートミキサー,撕肉鱼
ウルフセイバー,狼剑客
ゲルギャ,盖尔加
ミミック,宝箱怪
アオノカリス,钴蓝水鬼蕉蝎
カクターマン,仙掌人
カースドスペシメン,被诅咒之物
デュラハン,无头骑士
レオパルト,镜豹
横暴なロイヤルペンギン,蛮横的皇企鹅
シルトレイ,淤泥鱼
ユピウピ,六角蝾螈
水のエレメンタル,水元素
ペンギン,企鹅
ヘクトアイズ,百眼蛞蝓
コルニス,飞檐鸟
辻癒しのシーアター,治愈系的海獭
アクアシード,水之种
フォレストパンサー,丛林豹
ランページシェル,暴躁外壳
禁足のメルトロック,禁足的溶解岩石
禁足のマッドマン,禁足的狂乱人偶
ドゥンケルハイト,比黑暗还要深远的黑暗
モイヨイ,海獭
ブレードヴァイス,白刃甲虫
スパイキー,刺刺
ピンホルダー,针齿钳鱼
ジャイアントフット,巨脚怪
キマイラ,奇美拉
禁足のルーカヌス,禁足的巨锹甲虫
トワイライトフライ,暮光龙蝇
セフィリアン・ナーガ,塞菲利安纳迦
オーガヤンマ,巨蜻蜓
ホーンバード,长角鸟
ハーピー,鹰身女妖
セフィリアン・コブラ,塞菲利安眼镜蛇
ロッド,长杆虫
ウルカヌ,乌鲁加努
禁足のパイソンクイーン,禁足的巨蛇女王
風鈴茸,风铃菇
空塞ジャイガンティック,遮天蔽日鸟
グリフォン,格里芬
ロック鳥,洛克鸟
心臓突きのコーンカイト,刺穿心脏的独角鸢
千針万刺のンニネズミ,千针万刺的海胆鼠
ヘルムワーム,盔甲蠕虫
モニュメント,纪念碑
ビースティンガー,巨蜂钉刺者
ニーズヘッグ,尼德霍格
禁足のシードイーター,禁足的食果兽
禁足のサーバルタイガー,禁足的剑齿虎
禁足のバーニンカクタス,禁足的燃烧仙人掌
予測不能のツイスター,无法预测的旋风蜻蜓
ウィンドシード,风之种
オクトポーデ,八之领主
スーペルヒガンテ,超级大的牛
マグターマン,炎掌人
絞殺しのエメラルドボア,绞杀的祖母绿巨蟒
ドリフトフライ,漂移蜻蜓
カトブレパス,卡托布莱帕斯
セフィリアン・フラワー,塞菲利安魔花
バットヘッド,蝙蝠首领
禁足のユニオラ,禁足的组合兽
夢幻のアラベスク,梦幻的起舞风铃菇
アンモノイデア,菊石
フレイムタイラント,烈焰暴君
ミノタウロス,牛头人
アンダイン,水精灵
禁足のパンゲアストン,禁足的盘古石
禁足のドレインポリプ,禁足的吸能珊瑚虫
サイクロプス,独眼巨人
ワイバーン,双足飞龙
オールドハウンド,古代猎犬
ゲートキーパー,门扉守护者
セフィリアン・ヒドラ,塞菲利安多头蛇
カフヴァール,卡夫瓦尔
フレイムシード,火之种
禁足のメガヤビー,禁足的巨型破坏者螯虾
筋骨隆々のワートホグ,肌肉隆隆的巨大疣猪
エアグレイブ,死亡蜂
マキモーラ,疯狂翻车鱼
サイコラット,精神力巨鼠
スカーレットランナー,绯红奔跑者
カースドトレント,咒蚀的大树
禁足のフロギストン,禁足的烈焰石
巨顎のロックフィッシュ,巨颚的岩石鱼
アースシード,土之种
大海のアクアプリンセス,大海的水之公主
禁足のハイドロストン,禁足的水能石
ガスト・ヒュー,喧嚣沙尘
バルバル,拳肌袋鼠
禁足のバクトリアン,禁足的刀背骆驼
禁足のブルヘッド,禁足的公牛头
禁足のシルフィストン,禁足的风灵石
雲喰いサンライズグロウ,吞噬云层的日暮金红蝇
ルーデンス・ゲイズ,戏谑凝视者
ハイスチールビートル,高硬钢甲虫
禁足のペンタドラ,禁足的五首龙
ピクシー,皮克西
禁足のリューシマンダー,禁足的纯白蝾螈
猛きヘラクレスビートル,勇猛的大力神甲虫
ベラドンナ,贝拉多娜
耽溺のアクアメイド,耽溺的阿库娅女仆
怒髪天のマグマタマス,怒发冲天的岩浆暴君
キラービー,杀人蜂
ボーンナイト,骸骨骑士
禁足のプルピータ,禁足的远古鹦鹉螺
ルビガメ,红宝石龟
マンティスルーラー,螳螂Ruler
禁足のハチェットバード,禁足的短斧鸟
禁足のアイスボーン,禁足的寒冰骸骨
暴食のラクーンマッシュ,暴食的浣熊菇
虎視眈々のプテラゴン,虎视眈眈的绝望魔龙
パイア・ソー,白头巨鹰
禁足のサーベルタイガー,禁足的剑齿虎
シスの分身体,希斯的分身
雷光を纏った天雷剣,雷光环绕的天雷剑
魔晶化した星の眼,魔晶化的星之眼
ピュア・フェニックス,完美·菲尼克斯
幽世の竜,幽世之龙
幽世の繭,幽世之茧
