id,麻友桑的话筒,text,trans
0-chapter_name,,第6話 大切な刻をとりもどすために,夺回重要之时
0-synopsis,,姬塔達は、ハンナから異形の軍勢が湧き出したと言う情報を聞き、生徒達と共に最後の攻勢に出る。一行は生徒達が切り開いた道を進み、時計塔に辿り着く。やがて、時計塔の中で再び、異形の司令塔と相対した一行は、戦闘の末、遂に討伐に成功し、異界の門を閉ざすことに成功する。しかし、異形の司令塔は自らの身を贄として黒い獣を呼び出すのだった。,姬塔他们听汉娜说异形军涌了出来，于是和学生们一起迎击敌人。一行人沿着学生们杀出的血路来到钟楼。最终，在钟楼内部，再次对上异形司令官。战斗的末尾终于将其讨伐。然而，异形司令官却以自身为媒介，召唤了一头黑兽。
1,ウィリアム,あっ……アンくん！<br>ハンナが探していたよ！,啊……安！汉娜正找你呢！
2,アン/安,ウィリアム先輩！<br>無事だったんですね！,威廉前辈！你没事啊！
3,オーウェン/欧文,皆、随分動揺しているようだ……<br>ウィリアム先輩、生徒会長殿はどこに？,大家好像都很惊慌……威廉前辈、会长在哪里？
4,ウィリアム,こっちだ！,这边！
9,アン/安,ハンナちゃん、みんなどうしたの？<br>なにかあったの？,汉娜、大家怎么了？发生了什么？
10,ハンナ/汉娜,……今しがた、時計塔から<br>大勢の敵が現れたようですわ。,...刚刚、钟楼那边涌现了大量的敌人。
11,ビィ/碧,まさか、アイツ等の本隊ってヤツが<br>押し寄せてきたってのか！？,难道说、是他们的大部队攻过来了！？
12,ハンナ/汉娜,まだ全体の規模までは<br>確認できていませんの。<br>ただ……,还没有确认是不是大部队。但是……
13,ハンナ/汉娜,明らかに昨日までより<br>勢いを増して出現していますわ。<br>それは確かです。,能确认的是，明显比昨天的气势更为庞大。
14,イオ/伊欧,そんな……！,怎么会……！
15,ハンナ/汉娜,恐らく敵はこちら側の策に<br>勘づいているのだと思います。<br>となれば最早、時間はありません！,恐怕敌人看穿了我们的策略。这样一来，已经没有时间了！
16,アン/安,いよいよだね。,终于到了。
17,グレア/古蕾雅,うん……,嗯.....
18,ハンナ/汉娜,皆さん、よろしいですか？,大家伙儿，准备好了吗？
18-sel1_txt,,<span class='scene-font-katari'>決戦だ！</span>,一决胜负吧！
19,ビィ/碧,よぉし！<br>やってやろうぜぇ！,好！我们来大干一场！
20,ルリア/露莉亚,はい！<br>皆で力をあわせて、頑張りましょう！,嗯！大家齐心协力、加油吧！
21,ハンナ/汉娜,それでは、みなさん行きましょう！<br>これがマナリアを取り返すための<br>最後の戦いです！,那么、大家出发吧！这是夺回马纳利亚的最后之战！
