id,en,jp,trans
0-chapter_name,,エリカ?大神編,艾丽卡·大神篇
0-synopsis,,一行の戦闘を傍観していた葵叉丹は、不意に殺気を放ちエリカを屋外へと吹き飛ばす。外へと出されたエリカはポンメルン率いるエルステ帝国軍を見つけ、ポンメルンに対し塔の中で戦う仲間を助けに行きたいと懇願する。その申し出を受け入れたポンメルンの力を借り、エリカは文字通り弾丸の如く塔の中へと戻るのだった。,旁观着众人的葵叉丹，趁虚而入放出杀气将艾丽卡打飞出室外。此后艾丽卡发现了率领艾尔斯特帝国军的彭梅伦，请求他帮助自己去拯救还在塔内战斗的同伴。允诺此事的彭梅伦伸出援手，艾丽卡如字面描述一样，如子弹一般回到了塔内。
0,,……さて、こんなものか。<br>では……消えるがいい！,……你们就这水平吗。<br>那么……给我消失吧！
1,,<span class='scene-font-katari'>後方で戦闘の様子を眺めていた叉丹は</span><br><span class='scene-font-katari'>不意に殺気を放った。</span>,<span class='scene-font-katari'>一直在后方观察战斗情况的叉丹</span><br><span class='scene-font-katari'>出其不意地放出了杀气。</span>
2,,<span class='scene-font-katari'>その殺気の向く先を知り、</span><br><span class='scene-font-katari'>大神は声を荒らげる。</span>,<span class='scene-font-katari'>知道这股杀气的指向的大神，</span><br><span class='scene-font-katari'>发出慌乱的声音。</span>
3,,……！<br>エリカくんっ！,……！<br>艾丽卡君！
4,,え……！　ええっ！？,诶……！诶诶！？
5,,きゃあああっ！？,呀！？
6,,なるほど……<br>この規模であれば制御は可能か……,原来如此……<br>可以控制到这种规模吗……
7,,お、おい！<br>あの姉ちゃんどうなっちまったんだ！,…喂！<br>你把那个姐姐怎么样了！
8,,フン……貴様らの知る所ではない。,哼……他到你们不知道的地方去了。
9,,くっ……！<br>エリカくん……！,咕……！<br>艾丽卡君……！
10,,どうした、大神一郎。<br>その刀は飾りか？<br>さあ、かかってくるがいい！,怎么了，大神一郎。<br>你那把刀是摆设吗？<br>来，放马过来！
11,,く……<br>うおおおおおおっ！,咕……<br>唔噢噢噢噢噢噢！
13,,<span class='scene-font-katari'>瞬く間に屋外へと放り出されたエリカ。</span><br><span class='scene-font-katari'>そして、次の瞬間──</span>,<span class='scene-font-katari'>艾丽卡一瞬间就飞到了室外。</span><br><span class='scene-font-katari'>下一个瞬间──</span>
