id,en,jp,trans
0-chapter_name,,ジェミニ?大河編,杰米妮·大河篇
0-synopsis,,葵叉丹の開いた異界の門を通り、停泊していたグランサイファーの近くへと飛ばされてきた新次郎とジェミニ。霊子甲冑が破損してしまい途方に暮れていると、ふたりは通りすがりの騎空士ラカムに遭遇する。ラカムの案内で姬塔の騎空団に同行することになったふたりは、よろず屋を通じて降魔がこの世界でも暴れていることを知り、降魔退治へと出撃する。,穿过了葵叉丹打开的异界之门，杰米妮和新次郎飞到了停靠着的格兰赛法附近。发现灵子甲胄已经破损后，正当走投无路之时，两人遇到了骑空十拉卡姆。随后两人通过拉卡姆介绍，决定于姬塔的骑空团同行。在万事屋得知了降魔正在这个世界作乱之后，两人出击讨伐降魔。
0,,わひゃあああああっ！？<br>うわああああああっ！！,哇呀啊啊啊啊啊啊啊！？<br>哇啊啊啊啊啊啊啊！！
1,,<span class='scene-font-katari'>叉丹の術により異界へと飛ばされた</span><br><span class='scene-font-katari'>ジェミニと新次郎。状況の飲みこめない</span><br><span class='scene-font-katari'>ふたりは、思わず顔を見合わせた。</span>,<span class='scene-font-katari'>新次郎和杰米妮因为叉丹的术法被传送到了异界。</span><br><span class='scene-font-katari'>还没有搞清楚状况的两人面面相觑。</span><br><span class='scene-font-katari'></span>
2,,<span class='scene-font-katari'>一瞬遅れて、ふたりの背後で</span><br><span class='scene-font-katari'>嫌な音がした。振り返れば、</span><br><span class='scene-font-katari'>ジェミニの霊子甲冑が墜落していた。</span>,<span class='scene-font-katari'>就是在这一瞬间，两人背后响起了令人不快的声音。</span><br><span class='scene-font-katari'>回头一看，原来是杰米妮的灵子甲胄掉了下来。</span><br><span class='scene-font-katari'></span>
3,,うわあっ！？<br>ボクのロデオスターが！,哇！？<br>我的Roteo Star！
4,,すごい音がしたけど、<br>大丈夫かな……<br>壊れてないといいけど……,听声音很惨啊，<br>没事吗……<br>希望没有坏掉……
5,,<span class='scene-font-katari'>霊子甲冑に乗り込み、</span><br><span class='scene-font-katari'>動作を確認するジェミニ。</span><br><span class='scene-font-katari'>それを横目に、周囲を眺める新次郎。</span>,<span class='scene-font-katari'>杰米妮跳上了灵子甲胄，开始检查。</span><br><span class='scene-font-katari'></span><br>新次郎在旁边四处张望。<span class='scene-font-katari'></span>
6,,うーん……<br>ここ、どこだろう？,嗯……<br>这里是什么地方啊？
7,,葵叉丹は<br>異界の門を開いたと言っていたけど……<br>まさか本当に別の世界に来たのかな？,葵叉丹说要打开异界之门……<br>难道我们真的到了另外的世界吗？
8,,<span class='scene-font-katari'>見渡す限りの異様な景色に</span><br><span class='scene-font-katari'>戸惑う新次郎。見れば、空に島さえ</span><br><span class='scene-font-katari'>浮かんでいるのだ。</span>,<span class='scene-font-katari'>新次郎对映入眼帘的异样的景色困惑不已。</span><br><span class='scene-font-katari'>仔细一看的话，天空中还漂浮着岛屿。</span><br><span class='scene-font-katari'></span>
9,,参ったな……,真头疼啊……
10,,おーまいがー！,Oh—My—God！
11,,ジェミニ！？,杰米妮！？
12,,えっと、スターがね、<br>腕とか足とかは<br>大丈夫みたいなんだけど……,那个…虽然Star脚和手什么的<br>好像没有什么问题……
