path,trans,duration,note
voice/3030072000_Halloween2,不给糖就捣蛋！,2,万圣
voice/3030072000_Halloween3,团长，你有带糖果吗？呵呵，今天我也会变成坏孩子，恶作剧可不会手下留情哦~,11,
voice/3030072000_Halloween4,团长，机会难得，要不要一起变装？\n那边有成对的衣服，我们两人一起享受万圣节吧。,11,
voice/3030072000_Xmas1,圣诞快乐！,2,圣诞
voice/3030072000_Xmas2,神圣的夜晚，下雪的天空总感觉很浪漫啊。\n我也想有一天能够跟重要的人一起……,9,
voice/3030072000_newyear1,新年快乐！,2,新年
voice/3030072000_newyear2,心情为之一新的新年呢。今年我要更加努力锻炼，尽量接近父亲和莫妮卡小姐他们。,10,
voice/3030072000_Valentine1,情人节快乐！,2,情人节
voice/3030072000_Valentine2,那、那个！我做了……巧克力，不过有一半让莫妮卡吃掉了……不、不过，莫妮卡她说很好吃……所以……如果能告诉我你的想法就好了！,19,
voice/3030072000_Valentine3,给你这个，巧克力。谢谢你平日的关照，团长。\n欸？情人节是向受到照顾的人表达谢意的日子吧？向喜欢的人传达想法？欸？还有这种意思吗？,21,
