text,trans
どうしても、戦わないと<br>いけないんですか……？,我们非得战斗不可吗……？
ごめんね……<br>でも、放っておいても、<br>あたしは骸の竜に呑まれる。,抱歉了……<br>但就算放着不管，<br>我也会被骸骨龙吞噬。
だったらせめて、<br>あたしの全てを<br>ルリアのために使いたいんだ。,所以，至少要把我的一切<br>都用在露莉亚身上。
……それでも、<br>私はリリトさんのことを助けます！<br>みんな、力を貸してください！,……就算是这样，<br>我也想拯救莉莉特小姐！<br>大家，请帮帮我！
,
骸の竜からリリトを解放せよ！,将莉莉特从骸骨龙之中解放出来！
ルリアは様子をうかがっている！,露莉亚在观察情况！
バトルログ,战斗日志
……聞こえる。<br>これは、ティアマトの声……？,……我听到了。<br>这是提亚玛特的声音……？
骸の竜による攻撃の影響か……？<br>星の力が、ルリアの意思に<br>呼応するかのような……,是骸骨龙的攻击造成的影响吗……？<br>星之力似乎在回应露莉亚的意志……
それなら……！<br>姬塔！<br>お願いできますか？,既然如此……！<br>姬塔！能帮我个忙吗？
星の力を取り戻し始めてる……,星之力开始逐渐回到露莉亚身上……
これ以上は本当に危ない。<br>こっちだって、<br>もうなりふり構ってられない……！,再这样下去就危险了。<br>事到如今，<br>我也只好不管不顾了……！
させません……！<br>リリトさんも救うと決めたんです。<br>だから力を貸して、ティアマト！,不要这样……！<br>我们说过要拯救你的。<br>把力量借给我吧，提亚玛特！
ヘヘっ、調子は戻ったみたいだな！<br>手を貸すぜ、ルリア！,嘿嘿，状态回来了啊！<br>我来帮你，露莉亚！
ラカムが射撃で隙を作り出す……！,拉卡姆的射击制造了破绽……！
骸の竜は体勢を崩している……！,骸骨龙态势不稳……！
星晶獣が進化してる……<br>ルリアの力はもう<br>あたしの設計を越えつつある。,星晶兽进化了……<br>露莉亚的的力量<br>正在不断超越我的设计范围。
でもきっと、進化の先にあるのが、<br>あの絶望と孤独なんだ……<br>だから、あたしは……！！,但在进化的尽头等待的<br>是孤独与绝望……<br>所以我要……！！
骸の竜の力が、増してる……！<br>私が、守ります……！,骸骨龙的力量增强了……！<br>我来保护大家……！
姬塔にカタリナ、<br>騎空団のみんな……<br>私には大切な人がたくさんいます。,姬塔、卡塔莉娜，还有骑空团的大家……<br>对我来说都是无比珍视的人。
だから……<br>もう守られるだけじゃないんです！<br>リリトさんのことだって……！,所以……我才不要一味被保护！<br>我也要为莉莉特小姐做些什么……！
レギンドラウグ,神骸尸焰
……これはあたしへの罰かな。<br>触れるべきでない存在に<br>手を伸ばしてしまった罰。,……或许这是对我的惩罚。<br>是对我染指不该触及的存在的惩罚。
貴方の未来が<br>不安で心配でたまらないけど、<br>これ以上は何もできない……,我对你的未来担忧到几乎难以忍受，<br>但我再没有什么事能为你做了……
でも託さなきゃ、だよね……<br>ルリアのお母さんでいたいから。,但我也只能选择托付了……<br>因为我想做你称职的母亲。
攻撃の手が少し緩んだか……？<br>なんだか知らねぇがチャンスだ。<br>このまま骸の竜を倒すぞ！,攻势放缓了……？<br>虽然不明白原因，但这是个好机会。<br>就这样一鼓作气打倒骸骨龙！
ああ……<br>ルリアには私達がいる。<br>それを認めてもらわねばな。,是啊……<br>露莉亚有我们在，<br>必须得让她认识到这一点才行。
正直ね、姬塔くんたちが<br>居てくれれば、大丈夫かもって<br>思い始めてる自分もいるんだ。,说实话，“只要有姬塔<br>和其他同伴在身边就没问题”，<br>这种想法我也有过。
でも、だからこそ、消える前に<br>やることはやっておかなきゃ。,但是正因如此，<br>我才必须要在消失前达成我的目的。
プロヴィデンスレンド,天意断离
骸の竜の力が暴走してる……！<br>これ以上は、<br>リリトさんが消えちゃいます……！,骸骨龙的力量失控了……！<br>这样下去莉莉特小姐要消失了……！
いいんだ……これで。<br>悲しませるのは不本意だけど、<br>これがあたしに出来る最後の事……,我没关系的。<br>我并非有意让你们悲伤，<br>但我仍要为露莉亚尽最后的责任……
だから見せてよ。<br>ルリアの隣に立つ、<br>貴方達の覚悟を……！,所以，让我见识一下吧。<br>你们与露莉亚并肩而立的觉悟……！
誓いも覚悟も、<br>とうに済ませているさ。<br>必ずルリアを守り抜くと……！,誓言和觉悟，<br>老早以前就都做好了。<br>我一定会将露莉亚守护到底……！
攻撃に備え、防御に徹している！,贯彻防御，准备迎接攻击！
骸の竜は星の力を帯びた熱線を解き放つ……！,骸骨龙释放出蕴含星之力的高温射线……！
エクスパンド・ノヴァ,扩散新星
ふふ……強いね。<br>それ以上に、ルリアを<br>大切に思う気持ちが伝わってくる。,呵呵……真厉害。<br>你们珍视露莉亚的心意，<br>已经真真切切地传达给我了。
この先何があったとしても、<br>みんなと一緒なら、<br>きっと未来だって変えられる。,不管今后发生什么，<br>只要和大家在一起，<br>就算是未来也一定能够改变。
だから、私達を信じてください！<br>リリトさん！,所以请相信我们吧！<br>莉莉特小姐！
共に未来を歩む決意が、力となって湧き上がる……！,一同走向未来的决心化作力涌了上来……！
……私の完敗かな。<br>ねぇ、姬塔くん──,……我彻底输了啊。<br>你说是吧，姬塔——
ルリアを、よろしくね。,露莉亚就拜托你了。
