text,trans
オレにはもう時間がねぇ……<br>出し惜しみは無しだ！！,我已经没有时间了……<br>我再也不会有所保留！！
絶対に止めてみせます！<br>私は、みんなの幸せのために<br>力を使うって約束したから……！,我们一定会阻止你！<br>我已立誓要为守护大家的幸福<br>倾尽全力……！
碧の騎士として、<br>秩序の担い手として……<br>私が貴方の全てを受け止めます！,作为碧骑士，<br>作为秩序的担负者……<br>我要接下你所背负的一切！
,
終わりなき復讐の連鎖へ、終止符を打て──,为无尽的复仇锁链画上句号——
……！<br>不思議な感覚が、身体を包んでる。<br>ルリア、これは……,……！<br>感觉身体被不可思议的力量包裹。<br>露莉亚，这是……
私に残っていた、<br>星の力を使いました……！,我使用了残留在我体内的星之力……！
プロクルスさんだけじゃない……<br>誰にも傷ついてほしくないから……,不仅是普罗克鲁斯先生……<br>我不希望在场的任何人受伤……
ルリアは様子をうかがっている！,露莉亚在观察情况！
バトルログ,战斗日志
そんな、加護の上から……！<br>なんて力……！,怎么会，明明已经有了加护……！<br>真是惊人的力量……！
こちらも長くはもちません！<br>私が道を拓きます！,我们也不宜久战！<br>我来开辟道路！
運命……いや呪いだな。<br>オレの前には<br>いつも碧の騎士が立ちはだかる。,命运……不，是诅咒。<br>碧骑士总是要挡在我的面前。
だが、オレは今度こそ成し遂げる。<br>アペプのために、オレは──！,但这次我一定会实现夙愿。<br>为了阿佩普，我要——！
プロクルスは星骸核に眠る、<br>三柱の残滓を呼び覚ます……！,普罗克鲁斯唤醒了<br>沉睡在星骸壳中的三具残渣……！
なっ……！<br>星の民の力を引きだした……！？,什么……！<br>他引出了星之民的力量……！？
同じ轍は踏まん。<br>今度はオレが使いこなしてやる。<br>さぁ、止めて見せろよ……！,我不会重蹈覆辙。<br>这次我一定熟练运用。<br>来吧，阻止我试试看啊……！
くっ……！<br>攻撃が反射されて、<br>攻め切れない！,唔……！<br>攻击被弹开了，打不到他！
まずは、あの障壁を<br>どうにかしないと……！<br>力を貸して、コロッサ──,得先对付那个屏障才行……！<br>请把力量借给我，科罗萨斯——
させるか！<br>ここで落とす……！,休想！<br>我这就干掉你……！
姬塔は防御に徹している……！,姬塔贯彻防御……！
終末の破刃,终末之破刃
姬塔……！<br>ありがとうございます！,姬塔……！谢谢你！
今度こそ、あの障壁を……！<br>私が合わせます、<br>いきますよ、ルリア！,这次一定要打破屏障……！<br>我也来帮忙，<br>要上了，露莉亚！
はい！<br>お願い……コロッサス！,好！<br>拜托了……科罗萨斯！
ルリアは鋼の巨人を呼び起こす……！,露莉亚唤出了钢铁巨人……！
障壁が破壊され、プロクルスは体勢を崩している……！,屏障被击碎，普罗克鲁斯态势不稳……！
ベルゼバブの障壁が……<br>どこまで邪魔をすりゃあ、<br>気が済むんだ……！？,别西卜的屏障居然……<br>你们到底要坏我好事到什么时候<br>才能善罢甘休……！？
貴方は本当は悪い人じゃない……！<br>こんな悲しいことに<br>なっていいはずありません！,你其实不是个坏人……！<br>你也不想<br>与我们拼个你死我活不可的吧！
ああ、そうさ……<br>だからオレは、<br>この狂った世界をぶっ壊す！,啊啊，是啊……<br>所以我要把这个疯狂的世界<br>彻底毁掉！
姬塔、ルリア。<br>手を貸してください！<br>ここでプロクルスを止めます……！,姬塔、露莉亚。<br>请帮帮我！<br>我们要在这里阻止普罗克鲁斯……！
プロクルスを止めたいという想いが、<br>力となって溢れ出す……！,想要阻止普罗克鲁斯的决心，<br>化作力量涌了上来……！
貴方は自分の正義に従い、<br>そして護りたい人のために生きた。<br>たとえ、結果が悲劇だとしても。,你曾遵循自己的正义，<br>为想要守护的人而活。<br>即便最后以悲剧收场。
なら、その過程にあった心を<br>私は信じたい。だから、<br>手を取ってください、プロクルス！,那么，我想相信<br>你曾经存在过的那份心意。<br>所以牵起我们的手吧，普罗克鲁斯！
ぐっ……！<br>くそっ……ははっ……<br>何を、やってるんだろうなオレは。,唔……！<br>该死……哈哈……<br>我都在做什么啊。
真っ直ぐ過ぎるくらいに<br>真っ直ぐだ、お前らは。<br>まるで、アイツみたいに……,真是坦诚得无药可救啊，你们。<br>就像那家伙一样……
オレはもう、止まってもいいのか？<br>なぁ、アぺプ……,我现在停手也没有关系吗？<br>回答我啊，阿佩普……
刹那、友の亡骸が脳裏をよぎる──,那一瞬间，挚友的亡骸在脑中闪过——
──違う。<br>そうじゃねぇんだ。,——不对。<br>才不是这样。
……！<br>力が増していく！<br>ダメです！　プロクルスさん！,……！<br>他的力量在增强！<br>不可以！普罗克鲁斯先生！
オレは、オレ自身が<br>許せねぇ……！！,我，无法原谅我自己……！！
全一の破玉,全一之破玉
ぐっ……！？<br>プロ……クルス……！,唔……！？<br>普罗……克鲁斯……！
悪ぃな。<br>だが、これで仕舞いだ──,抱歉。<br>但是，这下就结束了——
創世の神力に共鳴し、<br>姬塔は『涯て』へと接続する──,姬塔与创世神力共鸣，<br>连接到了“际涯”——
なん、だ……！？<br>蒼い髪……<br>それに力も増してやがる……,什、么……！？<br>蓝色的头发……<br>而且力量也提升了……
オレと同じ、神に由来する力……<br>共鳴したってのか、<br>コイツの内にある、何かが！,和我一样，是与来自神明的力量……<br>共鸣了吗。<br>凭着体内具有的某种东西！
破壊的な一撃の余波で、<br>ルリアとリーシャは戦闘を継続できない……！,在破坏性一击余波的冲击下，<br>露莉亚与莉夏无法继续战斗……！
ぐっ……！<br>まだだ、まだオレは……！,唔……！<br>我、我还能行……！
三柱の星の民の残滓……<br>その全てを、ここに賭ける……！！,三具星之民残渣……<br>我要在此赌上它们的一切……！！
三柱の残滓は束ねられ、<br>爆発的な力を生み出す……！,星之民的残渣凝为一体，<br>产生了爆发性的力量……！
星の民の力は使い果たした……<br>身体もそろそろ限界だ……,星之民的力量已经用尽……<br>身体也快到极限了……
それでもオレは……<br>アイツが信じた<br>オレでいたいんだよ……！！,但我还是……<br>想要做他曾相信过的自己……！！
プロクルスは最後の一撃に向け、力を溜める……！,普罗克鲁斯凝聚力量，准备打出最后一击……！
……ダチを護ると誓った。<br>だが、護ってやれなかった。,……我发誓要保护挚友的。<br>却没能保护得了。
そばに居るべきだった……<br>オレは、護りたかったんだ。<br>アイツのダチとして……,我本该在他身边的。<br>我想保护他的。<br>作为那家伙的挚友……
そして、アイツと共に歩む、<br>白の騎士として……！！,作为与他并肩同行的<br>白骑士……！！
ふたりは全力の奥義をぶつけ合う……！,两人倾尽全力，<br>将彼此的奥义碰撞在一起……！
