text,trans
星晶獣がこっちに来る前に<br>ぜ～んぶ食べきっちゃわないとね！,得在星晶兽到来之前全部吃光才行！
かしこみかしこみ～♪<br>って言いたいところだけど、<br>もうだいぶ満腹が近くて……,感激不尽~！<br>虽然我很想这么说，<br>但我已经快吃不下了……
ビカラ君、無理せず。<br>でもまだまだたくさんありますね。<br>本当に食べ切れるかな……,碧卡拉，不要勉强。<br>但是还剩下很多，<br>真的能吃完吗……
ペース配分が大事だよ！<br>おなかいっぱいで倒れないように<br>気をつけてね。,节奏把控很重要！<br>要注意不要因吃太撑而倒下哦。
これほど格別な果物を食べられる<br>機会もそう多くはないからな。<br>楽しんでたいらげるとしよう。,吃到这样特别水果的机会可不多见。<br>让我们愉快地吃干净吧。
星晶獣が来る前に山盛りの果物をたいらげよう！,在星晶兽到来之前吃光堆积如山的水果！
敗北条件：全員が満腹状態、<br>または5ターン以内に果物を食べ切れない,失败条件：全员进入满腹状态，或者5回合之内未能吃完所有水果
私の計算通りならこのペースで<br>食べていけば星晶獣が来る前に<br>ペロリと完食できるかと。たぶん。,如果我的计算没错，以现在这个节奏吃下去的话<br>能在星晶兽到来前利索吃完。大概。
あとは色んな果物を順番に食べると<br>飽きることなく、<br>食べ続けられるんじゃないかな？,还有就是要交替着吃各种水果，<br>这样就能在不吃腻的情况下吃到完了吧？
確かに同じ味に飽きちゃったら、<br>手が止まっちゃいそうだもんね。,确实，要是一种味道吃腻了，<br>就会不想继续吃了。
以前、参拝者の話を耳にしたが、<br>バナナやイチゴには<br>老化防止や美肌効果があるらしい。,本宫曾听参拜客说过，<br>香蕉和草莓具有抗氧化和美化肌肤的效果。
び、美肌効果……！？,美、美化肌肤……！？
この品質のメロンやマスカットが<br>育つのは何年後か、もしかしたら<br>一生手に入らぬやもしれぬ。,这样优质的蜜瓜和麝香葡萄不知道什么时候才能长出来，<br>说不定一辈子都没法再吃到了。
一生手に入らない……！？,一辈子吃不到了……！？
最高級品といっていい出来栄えだ。<br>残すわけにはいかぬな？,这可是名副其实的最高级珍品。<br>可不能剩下一点啊？
絶対残しません！！,吃个片甲不留！
山盛りの果物はみずみずしく輝いている……,堆积如山的水果闪烁着鲜亮的光辉……
バトルログ,战斗日志
本当においしいね。<br>果物を取る手がとまりません。,真好吃。拿水果拿得都停不下来了。
そうだね。<br>でもまだまだたくさん残ってるし、<br>時間も無いから油断は禁物だよ。,是啊。<br>但是还剩很多，<br>时间也快没了，可不能大意。
満腹になりそうなら<br>消化を助けてくれるこの薬湯を<br>分けてあげるね！,要是快吃饱了，<br>我就把帮助消化的汤药分给大家！
芳醇な香り,芳醇香气
さ、最初は良かったけど<br>ちょっと食欲なくなってきたね……,开、开始是很顺利，<br>但现在食欲有些减退了……
クビラが言っていた通り<br>ペース配分が大事ということか。<br>食べ進めたら一度休憩にしよう。,正如库碧拉所说，<br>节奏把控很重要啊。<br>吃到一定进度就休息一下吧。
ケッコウ減ってきたね。<br>けど……,已经吃了不少了。<br>可是……
もう時間がないよ！<br>急がないと……！,快没时间了！<br>不快点的话……！
（みんな、限界が近いみたい……<br>私が一気にたいらげないと……！）,（大家都快到极限了……<br>我得一鼓作气解决掉才行……！）
薬湯って聞いてたけど<br>とっても飲みやすいね！<br>なんだかリフレッシュできたかも！,虽说是汤药，却很好下咽呢！<br>完全振作起来了！
甘いものばかり食べているせいか、<br>さわやかな苦みが染み渡るな。<br>一種の清涼剤か。,不知是不是刚才甜的吃多了，<br>这清爽的苦味沁人心脾。<br>也算是一种清凉剂了。
えへへ～！<br>大好評みたい！<br>持ってきてよかった！,诶嘿嘿~！<br>大受好评啊！<br>这药真是拿对了！
あとちょっとだ～……！,还差一点点……！
よぉーし！<br>このまま一気にいこう！,好——嘞！<br>就这样一鼓作气！
ふぅ……<br>もうあんまり入らないかも……,呼……<br>我可能已经吃不下了……
クビラ君、すごいね……,库碧拉，真厉害啊……
見事な食べっぷりだったな。,吃得真是豪爽啊。
よーし！<br>ボクたちも負けてられないよ！,好——嘞！<br>我们几个也不能输啊！
,
