text,trans
いずれ来る絶望を待つ必要はない。<br>「至聖の座」へと赴き未来を、<br>そして全ての旅を終わらせる。,无须等待终将到来的绝望。<br>我要到达“至圣之座”，为未来，<br>为所有的旅程画上句号。
旅が絶望で終わるなんて……<br>そんなの誰にもわかりません！,这样所有人的旅途……<br>都不会以绝望告终了！
「至聖の座」への移動は、<br>僕達がサポートするよ。,去往“至圣之座”的航行，<br>由我们来保障。
姬塔達は、<br>あいつを何とかしてくれ！,姬塔，你们就专心阻止他吧！
私が先陣を切る。<br>ここが正念場だ……！<br>いくぞ……！,我来打头阵。<br>此刻就是决胜关头……！<br>上了……！
,
「至聖の座」へと向かう<br>疑似創世神アンティゴネロスを止めろ！,阻止去往“至圣之座”的疑似创世神安提戈涅洛斯！
攻撃の手を<br>緩めるわけにはいかねぇ。<br>いくぞ！　ラカム！,现在攻击可不能松懈。<br>上了！拉卡姆！
合わせるぜ、オイゲン！,与你联手，欧根！
愚かな行いだ……<br>全ての旅人に<br>安寧を与えようというのに……,愚蠢的作为……<br>我要做的是<br>为所有的旅人带来安宁……
Lv?? 疑似創世神アンティゴネロスの特殊行動が発動！,Lv?? 疑似创世神安提戈涅洛斯发动了特殊行动！
バトルログ,战斗日志
リバース・ノスタルジア,逆转乡愁
押しつけがましいのは<br>願い下げなんだから！,你这强加于人的态度，<br>我敬谢不敏！
辛いことがあっても、<br>アタシ達は前に進みたいの。,即便会遭遇痛苦，<br>我们也仍想向前迈进。
くっそぉ……<br>あいつ全然止まる気配がねぇ。,可恶……<br>那家伙完全没有要停的意思。
それでも俺達が<br>やるしかねぇんだ……！,但我们也绝对不会放弃……！
艇の損傷がかなりマズいな……<br>あまり悠長には<br>してられねぇぞ！,船的损伤很严重……<br>不能再这样耗下去了！
大気を震わす強烈な攻撃が<br>姬塔たちに襲い掛かる──！,震荡大气的强烈攻击<br>朝姬塔等人袭来——！
ここは僕に任せて<br>今のうちに攻撃を！,防御交给我，<br>趁现在发起攻击！
ビィさん！<br>私達も……！,碧！<br>我们也……
おうよ！<br>オイラ達も<br>一緒に戦うぜ……！,好！<br>俺也要一起战斗……！
ふたつの破壊の咆哮が大気を揺るがす……！,双重的咆哮震撼大气……！
その程度の力で及ぶはずもない……<br>求めるものの次元が違うのだ。,这种程度的力量远不及我……<br>我们的追求有着跨次元的差距。
