text,trans
この時を待っていた……！<br>王国にのさばる汚点の全てを、<br>破壊し尽くしてやるとしよう！！,我一直等着这一刻……！<br>将在国内肆无忌惮的污点<br>全都破坏掉吧！
ユリウス……お前、<br>その力を使って大丈夫なのか？,尤里乌斯……<br>你使用那种力量没问题吗？
問題ない。むしろ本気で<br>挑まなければこちらがやられる。<br>今の星の眼はそれだけの強敵だ。,没问题。<br>不如说不认真对待的话会被打败的是我们。<br>现在的星之眼就是这样的强敌。
わかった。<br>ならば俺も全力で戦う。<br>お前だけに無理はさせないからな。,我明白了。<br>那我也全力战斗吧。<br>可不能只让你一个人逞强啊。
敗北条件：ユリウスの戦闘不能,失败条件：尤里乌斯无法战斗
やはり凄まじい破壊力だ。<br>俺の天雷剣だけでは<br>光の矢を防ぎきれん……！,果然破坏力很可怕啊。<br>光凭我的天雷剑无法防御光箭……！
私に任せておきたまえ、親友殿。<br>星の眼よ、かつての主の前に<br>ひれ伏すがいいッ！,交给我吧，亲友殿。<br>星之眼啊，<br>拜倒在过去的主人面前吧！
さっすが、ユリウス様！<br>ニュルニュルはちょっとあれだけど<br>頼りになる～！,真不愧是尤里乌斯大人！<br>虽然触手滑溜溜的有点恶心，<br>但是真靠得住！
でもなんだか苦しそう……<br>やっぱり星晶獣の力って、<br>身体に凄く負担がかかるのかな？,不过他好像很痛苦……<br>果然星晶兽的力量，<br>会对身体造成很大负担吧？
そのようだな。<br>団長とユリウス様のためにも<br>我々も力を出し尽くすぞ！,似乎是的。<br>为了团长和尤里乌斯大人，<br>我们也要使出全力！
スターバースト,
完全に防御態勢に入ったな……<br>攻撃力が元に戻るまで<br>時間を稼ぐつもりなのか？,完全进入防御姿态了啊……<br>想拖延时间直到攻击力恢复吗？
クフフ……無駄だ。<br>私の力を前にして<br>貴様に抵抗する術はない！,呵呵呵……没用的。<br>在我的力量面前你无法抵抗！
フハハハハハッ！！<br>どうだ！？,哈哈哈哈哈！！如何！？
……ユリウス。<br>その笑い方はやめてくれ。,……尤里乌斯。别这样笑了。
何を恐れている、親友殿？<br>正気は保っている。君に刃を<br>向けていないのが何よりの証拠だ。,你在害怕什么，亲友殿？<br>我还保持着理智呢。<br>没有对你兵刃相向就是最好的证据。
正気なのはわかっている。<br>だからこそやめてくれ。頼む。,我知道你很清醒。<br>所以才叫你别这样。拜托了。
クッフフフ……,呵呵呵呵……
はぁ……はぁ……<br>ぐぅっ！,哈……哈……唔！
ねぇ、ユリウス様の様子、<br>なんかおかしくない？,那个，尤里乌斯大人的神态，<br>好像有点奇怪吧？
うん……なんだろう？<br>まるで自分を追い詰めてる<br>みたい……,嗯……该怎么说呢？<br>似乎有点逼迫自己的感觉……
アルベール団長、<br>このまま戦いを続けても<br>よろしいのでしょうか？,阿尔贝尔团长，<br>这样继续战斗不要紧吗？
……続けるしかない。<br>今星の眼を止めなければ<br>レヴィオンを救えないんだ。,……只能继续了。<br>如果现在不阻止星之眼的话<br>就无法拯救雷维翁了。
エクセキューション・ジャッジメント,执 行 审 判
（剣を手に取れ、力を使え！<br>醜いものを壊すために……！）,（拿起剑，使用力量吧！<br>为了破坏丑陋的事物……！）
（ためらうな。<br>覚悟はとうに出来ている！<br>さぁ壊せ、壊せ、壊せえええ！）,（别犹豫。<br>你早就做好准备了！<br>来吧破坏吧，破坏吧，破坏吧！）
Lv70 魔晶化した星の眼のCTがMAXになった。,Lv70 魔晶化的星之眼CT最大了！
バトルログ,
──！！,
星の眼に力が集まっていく……！<br>最大級の攻撃が来そうです！<br>警戒を！,星之眼的力量正在聚集……！<br>似乎要进行最大规模的攻击！<br>小心！
ユリウス！<br>あれを止める方法は！？,尤里乌斯！<br>有没有阻止攻击的方法！？
…………,
っ……！<br>クソ！,唔……！可恶！
時間は稼げたな……<br>ユリウス、大丈夫か？<br>返事をしろ！　おい！,只能拖延时间了……<br>尤里乌斯，没事吧？<br>回答我！喂！
そんなに大声を出さなくても<br>聞こえているよ。<br>実に的確な判断だ、雷迅卿殿。,不这么大声我也听得见。<br>真是正确的判断，雷迅卿大人。
……何を隠しているのか知らんが、<br>戦いが終わったら全て<br>話してもらうからな。,……虽然不知道你在隐瞒什么，<br>但是战斗结束后，<br>我要你全部告诉我。
ああ、真実を伝えるとも。<br>全てが終わった後でね。,好啊，我会告诉你真相的。<br>在一切都结束之后呢。
ぐっ……うああ！！,唔……啊啊啊啊！！
デストルクティオよ……<br>もう少しだ。あと少しで<br>私達の悲願は達成される！,德斯托克提奥啊……<br>还差一点。还差一点我们的<br>夙愿就能达成了！
今こそ力を解き放とう！<br>計画を完遂し、<br>全てを終わりにするのだッ！！,趁现在解放力量吧！<br>完成计划，终结这一切！！
,
