text,trans
早く退魔してマタゴットを<br>助けなきゃならないってのに……<br>さっさと片づけるぞ！,得快点完成退魔，拯救玛塔戈才行……赶紧把他解决了！
まさかオレに勝つつもりか？<br>星晶獣は諦めるんだな。<br>そしてアブラメリンの情報を吐け。,难道你们觉得能胜过我？劝你们趁早放弃那头星晶兽，然后老实交代阿布拉梅林的情报。
しつけえな！<br>てめえも魔族も<br>すぐに片づけてやるぜ！,你烦不烦啊！我要把你和魔族全部砸个稀巴烂！
,
退魔を妨害するジェリオンを退けろ！,击退妨碍退魔的杰里翁！
ダリダラの渾身の一振りが、<br>ジェリオンの刃布に防がれる……！,达里达拉的全力一击被杰里翁的刃布防住了……！
バトルログ,战斗日志
そんな単純な攻撃を<br>食らうわけがないだろ。,我怎么可能被那么单纯的攻击击中。
ちっ……<br>そんな芸当もできんのかよ。,切……还有这么一手。
いい機会だ。<br>お前たちにストラウド一家の<br>戦い方を教えてやる！,机会不错。就让你好好见识一下斯特劳德一家的战斗方式！
……っ！<br>何か仕掛けてくるぞ！<br>気をつけろ！,……唔！他在酝酿些什么！做好准备！
Lv?? ジェリオンの特殊行動が発動！,Lv?? 杰里翁发动了特殊行动！
エグゼキュート・レリギオ,处决绞缚
姬塔！<br>大丈夫か！？,姬塔！你没事吧！？
あがいても無駄だ。<br>オレの布で拘束されれば<br>もう動けまい。,无谓的挣扎。被我的布条缠住就不可能挣脱了。
攻めも守りも強い。<br>これがストラウド一家の戦い方……<br>一体どうしたら……,攻守一体。这就是斯特劳德一家的战斗方式……到底该怎样……
連携がとれていないな。<br>オレひとりでも十分なようだ。,配合不够默契啊。看来我一个人就足够了。
姬塔は拘束されて動けない！,姬塔被捆住无法行动！
キリング・ディスメンブロ,致命撕裂
小男の方はともかく、<br>そっちの小娘は話にならないな。<br>腑抜けた攻撃が当たると思うな。,小矮子姑且不论，那个小丫头简直没眼看。别以为那种软绵绵的攻击能打中我。
（せっかく戦うって決めたのに……<br>あたしはまた、なにもできない……）,（好不容易下定决心战斗了……可我还是什么都做不到……）
フィルキス！<br>お前は無理をするな！<br>オレがなんとかする！,菲尔基丝！别勉强！我会想办法的！
（結局、また誰かに守られるだけ？）,（结果我还是只能被别人保护吗？）
託された言葉が、<br>フィルキスを勇気づける……！,姐妹的话语带给了菲尔基丝勇气……！
ちがう……戦わないと！<br>あたしはそのために<br>ここにいるんだから！,不是的……我要战斗！为此我才站在这里！
よっしゃあ！<br>姬塔の拘束が解けたぜ！,好！姬塔的拘束解开了！
こいつぁいいな！<br>やるじゃねえか、フィルキス！,干得漂亮！这不是挺行的嘛，菲尔基丝释放解放安多琳娜的全部力量……
……と思ったけど<br>まだチャージが足りないみたい。<br>時間を稼いでくれる？,……我是想这样做，但充能好像还没完成。能帮我争取一下时间吗？
時間稼ぎなんて<br>小せえことするつもりはねぇ！<br>先にぶっ潰しとくぞ！,争取时间那种小家子气的活儿我才不做呢！看我先打扁他！
多少勢いづいたところで無駄だ！<br>ミアミント、グズグズするな！,别以为稍微长了点气势就能翻盘了！米娅敏特，别磨蹭了！
で、でも……,可、可是……
攻撃をためらうミアミントに、<br>ジェリオンが厳しく指示を飛ばす……！,犹豫是否要出手的米娅敏特接到了杰里翁的严厉指示……！
スレイン・トランスフィゴ,屠戮穿刺
ミアミント！<br>どういうつもりだ！？<br>真面目に戦え！,米娅敏特！你什么意思！？给我认真战斗！
わ、わかってるけどぉ……,我、我明白啦……
お、どうした？<br>「ひとりで十分」、<br>じゃなかったのか？,哦，怎么了？你不是你“一个人就足够了”吗？
チッ……,切……
あたしはもう、覚悟を決めたよ。<br>そっちはどうするの？,我已经做好了觉悟。你呢？
ア、アタシは……,我、我……
フィルキスの膨大な魔力が込められた<br>アンドリーニャが唸りを上げる！,注入了菲尔基丝庞大魔力安多琳娜发出了咆哮！
なんか出た！？,啥玩意射出来了！？
くっ……なんだ？<br>いきなりなんか出やがった……,唔……什么？啥玩意突然射出来了……
なんか出たってあんま言わないで！,不用反复说那么多遍！
そろそろ厳しいな。<br>魔族の注意を引くのも<br>このあたりが限界か……,真难办啊。我这边吸引魔族注意也快到极限了……
おっと……！？<br>向こうもヤバいな。<br>こうしちゃいられねぇ！,哦哟……！？那边看来也挺不妙啊。不能再这样下去了！
