text,trans
いいカラダしてるだろ？<br>キミ達のために仕上げたんだ、<br>ちょっと遊んでかない？,我的肉体不错吧？<br>是为了你们特制的，<br>不一起来玩吗？
ち……っ！<br>ルシファーを見失うわけには……！,啧……！<br>不能跟丢路西法……！
まあ焦るなよ、サンディ。一発目から<br>本命を掴むと損だぜ？　他の相手も<br>味わっとけよ。オレとかさ。,嘛不要着急嘛，sandy。<br>一枪就能抓住真命天子的话就是损失了哦？<br>也常常别人的味道嘛，比如我。
ルリアは様子をうかがっている！,露莉亚在观察情况！
バトルログ,战斗记录
おいおいどうした？　もしかして<br>浮気相手には受け身になるタイプ？<br>本気のフリした方が楽しいぜ？,喂喂怎么啦？<br>难道说你对外遇对象是被动的类型？<br>假装是认真的会更有趣哦？
ゴエティア,
フフ。ヤればデキるじゃないか。<br>そう、火起こしの要領だ。<br>お互い高めあって次第に熱く──,哼哼。要做的话不是能做的很好吗。<br>没错，玩火的要领。<br>相互撩拨，变得越来越热烈————
燃えてきたね！<br>オレも一肌脱ごうじゃないか！,热起来了呢！<br>我也来帮你好了！
バルトロマイ,
