text,trans
これよりは神の領域である。<br>跪け、絶対なる神意のもとに。,从今往后就是神的领域了。<br>臣服在绝对的神旨之下吧。
姬塔！<br>ビィが力を解放するまで<br>俺達でこいつを食い止めるぞ……！,姬塔！<br>在碧释放力量之前<br>拖住这家伙……！
,
家族で力を合わせ、破壊の神から母を取り戻せ！,一家人齐心协力，把母亲从破坏之神那里解救出来！
ビィは力の解放に集中している……！,碧在为释放力量做准备……！
バトルログ,战斗日志
お前達は優れた空の民である。<br>しかし、それでも<br>神と人の力の差は比ぶべくもない。,你们都是优秀的空之民。<br>但凡人的力量<br>终究无法与神相提并论。
俺達を見くびるんじゃねぇ……！,可别小看了我们……！
このまま一気に攻め続けるぞ！<br>姬塔！,就这样一鼓作气继续进攻！<br>姬塔！
無益な時間だ。<br>結末はすでに決まっている。,白费工夫。<br>结果已经注定了。
無常,无常
ビィの内なる力が小さく輝き出す……！,碧体内的力量放出了微弱的光辉……！
大丈夫か！<br>姬塔！<br>親父さん……！,没事吧！<br>姬塔！<br>老爹……！
俺達のことはいい！<br>なすべきことに集中してくれ！,不用管我们！<br>专心做好你该做的！
まだ戦えるな？<br>姬塔！,你还能战斗吗？<br>姬塔！
幼く未熟ゆえ、特異点の真価、<br>危険性は未知数……<br>不確定要素は先んじて排除する。,出于幼小稚嫩之故，<br>特异点的真实价值<br>及其危险性皆为未知……<br>不确定因素应当首先排除。
もう家族を失うつもりはない……！,我不会再失去任何一个家人了……！
ガラントはヴェルサシア・ジェネシスの攻撃に備え、<br>全身に気を集中させる……！,格兰特集中浑身斗气，<br>以应对维萨西娅·创世的攻击……！
引き続きビィは力の解放に集中している……！,碧进一步准备释放力量……！
ガラントの拳がヴェルサシア・ジェネシスの猛攻を弾き返す──！,格兰特的拳头把维萨西娅·创世的猛攻弹了回去——！
我が使徒も<br>いまだ進化を続けている……？<br>このままでは……,我的使徒也在不断进化……？<br>这样下去……
ここが正念場だ、いけるか……！<br>姬塔！,成败在此一举，你还行吗……！<br>姬塔！
ふたりは母親を取り戻そうとする決意を力に変える……！,两人夺回母亲的决心化作力量……！
想いが込められたふたりの攻撃により<br>ヴェルサシア・ジェネシスは体勢を崩す……！,蕴含着两人心意的攻击<br>打得维萨西娅·创世架势不稳……！
ビィの内なる力が輝きを放っている……！,碧体内的力量放出光辉……！
今だ……！<br>ビィ！！,就是现在……！<br>碧！！
姬塔！　親父さん！<br>あとはオイラに任せてくれ！！,姬塔！老爹！<br>接下来就交给俺吧！！
