text,trans
──ッッ！！,
（俺の嘘を裁こうというのか、<br>天雷剣よ……！）,（是要裁决我的谎言吗，<br>天雷剑……！）
俺が攻撃を引きつける！<br>その間に姬塔とマイム達は<br>天雷剣を止めてくれ！,我来引开攻击！<br>姬塔和麦姆她们<br>趁机阻止天雷剑！
敗北条件：いずれかのキャラの戦闘不能,败北条件：任意角色无法战斗
アルベールは天雷剣の攻撃を引きつけている！,阿尔贝尔引开了天雷剑的攻击！
バトルログ,
Lv?? 雷光を纏った天雷剣の特殊行動が発動！,
サンダーレイド,
本当にアルベール団長ばかり<br>狙ってるね……<br>天雷剣、どうしちゃったんだろう？,真的只针对<br>阿尔贝尔团长呢……<br>天雷剑，究竟怎么了？
天雷剣は使い手の意志に<br>忠実に従うんじゃなかったの！？<br>なんで攻撃してくるわけ！？,天雷剑不是忠于<br>使用者的意志吗？<br>为什么会反过来攻击他！？
原因究明は後だ！<br>お前達、戦いに集中しろ！,之后再查明原因！<br>你们现在先集中精神战斗！
……ッ！！,……！！
雷が集まっていく……<br>攻撃をかく乱しなければ、<br>会場内の者達が危ない……！,雷电正在聚集…<br>…如果不扰乱它的攻击，<br>会场里的人会有危险……！
ついて来い、天雷剣！<br>雷迅卿と呼ばれる速さ、<br>お前に見せてやる！,放马过来吧，天雷剑！<br>让你见识一下<br>雷迅卿的速度！
エレクトロンテンペスト,
さっすがアルベール団長！,真不愧是阿尔贝尔团长！
ここからはアタシ達に<br>任せてください！<br>みんな、行くよー！,接下来就交给我们吧！<br>大家，上啊——！
また雷を集めだしたか……<br>恐らく同じ手はもう通用しない……,又开始集中雷电了吗……<br>恐怕同样的手段无法起效……
姬塔、すまないが<br>お前の力を貸してくれ！<br>,姬塔，<br>抱歉能助我一臂之力吗！<br>
エレクトロンブレード,
姬塔、助かった！<br>礼を言うぞ！,姬塔，帮大忙了！非常感谢！
さぁ、あと一息だ！<br>一気に畳みかけて<br>天雷剣を止めるぞ！,好，还剩一口气！<br>一鼓作气<br>阻止天雷剑吧！
,
