text,trans
追いついたぜ！<br>これが本当の最後の戦いだ！,追上了！<br>这真是最后的战斗了！
世界を、未来を<br>終わりになんてさせません！,我们不会让你毁灭世界与未来！
理想の理解を拒むのは、<br>旅に妄信する旅人ゆえか……,会拒绝理解我的理想，<br>是因为你们是盲信旅途的旅人吗……
やっちまえ！<br>姬塔！　ルリア！<br>オイラ達の全部をぶつけるんだ！,上吧！<br>姬塔！露莉亚！<br>拼上俺们所拥有的一切！
,
空の世界の命運を賭けた最後の戦いに終止符を打て！,为堵上空之世界命运的最后一战画上句号！
「至聖の座」はもう目の前です。<br>なんとしてもここで<br>食い止めないと……！,“至圣之座”已近在眼前。<br>无论如何也要在这里阻止他……！
なにゆえ、<br>誰もが望む理想の世界を<br>否定するのか……,你们为何要否定<br>所有人都翘首以盼的理想世界呢……
初めから満たされていたのなら、<br>旅に出る必要など無いでしょう。,既然一开始就能得到满足，<br>就没有必要踏上旅途了。
リバース・ノスタルジア,逆转乡愁
お前が届けたんだろ！<br>親父さんからの手紙を……！,老爹写给姬塔的信！<br>是你送来的吧……！
あの手紙を初めて読んだ<br>姬塔の顔を、<br>オイラはいまでも覚えてる……,俺到现在都还记得，<br>姬塔第一次阅读那封信时的表情……
姬塔の胸に旅立ちの記憶が蘇る……,启程时的记忆在姬塔脑海里复苏……
バトルログ,战斗日志
寂しいから旅に出たんじゃねぇ……<br>憧れに近づきたかったから、<br>姬塔は旅に出たんだ！,才不是因为寂寞……<br>是为了靠近憧憬，<br>姬塔才踏上了旅途！
憧れに近づこうとする<br>姬塔の勇気が、<br>私を救ってくれました……,是想要靠近憧憬的<br>姬塔的勇气，<br>拯救了我……
旅を続けていれば……<br>勇気を持って前に進めば、<br>どんな奇跡だって起きるんです！,只要继续旅行……<br>心怀勇气继续向前，<br>不管是怎样的奇迹都有可能发生！
姬塔を介して<br>「破壊の神」と「星の神」の力が今、一つとなる……！,此刻，<br>“破坏之神”与“星之神”的力量，<br>通过姬塔合为一体……！
その無謀な信念が、<br>多くの悲劇を生んだのだ……！,你那毫无根据的信念，<br>究竟催生了多少悲剧……！
この力なら<br>きっとあいつを止められる……！,这股力量一定可以阻止那家伙……！
認めない……<br>そのような力も、<br>くだらない信念も……,无法承认……<br>你那荒唐的力量，<br>还有那无聊的信念……
旅は終わる……<br>全ては私が終わらせる……！,旅途将会迎来终结……<br>一切都由我来结束……！
私達は負けません……！,我们绝不会输……！
Lv?? 疑似創世神アンティゴネロスの特殊行動が発動！,Lv?? 疑似创世神安提戈涅洛斯发动了特殊行动！
アイオーン・エイレーネ,安宁永驻
未来に進めば進むほど<br>安寧は遠ざかっていく……,未来越是向前推进，<br>安宁就越是离人们远去……
これ以上の未来は認めない。<br>悲劇へ至る前に、<br>終幕を迎えなくては……,我不会让未来继续下去。<br>必须要在悲剧来临之前，<br>拉下舞台的帷幕……
疑似創世神アンティゴネロスは力を集中させるため、<br>姬塔から距離を取る……！,疑似创世神安提戈涅洛斯为了凝聚力量，<br>拉开了与姬塔的距离……！
逃がすかよ！！,别想跑！！
Lv?? 疑似創世神アンティゴネロスの力の解放が大気を激動させる……！,Lv?? 疑似创世神安提戈涅洛斯释放的力量震荡大气……！
旅は全て終わらせる……！<br>一なる世界こそ最良の結末なのだ！,我要终结一切旅程……！<br>无始无终的世界才是最好的结局！
旅の終着点は<br>他の誰でもない、オイラたち<br>自身で決めるもんだ……！,旅途的终点<br>是由俺们自己决定的，<br>他人无权干涉……！
私達の旅は終わりません……<br>蒼い空が続く限り、どこまでも！,我们的旅程不会结束……<br>只要这片天空还在延伸，<br>我们就将奉陪到底！
空の世界の命運を賭け、<br>超越的な力と力が激突する──,赌上空之世界的命运，<br>超越性的两股力量激烈地碰撞在一起——
