text,trans
くっ……！,唔……！
煩悩にまみれた攻撃かい……<br>実に厄介だけど、<br>払い甲斐があるってもんサ。,沾满烦恼的攻击吗……<br>确实很麻烦，但正因如此才有驱散的价值。
サンカラよ。<br>ヴァジラを返してもらうぞ。,桑卡拉啊。<br>把瓦姬拉还回来。
フン！<br>初代と現在の十二神将ども……<br>まとめてかかってこい！,哼！<br>初代与现任的十二神将们……<br>一齐放马过来吧！
,
偽ジョヤの煩悩を打ち払え！,驱散假除夜的烦恼吧！
Lv?? 局地型煩悩ジョヤの特殊行動が発動！,Lv?? 局地型烦恼除夜发动特殊行动！
バトルログ,战斗日志
邪念爪,邪念爪
たいしたことないな。<br>十二神将といっても<br>こんなものか。,不痛不痒。<br>十二神将也不过如此而已嘛。
さあ、私が発明した<br>煩悩ジョヤにひれ伏せ！,来，跪倒在我发明的烦恼除夜脚下吧！
攻撃は効いてる気がする！<br>このまま戦えば倒せるはずだよ！<br>みんな、頑張ろっ☆,进攻有效！<br>保持势头战斗下去的话肯定能赢！<br>大家加油☆
無駄なあがきを！<br>いけ、煩悩ジョヤ！,无谓的挣扎！<br>上，烦恼除夜！
サンカラちゃん……<br>牛乳でも飲んで、<br>一度落ち着こ……？,小桑卡拉……<br>来喝杯牛奶，<br>冷静一下怎么样……？
いらんわ！,才不要咧！
じゃあ、アタイがもらおうかねェ！,那就由我代收吧！
はい、マコラちゃん……♪,好哦，小玛蔻拉……♪
（これは相手を焦らす作戦なのか、<br>それとも単にのん気なのか、<br>どちらなんだ……）,（这是扰乱对手心神的战术吗，<br>还是说只是单纯的心大呢……）
煩悩砲,烦恼炮
この力の大きさこそ、<br>500年の間に積もった<br>私の煩悩そのものだ！,这庞大的力量，<br>正是我积攒了500年的烦恼本身！
すごい勢いだ……<br>ダルマの外に漏れ出ていた<br>だけのことはあるねェ……,好强的气势……<br>能渗到达摩外边也不奇怪了……
落ち着いて対処すればいい。<br>さっさと片をつけて<br>ヴァジラを救出するぞ。,沉下心来冷静应对便可。<br>尽快收拾掉它，把瓦姬拉救出来。
……──！？,——！？
バサラ様ガン攻めで<br>超ウッケる～☆<br>鬼つよ～い！,巴萨拉大人可真行啊~☆强得不得了~！
おっし！<br>わたしもイイところ<br>見せちゃうんだから☆,好嘞！<br>我也来好好露一手吧☆
調子に乗るなよ……<br>お前達の好きにはさせん！,别得意忘形了……<br>不会让你们得逞的！
偽ジョヤが鐘の姿に変形する……！,假除夜变成了钟的形状……！
偽ジョヤがスーパーシンダラを捕らえようとする……！,假除夜试图捉住超级辛妲拉……！
ええぇぇぇ！<br>バサラ様が取り込まれちゃった★<br>どうしよ～！？,诶诶诶诶！<br>巴萨拉大人被关进去了★<br>怎么办啊~！？
なんてこったい！<br>でも慌てるんじゃないよォ……<br>何かやりようはあるはずサ！,怎会如此！<br>但是现在不是慌的时候……<br>肯定还有什么办法！
鐘なら、ご～んって……<br>強く叩いてみたらどうかな……？,既然是钟，那就“咚”的一下……<br>使劲敲它怎么样……？
（強く叩けるもの……<br>あそこにバサラ様の一太刀で<br>倒れた大木が……閃いた！）,（能够用来使劲敲的东西……<br>那边是被巴萨拉大人的斩击砍倒的大树……<br>有了！）
ちょうどよさそうな撞木が<br>あそこにあるじゃないか！<br>ちょいと誰か頼めるかい？,那边不是正好有个可以用来当钟槌的东西嘛！<br>能麻烦谁去取一下吗？
そういうことなら……<br>私が取りに行くよ！<br>みんなも手伝ってくれる？,既然如此……<br>我去取！<br>大家能来帮帮忙吗？
煩悩を払う鐘撞きが始まる……！,驱散烦恼的敲钟开始了……！
アチョオ！<br>どうだぁ！？<br>わたしたちの鐘撞きはー☆,我打！<br>如何！？<br>我们的敲钟——☆
ご～ん……ご～ん……<br>いい音だねぇ……♪,咚~咚~<br>声音真好听……♪
よっしゃァ！<br>このまま叩きまくるよォ！,好嘞！<br>就这样继续敲下去！
三位一体、怒涛の鐘撞きが炸裂する……！,三位一体，有如狂澜的敲钟炸裂了……！
108回の猛攻撃を受けて<br>偽ジョヤはたまらずバサラを解放した！,抵挡不住108回猛烈攻击的假除夜<br>释放了巴萨拉！
バサラ様、おかえり～☆,巴萨拉大人，欢迎回来~☆
当代の寅神よ、礼を言う。<br>十二神将にふさわしき闘志だ。,现任寅神，多谢了。<br>你的斗志不负十二神将之名。
………,………
どうしたジョヤ、動け！<br>私の積年の恨みは<br>こんなものではないぞ！？,怎么了除夜，快动啊！<br>我长年以来的怨恨不止于此吧！
観念しろサンカラ。<br>ヴァジラを返してもらうぞ！,死心吧，桑卡拉。<br>把瓦姬拉还回来！
初代闘神の力が溢れ出る……！,初代斗神的力量喷涌而出……！
