text,trans
くっそ……<br>なんて馬鹿げた力だ……,可恶……<br>这力量也太荒唐了……
神意は自然の摂理であり、<br>抗うこと自体、おかしな話です。,神的意志即是自然法则，<br>想要与之对抗，本就荒唐可笑。
身を委ねるですよ。<br>信じる者は救われるです。,委身于我们的安排吧。<br>信者得救。
私達だって世界を救いたい……<br>でもそれだけじゃダメなんです！,我们也希望世界得救……<br>但是那样不行！
どうしても仲間を<br>取り戻したいんです……！　だから<br>私達に道を開けてください！,我们无论如何<br>也想让同伴回来……！<br>所以请给我们让开道！
,
ビィとルリアを狙う映し身からふたりを守れ！,从盯上碧和露莉亚的镜像手中保护她们！
Lv?? 映し身の鋼体童子の特殊行動が発動！,Lv?? 钢体童子的镜像发动了特殊行动！
バトルログ,战斗日志
パワードダイヴ,巨力猛冲
仲間を蔑ろにする存在に、<br>救いを求めようとは思えないな。,我不会向蔑视我们同伴的存在寻求拯救。
映し身の攻撃に備えよう！,准备应对镜像的攻击！
さぁ、今のうちに！,好，趁现在！
ルリアは様子をうかがっている！,露莉亚在观察情况！
無駄なことをするですね……<br>力の差を知れば<br>満足できるですか？,白费力气……<br>非得知道力量的差距才满意吗？
うるせぇ……！<br>こいつでもくらいやがれ！,少啰嗦……！<br>吃我一炮！
努力は認めるです。<br>これで退く口実も出来たですし、<br>そろそろ終わりでいいですか？,我承认你们的努力。<br>这下你们已经有台阶下了。<br>差不多可以收手了吧？
何か仕掛けてくるみてぇだ！<br>気を付けろよ！,它好像在酝酿什么！<br>当心！
姬塔は映し身の攻撃に備え、防御の構えを取る！,姬塔摆出防御架势，准备迎接镜像的攻击！
姬塔は父親の本気に正面から立ち向かう……！,
インフィニットブロー,无尽打击
姬塔！,姬塔！
わかりましたね？<br>神と人の差が。<br>あとはこちらに任せるですよ。,你们明白了吧？<br>神与人之间的差距。<br>接下来都交给我们办吧。
ちくしょう……<br>やっとの思いでイスタルシアまで<br>たどり着いたってのに。,可恶……<br>好不容易才到达了伊斯塔尔西亚。
仲間を取り戻せずに<br>ここで終わっちまうのかよ……！,同伴还没有夺回来，<br>怎能止步于此……！
絶体絶命の危機に何者かが颯爽と現れる……！,在千钧一发的危急关头，<br>某个人飒爽登场了……！
