text,trans
力を合わせれば<br>どんな困難だって<br>乗り越えられるぜ……！,只要我们齐心协力，<br>一定可以战胜<br>任何困难……！
やりましょう……！　<br>みんなを、空の世界を<br>守るために……！,上吧……！<br>为了保护大家还有空之世界……！
全部おしまいにしてあげる……<br>大丈夫、<br>ほんの一瞬で終わるから。,让我来把你们收拾掉吧……<br>别担心，<br>眨眼间就结束了。
,
空の世界の命運をかけた戦いに勝利せよ……！,在这赌上空之世界命运的战斗中取胜吧……！
ルリアは星晶獣の力を解放するため集中している……！,露莉亚在专注于释放星晶兽的力量……！
バトルログ,战斗日志
（力が溢れてくる……！<br>これは、星の神の依り代に<br>なっていた影響……？）,（力量涌出来了……！<br>是曾被星之神凭依过<br>造成的吗……？）
みんな、空を守るために<br>力を貸して……！,各位，为了守护这片天空，<br>请把力量借给我吧……！
ルリアの呼びかけに応え、<br>星晶獣たちが力を解放する……！,回应露莉亚的呼唤，<br>一众星晶兽释放了力量……！
私たちを守って……<br>ティアマト！,保护我们……<br>提亚玛特！
これまでのティアマトとは<br>比にならない力だぜ……！,提亚马特的力量今非昔比了啊……！
このまま一気に……！<br>お願い！　コロッサス！,就这样一鼓作气攻过去……！<br>拜托了！科罗萨斯！
ふふ……可愛い。<br>無駄なのに。,呵呵……真是可爱。<br>明明都是徒劳。
コロッサス……！,科罗萨斯……！
い、いきなり消えちまった……！<br>もう一度呼び出すことは<br>できねぇのか？,突、突然消失了……！<br>还能再次召唤出来吗？
だ、だめです。<br>星晶獣のみんなの力が<br>感じられません……,不、不行啊。<br>感知不到各位星晶兽的力量……
くっそぉ……<br>こうなったらオイラたちで<br>なんとかするしかねぇ！,可恶……<br>这下只能靠俺们来想办法了！
いくぜ……！<br>姬塔！,上吧……！<br>姬塔！
ルリアは星晶獣たちに向かって声をかけ続ける……！,露莉亚继续尝试呼唤星晶兽们……！
無力でしょう？<br>それでも私は構わなかったのに……,它们很没用对吧？<br>不过我倒是不介意这点……
教えてあげる。<br>獣の力はね、こう使うの……！,让我来教教你们。<br>兽的力量，是这样用的……！
Lv?? 星の神アストロリアの特殊行動が発動！,星之神阿斯特拉莉亚发动了特殊行动！
星喚の剣,唤星之剑
さっきの攻撃は……<br>コロッサスの剣！？,刚才的攻击……<br>是科罗萨斯的剑！？
くっ……<br>どうすりゃいいんだ……,呜……<br>该怎么办才好……
ユグドラシルとリヴァイアサンが自らの意思で顕現する──,尤格多拉希尔和利维坦凭借自身的意志现身了——
ユグドラシル……！<br>リヴァイアサン……！,尤格多拉希尔……！<br>利维坦……！
力を、貸してくれるんですか……？,你们要把力量借给我吗……？
自分の意思でなんて……<br>空の存在を核にした影響かな。<br>でも、それがどうしたの？,凭借自身意志……<br>是以空之存在为核导致的吧。<br>但那又如何？
私も……<br>みんなの気持ちに応えたい。,我也……<br>想要回应各位的心意。
ビィさんや<br>姬塔の力になって、<br>空のみんなを救いたい……！,成为碧和姬塔的力量，<br>拯救空之世界的大家……！
「蒼の意思」が力を求めるルリアに呼応する──！,“苍之意志”回应了露莉亚寻求力量的呼唤——！
「蒼の意思」が変容していく……<br>どういうこと！？,“苍之意志”发生了异变……<br>这是怎么回事！？
「蒼の意思」はルリアを選んだの？<br>神である私ではなく、<br>ただの端末を？,“苍之意志”选择了露莉亚？<br>没有选择身为神明的我，<br>而是选了区区一个终端？
覆される……<br>絶対の理であるはずの<br>神の、私の力が……！,作为绝对真理存在的神——<br>我的力量……<br>居然被颠覆了……！
私の中に、また星晶獣達が……<br>これなら……！,星晶兽们仍存在于我体内……<br>那么……！
姬塔！<br>この力、貴方に託します！,姬塔！<br>这份力量就交给你了！
召喚することが出来なくても、<br>私と教えの最奥に至った<br>貴方なら……！,即便我无法召唤，<br>但如果是与我一同抵达“教诲至深处”的你的话……！
生命のリンクで繋がれた姬塔に<br>星晶獣の力が託される……！,星晶兽的力量透过生命的连接<br>传递给了姬塔……！
空の民が星晶獣の力を宿した……？<br>端末の能力を介して、星晶獣を<br>人の身に顕現させたのね。,空之民身上具有了星晶兽的力量……？<br>是利用终端的能力，<br>让星晶兽在人身上显现了呢。
ルリアは星晶獣の召喚を試みる……！,露莉亚在尝试召唤星晶兽……！
認めない……<br>「蒼の意思」であろうと、<br>私の邪魔はさせない……,无法承认……<br>即便是“苍之意志”，<br>也休想阻挠我……
流れが変わったな！<br>このまま押し切っちまおうぜ！,局势逆转了！<br>直接硬刚到底吧！
消えて……！<br>何もかも見たくない！,消失吧……！<br>我不想再看到与你们有关的一切！
崇敬の光,崇敬之光
もうお仕置きじゃすまないよ……<br>どういうことかわかってるの？,已经不是教训一顿就算完了……<br>你们知道后果有多严重吗？
私たちは絶対に<br>諦めたりしません……！,我们绝对不会放弃……！
リヴァイアサン。<br>あなたの力も……！,利维坦。<br>也请你……！
星の輝き……<br>その本当の力を教えてあげる。,领教一下星之光辉的真正力量吧。
少し疲れちゃった……<br>もうこれで終わりにするね。<br>全部、なにもかも……！！,真是废了不少功夫……<br>但这样就结束了。<br>一切都结束了……！！
あいつ、いよいよ全力だ……！,那家伙差不多已经拼尽全力了……！
大丈夫……<br>今のあなたなら相手が神であっても<br>乗り越えられるはずです……！,没关系……<br>现在的你，<br>具有足以战胜神明的力量……！
星の神は姬塔たちを消滅させようと<br>全ての力をぶつけるが──,星之神使出浑身解数，<br>试图彻底抹杀姬塔等人——
なに……！？,什么……！？
ここで終わらせちまおう！<br>ルリア！　姬塔！,就此结束这一切吧！<br>露莉亚！姬塔！
私たち３人で守りましょう……！<br>みんなを……空を……！,我们三个一起守护吧……！<br>守护大家……守护这片天空……
3人の心は一つとなり、想いが力に変わる……！,三人的心意合为一体，化为无比强大的力量……！
空の世界を守るため、3人は力を合わせる……！,为了守护空之世界，三人合力而战……！
