path,trans,duration,note
voice/3040036000_mypage1,啊，说起来……\n要不要试试偶尔当一下十天众的统领人？我觉得是你的话大家都会听你的……\n啊哈哈，玩笑玩笑！,14,最终解放前
voice/3040036000_mypage2,我很期待，将来哪一天能和你再战呢。\n……呵呵，不过，下次可不会输给你啊？,9,
voice/3040036000_mypage3,团长，可不要被这力量吞没啊……随便说说！,6,
voice/3040036000_mypage4,果然最帅的还是剑啊～！呐呐，你也是这么想的吧？,6,
voice/3040036000_mypage5,什么什么，想看我的剑拓收藏？\n没问题，那么从1开始到3000为止说个喜欢的数字吧！,9,
voice/3040036000_mypage6,这披风不错吧？我给大家都准备了。,4,
voice/3040036000_03_mypage1,欸？你问敷衍的我和认真的我哪个才是真正的我？\n哎呀……当然都是真的又都是假的啦。\n说到底，你看到的只是你想看到的我啊。,16,最终解放后
voice/3040036000_03_mypage2,如果我有什么三长两短……到时候就拜托你了啊。好吗，团长酱。,7,
voice/3040036000_03_mypage3,自从被七星剑认可，连接星海比以前要轻松多了。\n也就是说只要我认真起来，就能创造出多到如字面意义的繁星一般的剑海。,13,
voice/3710074000_mypage1,放着萨拉萨不管的话，她可能会把岛上的鱼类吃个精光破坏环境……这可不是开玩笑啊……,7,泳装
voice/3710074000_mypage2,不光是剑拓，鱼拓我也想试试啊。好，我们去钓鱼吧，钓鱼！,6,
voice/3710074000_mypage3,涂防晒霜？说起来我没涂呢。啊，团长酱要帮我涂吗？\n诶？为什么一脸嫌弃？团长酱的玩笑真是伤人啊……哈哈哈\n是开玩笑吧？其实没那么讨厌吧？,21,
voice/3710122000_mypage1,要给十天众的大家的礼物也准备了。\n因为是平日一直好好注视着他们的我所选的礼物，\n一定会很中意吧！，10,完美・圣诞老人服
voice/3710122000_mypage2,团长酱的也是，礼物当然也准备好了哦？\n你看——\n我精选的，今年的十份剑拓……\n……诶，啊嘞？\n怎么感觉表情好微妙啊……,13,
voice/3710122000_mypage3,这身圣诞老人服装很不错对吧？\n为了守护大家的梦想，\n想着「不成为看起来就很聪明的圣诞老人可不行啊——」，\n于是干劲满满地准备了呢～
voice/3040036000_birthday1,生日快乐！,1,生日
voice/3040036000_birthday2,生日快乐！我很高兴能和你一起为你庆祝生日。,5,
voice/3040036000_birthday3,生日快乐！诶？生日礼物……？\n啊……哈哈哈，哎呀，我可没忘哦？\n啊，好！那么，现在就一起去买吧！,14,
voice/3040036000_Valentine1,今天是情人节啊。,3,情人节
voice/3040036000_Valentine2,团长你收到巧克力了吗？我吗？我收到了足足三千个呢……哎，这不是开玩笑啊，哈哈哈哈！,13,
voice/3040036000_Whiteday1,啊，今天是白色情人节啊。,3,白色情人节
voice/3040036000_Whiteday2,嗯？你说我要准备三千份回礼很辛苦什么的……\n这么细节的事都还记得啊——啊～回礼好累啊好累啊～,11,
voice/3040036000_Halloween1,万圣节快乐！,2,万圣节
voice/3040036000_Halloween2,不给糖就捣蛋！\n……话说芬芙那家伙，\n刚刚明明都给了她糖果了还是对我恶作剧了呢……,8,
voice/3040036000_Xmas1,圣诞快乐！,1,圣诞节
voice/3040036000_Xmas2,圣诞快乐！\n今年一定要凑齐十天众开派对，\n虽然这么想……他们会来吗——,12,
voice/3040036000_newyear1,新年快乐！,2,新年
voice/3040036000_newyear2,新年快乐！团长你决定新一年的抱负了吗？\n我啊，决定要「每天做一把剑拓」……哈哈哈哈，是开玩笑的啦，开玩笑的！,15,
