path,trans,duration,note
voice/3040069000_birthday1,Happy Birthday。,1,生日
voice/3040069000_birthday2,生日快乐。,1,
voice/3040069000_mypage1,你有什么事吗？,1,普通
voice/3040069000_mypage2,狗……好想摸个够……\n你在啊。没事。,8,
voice/3040069000_mypage3,我想要平稳和静寂，所以我才会隶属于组织。,7,
voice/3040069000_s2_halloween0,大家看起来都很开心啊，再好不过了。,4,万圣
voice/3040069000_Xmas1,圣诞快乐！,2,圣诞
voice/3040069000_Xmas3,怎么了？你觉得我很开心吗？,4,
voice/3040069000_Xmas3,我很喜欢这种日子。,3,
voice/3040069000_newyear1,Happy New Year！,2,新年
voice/3040069000_newyear2,新年快乐！,2,
