path,trans,duration,note
voice/3040164000_halloween_mypage1,万圣节快乐！,2,万圣
voice/3040164000_halloween_mypage2,不给糖就捣蛋？,3,
voice/3040164000_halloween_mypage3,万圣节真是个不可思议的节日。\n虽然有点可怕，但能够拿到糖果，还是很开心的，我……,11,
voice/3040164000_christmas_mypage1,圣诞快乐！,2,圣诞
voice/3040164000_christmas_mypage2,团长！有什么事情需要帮忙的吗？我什么都会做，因为我是好孩子啊。,6,
voice/3040164000_newyear_mypage1,新年快乐！,4,新年
voice/3040164000_newyear_mypage2,那个……noti？oti？好像哪里不对……\n啊，是年糕！年糕！\n我想吃！倒吊男说那是很有趣的食物！,16,
voice/3040164000_valentine_mypage1,情人节，快乐？,4,情人节
voice/3040164000_valentine_mypage2,我喜欢甜食！最喜欢巧克力！！,4,
voice/3040164000_white_mypage1,白色情人节快乐！,2,白情
voice/3040164000_white_mypage2,送礼物给别人，总觉得有点……跃跃欲试。,6,
voice/3710152000_mypage1,因为万圣节来了所以去榭洛的店买了换装，黑色的很帅气对吧！\n和倒吊男的一样哦！,9,万圣节皮
voice/3710152000_mypage2,团长，不给糖果就捣蛋！\n啊，但是我不擅长恶作剧，\n我想要糖果，可以吗？,13,
voice/3710152000_mypage3,据说死去的人会在万圣节的时候回来，\n所以必须把他们送回去，\n但一想到死去的人我心里就有点不舒服，\n这是为什么呢？,15,
