id,en,jp,trans
0-chapter_name,,第6话 亲友（マブ）, 第6话 亲友
0-synopsis,,数に押され窮地に陥ったツバサのもとに“烈弩宇威愚”の仲間達と姬塔達が現れる。ビィ達は救出され、“烈弩宇威愚”と“宿命夜想曲”の戦争が始まった。それぞれの理由を胸に少年達が戦う中、ショウがデーモンリアクターを暴走させ、単車でツバサに突進する。喧嘩を見守っていた姬塔達は、デーモンリアクターの爆発を防ごうと飛び出すのだった。, 在数次陷入绝境的翼身边“烈弩宇威愚” 的伙伴们和姬塔出现了。把碧他们救出来、“烈弩宇威愚” 和“宿命夜想曲” 的战争开始了。心怀各种不同理由的少年们的战争中、翔让恶魔动力炉暴走、用单车撞向了翼。在一傍守望战争的姬塔他人、为了阻止恶魔动力炉爆炸而冲出去了。
1,,<span class='scene-font-katari'>ツバサは、袭い来る“宿命夜想曲”</span><br><span class='scene-font-katari'>（デスティニーノクターン）を</span><br><span class='scene-font-katari'>ひとりで蹴散らしていく。</span>,<span class='scene-font-katari'>翼一个人就、把打过来的“宿命夜想曲”</span><br><span class='scene-font-katari'>踢飞。</span>
3,,オラァ！<br>クソッタレがァ！！, 看招！<br>混蛋們！！
15,,テメェみてェな<br>シャバ僧の拳なんざ食らうかよ！, 你這種<br>軟弱貨色的拳頭怎能傷到我！
19,,<span class='scene-font-4'>ぴぎゃッ！</span>,<span class='scene-font-4'>呃啊！</span>
24,,<span class='scene-font-4'>ごふっ！</span>,<span class='scene-font-4'>咕啊！</span>
27,,<span class='scene-font-4'>オラァァ！</span>,<span class='scene-font-4'>看招！</span>
35,,がッ……, 呃……
36,,<span class='scene-font-4'>ツバサァァッ！</span>,<span class='scene-font-4'>翼！</span>
37,,へへッ……効かねェなァ……<br>ハァ、ハァハァ……, 嘿嘿……沒用的……<br>哈哈、哈哈……
38,,<span class='scene-font-4'>だああああ……ッ！</span>,<span class='scene-font-4'>啊啊啊啊啊……！</span>
