id,en,jp,trans
0-chapter_name,,第27章　星晶獣ノア,第27章 星晶兽诺亚
0-synopsis,,半信半疑のラカムに対し、ノアは自分の言葉が事実である証拠を話し始める。それは、彼とラカムの馴れ初めだった。オイゲンとはぐれ泣きじゃくっていたという過去を暴露されたラカムは、慌ててノアの言っていることが事実だと認めるのだった。,诺亚为了向半信半疑的拉卡姆证明自己说的都是事实，提到了两人的邂逅。一听到和欧根走散在路上啜泣的过去被公开，拉卡姆连忙认同了诺亚说的话。
0,,<span class='scene-font-katari'>帝国兵達を撒いた一行は、</span><br><span class='scene-font-katari'>街中の物陰へと身をひそめた。</span>,<span class='scene-font-katari'>一行人甩掉了帝国士兵，躲在街上某个掩人耳目的地方。</span>
1,,はぁ……<br>ここなら少なくとも、<br>すぐに見つかるってこたぁねぇはずだ。,哈……躲在这里的话，至少不会很快就被发现吧。
2,,しかし、星晶獣とは……<br>にわかには信じがたい話だな。,可是，你竟然是星晶兽……简直难以置信啊。
3,,そうかい？<br>むしろ君達には、<br>馴染み深いかと思ったんだけど……,是吗？我反倒觉得你们应该习惯了呢……
4,,た、確かに色んな星晶獣さんに<br>会ったことがあるけど……,我、我们的确遇到过各种各样的星晶兽……
5,,こうして面と向かって<br>ゆっくりお話しするのは、<br>初めてかもしれません。,像这样面对面交谈好像还是第一次吧。
6,,なぁ、ルリア、<br>星晶獣の気配ってのは感じるのか？,露莉亚，你能感受到星晶兽的气息吗？
7,,え？　うーん……<br>なんていうかこう……<br>うっすらと……,咦？ 嗯……怎么说呢……隐约有一点……
8,,でも、この感覚……<br>他にもどこかで……？<br>うーん……,不过这种感觉……好像以前也哪里……？嗯……
9,,そうか……,是吗……
10,,なんだい？<br>僕の正体について疑っているのかな？,怎么了？还在怀疑我的真实身份吗？
11,,そりゃあな……<br>とても、ハイそうですかって、<br>信じられる内容じゃねぇ。,怎么说呢……这不是叫我们相信我们就能欣然接受的内容啊。
12,,それは困ったな……<br>ラカムの子供の頃を知っている、<br>という証拠ならあるんだけど……,那就有点难办了……不过我倒是能证明我认识小时候的拉卡姆哦……
13,,ほう？<br>そりゃ、どういうことだ？,哦？说来听听吧？
14,,ふふ……<br>僕達の馴れ初めの話なんだけどね……,呵呵……那还是我们刚邂逅的时候……
15,,オイゲンとはぐれ、<br>見知らぬ島で迷子になっていたラカムは、<br>大声で泣きながら裏通りを……,拉卡姆和欧根走散，在陌生的岛上迷路，大哭着走在小巷里……
16,,ちょ、ちょっと待った！<br>なんでそんな話になるんだ！？,等、等一下！为什么要提这种事啊！？
17,,なぜって……<br>幼いラカムの様子を克明に語れば、<br>信じてもらえるかと思ってね。,为什么……因为只要详细描述一下拉卡姆小时候的样子，你们应该就会相信我了吧。
18,,可愛いものだったよ……<br>泣きじゃくりながら、<br>必死にオイゲンの名を呼んで……,他那时候还真可爱……一边抽抽搭搭的，一边还大叫着欧根的名字……
19,,うわぁぁあ！？　わ、わかった！<br>間違いねぇ！<br>確かにお前は子供の頃の俺に会ってる！,哇啊啊啊！？我知道了！没错没错！我小时候的确遇到过你！
20,,あの焦り様を見る限り、<br>どうやら本当に、<br>間違いないみたいね……,看你慌张的样子，看来是真的呢……
21,,いま、こちらから叫び声が……,刚才有叫声从这边传来……
22,,まずい……<br>見つかってしまったようだな……<br>応戦してここを切り抜けるぞ！,糟了……看来我们被发现了……应战突围吧！
info,,1,scene_cp27_q1_s20
