path,trans,duration,note
voice/3040060000_birthday1,生日快乐！,2,生日
voice/3040060000_birthday2,Happy Birthday！,1,
voice/3040060000_Halloween1,万圣节快乐。,2,万圣
voice/3040060000_Halloween2,不给糖就捣蛋。,2,
voice/3040060000_Halloween5,来，在孩子们来之前先准备好糖果吧。\n如果你愿意的话，也来尝尝味道。,9,
voice/3040060000_Xmas1,圣诞快乐！,2,圣诞
voice/3040060000_Xmas2,祈祷完，暖暖身，赶快睡吧。\n在圣诞老人来之前。,8,
voice/3040060000_Xmas4,愿你能度过一个美好的圣诞。\n圣诞快乐。,6,
voice/3040060000_newyear2,恭贺新年，新的一年拉开帷幕了呢。\n今年一年准备如何度过，不趁今天这个日子考虑一下吗？,10,新年
voice/3040060000_newyear3,一年之计在于元旦。新年睡过去的话，这年可能会变成一无所成的一年哦。,7,
