path,trans,duration,note
voice/3040169000_mypage1,我什么都会做的……！\n所以……拜托了……！\n请爱着我……请认同我！,10,最终解放前
voice/3040169000_mypage2,要怎么做……才能看着我呢？\n要怎么做……才能爱我……呢？,11
voice/3040169000_mypage3,没关系。伤害到你的人，\n我和Death会全部，消除……的。,9

voice/3040169000_03_mypage1,我会将我的一切都献给团长的哦。\n所以团长，请你亲手在我身上留下伤痕，\n为了再也不分离……为了能够永远在一起……\n留下能够证明“我是团长所有”的伤痕……,23,最终解放后
voice/3040169000_03_mypage3,这件衣服……看起来好像婚纱一样呢。\n那个呢……虽然很不好意思，但是我以前有过成为新娘的梦想……\n所以，能穿上像婚纱一样的衣服，真的非常开心。\n那，那个呢，团长，将来有一天，能让我穿上真正的……吗？,35,
voice/3040169000_03_mypage4,如果没有团长你们伸出援手的话，我想我们现在还会是仅仅两个人……\n所以团长，真的谢谢你。向我们伸出了援手，拯救了我们……,21,

voice/3710141000_mypage1,那个……团长……\n只要是团长你说的，我什么都会听，什么都会做。\n所以……求你了……请认同我，请爱着我！,22,泳装皮
voice/3710141000_mypage2,团长的身体，在水里也很温暖呢……\n那个……团长……再抱紧我一点……像要把我……弄坏掉那样，用力地……\n让我知道“我不是一个人，还有人爱着我”，把这些刻在我的身体里……\n所以，拜托了。,42,
voice/3710141000_mypage3,团长，这件泳装……怎么样呢……？那个……Death说很适合我……,11,
voice/3710141000_mypage4,只要团长你希望，对我怎么做都……随你喜欢……哦？不……是我希望你这么做……所以团长，把我的一切都夺走吧，将我的一切都归你所有。这样的话，我就能认可自己是被团长你爱着的。,39,

voice/3710194000_mypage1,这件礼裙呢，感觉不知为何，\n跟Death的礼裙有点像，我很喜欢它。\n那个，团长……怎么样呢？\n适合……我吗？,17,CD皮
voice/3710194000_mypage2,团长的手……好温暖呢。\n那，那个，团长，我可以任性一下……吗？\n这个……将我……紧紧地抱着……\n想用身体感受……团长的体温，不行……吗？,32,
voice/3710194000_mypage3,如果团长能在身边的话，我会努力的……\n所以，求求你，请在我身边……,11,


