id,en,jp,trans
0-chapter_name,,第1話 雨の中の邂逅,第1话 雨中的邂逅
0-synopsis,,大雨の中、魔物に襲われていた一人の少女。カタリナはその理由を聞こうとするが、少女は何も語らずに逃げてしまう。逃げる少女から、その理由を聞き出そうとするカタリナ。すると、少女は恐る恐る己に秘められた力、砂神のグラフォスを顕現させる。砂神の力を恐れない一行と、ルリアに秘められた力に、逆に驚かされる少女であった。,大雨之中，被魔物袭击的一位少女。卡塔莉娜虽向她询问理由，但少女一言不发逃走了，卡塔莉娜从逃走的少女打听出理由，于是少女战战兢兢交代了自己隐藏起来的力量，让沙神格拉佛斯显现出来。结果一行人对沙神之力完全不害怕的态度，与露莉亚隐藏的力量反过来令少女感到了惊讶。
0,,ふぅ、これでひとまず安心だな……<br>怪我はないかい？,呼，总之这样就暂时安心了……<br>没有受伤吧？
1,,あ、ありがとう……ございます。<br>大丈夫……です。,谢，谢谢您……<br>不要紧的……
2,,それで……こんな小さな女の子が<br>この大雨の中、<br>ひとりで何をしていたんだ？,那么……这么小的女孩子，<br>在这场大雨里<br>一个人做什么？
3,,あ、あの……私は……<br>えと……その……,啊……那个……我……<br>嗯……这个……
4,,焦らなくていい……<br>ゆっくりでいいから、話してごらん。,不用焦急的……<br>慢慢来就行，请说吧。
5,,で、でも……<br>ご……ごめんなさい……,但，但是……<br>对……对不起……
7,,え、あ、おい！<br>そっちは魔物がいるぜぇ！,誒！喂！<br>那边有魔物啊！
8,,姬塔！<br>後をおいかけましょう！,姬塔！<br>我们去追她吧！
14,,どうして逃げるんだ？<br>我々に理由を話してくれないか？<br>ね？,为什么要逃跑？<br>是不想告诉我们理由吗？
15,,わ、私といると危ないんです……,和，和我在一起很危险……
16,,あなたの力に魔物が集まってくるから？<br>それなら、姬塔が<br>やっつけてくれるから大丈夫です！,是你的力量将魔物聚集起来的吗？<br>这样的话，姬塔会<br>把它们全都收拾掉没事的！
18,,そ、それだけじゃないんです……<br>私の力で……あなた達を<br>傷つけてしまうかもしれないから……,不仅是这样子……我的力量……<br>有可能会伤害到各位……
19,,私の力って……<br>えっと、あなたの後ろにいる子のこと？,我的力量是指……<br>誒，是你背后的那个孩子吗？
20,,あ……あなた達は<br>私の力が、怖くないんですか？<br>この……砂神のグラフォスが……,你……你们不害怕我的力量吗？<br>这位……沙神格拉佛斯的……
21,,だってグラフォスさん……<br>あなたのこと大切そうに守ってます！<br>カサみたいに、濡らさないようにして。,因为格拉佛斯先生……<br>好像很珍惜地守护着你！<br>就像伞一样，保护着你不被淋湿。
22,,え……？,什么……？
23,,それに、私も<br>同じようなものなんですよ！<br>出たり引っ込んだり。,而且，我也差不多是这种情况哟！<br>登场退场的。
24,,で……出たり……引っ込んだり？,登……登场退场？
25,,ほらっ！,你看！
32,,<span class='scene-font-katari'>そう言って、星晶獣を使役する</span><br><span class='scene-font-katari'>力の一端を示すルリア。</span>,<span class='scene-font-katari'>说完，露莉亚就展示了一部分</span><br><span class='scene-font-katari'>役使星晶兽的力量。</span>
33,,ヒャッ！<br>あ、あなたは……いったい……,噫呀！<br>你……究竟是……
34,,えへへ。<br>私にもよくわからないんだ……,誒嘿嘿。<br>我也不太清楚啦……
35,,へへっ、魔物退治なら任せとけ！<br>ほら、また来たぞぉ！,嘿嘿，魔物治退的话就交给我们吧！<br>快看，又来了！
info,,1,scene_evt140531_cp1_q3_s20
