path,trans,duration,note
voice/3040070000_birthday1,Happy Birthday！,1,生日
voice/3040070000_birthday2,生日快乐！,1,
voice/3040070000_s2_halloween0,让我恶作剧！,2,万圣
voice/3040070000_Xmas2,圣诞快乐。,2,圣诞
voice/3040070000_Xmas5,以前发生了点事，不是什么很好的回忆。,5,
voice/3040070000_newyear1,Happy New Year！,2,新年
voice/3040070000_newyear2,新年快乐！,2,
voice/3040070000_newyear3,今年我也要尽情狩猎星晶兽。,4,
voice/3040070000_Valentine1,情人节快乐！,2,情人节
voice/3040070000_Valentine11,给，给你……这个送你……,4,
voice/3040070000_Valentine12,……没，没什么意思……\n只是，那个，想送团长巧克力而已。,7,
