path,trans,duration,note
voice/3040190000_halloween_mypage1,万圣节快乐！,2,万圣
voice/3040190000_halloween_mypage2,不给糖就捣蛋。,2,
voice/3040190000_christmas_mypage1,圣诞快乐！,2,圣诞
voice/3040190000_christmas_mypage2,你希望下雪吗？我明白了，那么就让这一片地方全部被染白吧。,10,
voice/3040190000_newyear_mypage1,新年快乐！,4,新年
voice/3040190000_newyear_mypage2,今年也请多关照！,3,
voice/3040190000_valentine_mypage1,情人节快乐！,2,情人节
voice/3040190000_valentine_mypage2,团长大人，我跟大家一起做了巧克力，能请你收下吗？,8,
voice/3040190000_white_mypage1,白色情人节快乐！,2,白情
voice/3040190000_white_mypage2,你要给我回礼吗？谢谢。\n我就很荣幸地收下了。,9,
