id,en,jp,trans
0-chapter_name,,第39章　黒き真意,第39章  黑色真意
0-synopsis,,立ちふさがる無数のゴーレムを打ち倒し、先へと進む一行。かつて星の民の居留地であったこの場所を守護していたのは、エルステ王国が星の民に提供していたゴーレムであったのだという。以前、オルキスがこの辺りの匂いを懐かしいと語っていた事を知り、驚きを隠せない黒騎士。感情を失って久しいオルキスが、この地のゴーレムから故郷の空気を感じ取ったのだという事を、複雑な表情で受け止める黒騎士であった。,众人击退无数个挡住去路的戈仑，不停前进。原来埃尔斯特王国为星之民提供戈仑来守护星之民的居住地。众人提起欧尔姬丝曾经在这里感到过怀念的气息，这使黑骑士惊讶不已。长久以来失去感情的欧尔姬丝竟然通过戈仑感受到故乡的气息。黑骑士以复杂的表情接受了这一事实。
0,,はああぁぁっ！！,哈啊啊啊啊！！
2,,――――！！,————！！
4,,ふぅ……<br>なんだってこんなにたくさん、<br>ゴーレムが出てくるのかしら……,呼……为什么这里会有这么多戈仑呢……
5,,お前は私の話を聞いていなかったのか？<br>この辺りは、かつて<br>星の民の居留地となっていた遺跡だ。,你没有听我说话吗？这附近是星之民居住地的遗迹。
6,,その居留地を提供していたのは、<br>他でもないエルステ王国だからな。,而这片居住地正是埃尔斯特王国提供的。
7,,居留地の防衛に自国で作られた<br>ゴーレムを使うのは、<br>至極真っ当なことだろう。,使用本国制造的戈仑防守这里，也是理所当然的吧。
8,,むぅぅぅ……！<br>聞いてたわよ！,唔——……！我有在听啦！
9,,あ、でも……<br>ってことは、あの時……,啊，不过……那也就是说，那时候……
10,,<span class='scene-font-place'>ルーマシー</span>の遺跡でオルキスが<br>懐かしい匂いがする、って言ってたのは<br>きっとゴーレムのことだったのね。,欧尔姬丝说她在遗迹中有种怀念的感觉，那是在说戈仑吧。
11,,そういや、オルキスちゃん、<br>そんなことも言ってたよな……,说起来，欧尔姬丝的确说过这种话……
12,,自分とこの国の名産品から、<br>覚えてなくても、<br>懐かしい匂いを感じてたんだな……,就算没有记忆，她也能从祖国的特产中感受到怀念的气息吧……
13,,あの人形がそんなことを……？,人偶说过这种话……？
14,,ああ……オレたちゃてっきり、<br>オルキスちゃんの出身が<br><span class='scene-font-place'>ルーマシー</span>なのかと思ったんだが……,是啊……我们还以为欧尔姬丝是<span class='scene-font-place'>露玛茜</span>人呢……
15,,そうか……<br>あの人形が……,是么……那人偶……
info,,1,scene_cp39_q2_s10
