path,trans,duration,note
voice/3040098000_s1_birthday2,生日快乐。,1,生日
voice/3040098000_s1_birthday1,Happy Birthday！,1,
voice/3040098000_s1_birthday3,！？姬塔！？啊……那个，现在还是不要靠近这边比较好。\n理由是……总、总之我们先去那边吧！快走！,10,
voice/3040098000_s1_halloween1,万圣节快乐！,2,万圣
voice/3040098000_s1_halloween2,不给糖就捣蛋。,2,
voice/3040098000_s1_halloween3,这些够不够啊？如果不够的话会让他们伤心……\n嗯？是团长啊。这是糖果，为之后孩子们过来的时候准备的。,13,
voice/3040098000_s1_cristmas1,圣诞快乐！,2,圣诞
voice/3040098000_s1_cristmas2,平安夜吗……等待过夜的人们的表情比平常更加闪耀动人呢。,7,
voice/3040098000_s1_newyear1,Happy New Year！,2,新年
voice/3040098000_s1_newyear2,新年快乐。,2,
voice/3040098000_s1_newyear3,去年真的发生了很多事情。不过，今天开始我要用新的心情开始旅途。,9,
