id,en,jp,trans
0-chapter_name,,第6話　迷妄、払いて,第六章 迷惘、消除
0-synopsis,,悪夢に囚われた姬塔の前に現れ、ルリアは姬塔をヒドラから庇う。ルリアの言葉で記憶を取り戻し、元の姿に戻った姬塔は集結した仲間達と共にヒドラへと挑む。,
0,,<span class='scene-font-katari'>母から逃げるように</span><br><span class='scene-font-katari'>家の外へ駆けだした姬塔の</span><br><span class='scene-font-katari'>目の前に恐ろしい魔物が現れた。</span>,在为了逃离母亲身边而冲出家门的姬塔面前，出现了可怕的魔物
1,,<span class='scene-font-katari'>幼い姬塔は驚き、</span><br><span class='scene-font-katari'>身を竦ませる。</span>,幼小的姬塔被吓得动弹不得。
2,,<span class='scene-font-4'>ルォオオオオオオ！！</span>,……吼！！
3,,……姬塔！！,…… 姬塔！ ！
4,,<span class='scene-font-katari'>ヒドラが今にも襲いかかろうとした</span><br><span class='scene-font-katari'>その時、姬塔を庇うように</span><br><span class='scene-font-katari'>蒼い髪の少女が立ち塞がった。</span>,在姬塔即将被海德拉袭击的时候，蓝色头发的少女挡在了她的面前。
5,,<span class='scene-font-katari'>魔物は邪魔をした少女に</span><br><span class='scene-font-katari'>苛立った様子で呻り声を上げる。</span>,魔物对着妨碍自己的少女发出了焦躁的低吼声。
6,,させませんっ！<br>姬塔は、私が守ります！！,……不会让你过去！姬塔由我来保护！ ！
7,,<span class='scene-font-katari'>勇ましく言い放つ少女。</span><br><span class='scene-font-katari'>しかし、魔物を前に</span><br><span class='scene-font-katari'>彼女はあまりに無防備だ。</span>,少女做出了勇敢的宣言。然而，在魔物面前的她实在过于弱小。
8,,<span class='scene-font-katari'>姬塔は心をざわめかせ、</span><br><span class='scene-font-katari'>思わず声を上げる。</span>,姬塔的内心一阵骚动，脱口而出————
8-sel1_txt,,<span class='scene-font-katari'>……ルリア！</span>,……露莉娅！
8-sel2_txt,,<span class='scene-font-katari'>ダメ！！</span>,不可以！！
9,,<span class='scene-font-katari'>姬塔の声が迸ると同時に</span><br><span class='scene-font-katari'>魔物が爪を振り上げる。</span>,姬塔喊出声音的同时魔物也扬起了爪子。
11,,<span class='scene-font-katari'>だがその攻撃から</span><br><span class='scene-font-katari'>少女を庇う騎士の姿があった。</span>,然而，一位骑士的身影挺身而出，保护了少女。
12,,"大丈夫か、ふたりとも！！ ",两个人都没事吗！？ ！
13,,ありがとう、カタリナ！,谢谢，卡塔丽娜！
14,,<span class='scene-font-katari'>姬塔の悲鳴には、</span><br><span class='scene-font-katari'>魔物が放とうとする炎を</span><br><span class='scene-font-katari'>止める力はない。</span>,姬塔的尖叫声无力阻止魔物即将释放的火焰。
16,,<span class='scene-font-katari'>しかしその時、</span><br><span class='scene-font-katari'>放たれた銃弾が魔物の頭を弾き飛ばし</span><br><span class='scene-font-katari'>炎の斜線を逸らした。</span>,但就在这电光火石之间，射出的子弹击中了魔物的头部，使喷射的火焰偏转了。
17,,ふぅ、危ないところだったぜ……<br>怪我はないな、ふたりとも！,呼……真是太险了……两个人都没受伤吧？
18,,ありがとう、ラカム！,谢谢你，拉卡姆！
19,,ったくルリア！<br>ひとりで先走りすぎだぜ！,真是的露莉娅！你自己跑得太快了！
20,,<span class='scene-font-katari'>少女と仲間達は</span><br><span class='scene-font-katari'>姬塔を守るように</span><br><span class='scene-font-katari'>魔物へ立ち向かう。</span>,少女和她的同伴们为了保护姬塔而对抗魔物。
21,,あ、あれ？<br>姬塔……<br>なんで小さくなってんだ？,啊，啊咧？姬塔……怎么变得这么小？
22,,姬塔！？<br>この子が！？, 这孩子是姬塔！ ？
23,,夢の中だから……ってことか？<br>よく解ったな、ルリア！,是因为……在梦中吗？亏你能认出来啊，露莉娅！
24,,私と姬塔は、<br>ひとつの命を共有している……<br>きっと、だから解ったんです。,我和姬塔共享着生命……所以必然会知道。
25,,<span class='scene-font-katari'>少女……ルリアは、</span><br><span class='scene-font-katari'>戸惑った様子の姬塔の</span><br><span class='scene-font-katari'>瞳を覗きこみ膝をつく。</span>,少女……露莉娅蹲下来，盯着不知所措的姬塔的眼睛。
26,,ふふっ、小さい頃の<br>姬塔って、<br>こんな顔だったんですね。,呵呵，小时候的姬塔，是这样的啊。
27,,……この頃から一緒にいられたら、<br>きっと楽しかったんだろうなぁ……,……如果我们可以一起长大的话，一定会很快乐的吧……
28,,……だって、私<br>姬塔と一緒に旅ができて<br>毎日がとっても楽しいですから！,……因为，我和姬塔一起旅行至今，每一天都很快乐！
29,,<span class='scene-font-katari'>ルリアは微笑み、</span><br><span class='scene-font-katari'>優しく姬塔の</span><br><span class='scene-font-katari'>肩に手を置き顔を覗き込む。</span>,露莉娅微笑着，温柔地把手放到姬塔的肩膀上，看着她的脸。
30,,私、姬塔とずっと一緒に<br>旅をしていたい。いつか<br>イスタルシアにたどり着いた後も……,我想一直和姬塔旅行下去。就算到达伊斯塔尔西亚之后也是……
31,,だから……お願い。<br>この夢から、目を覚まして……,所以，拜托你。从梦中醒过来吧……
32,,<span class='scene-font-katari'>ルリアの囁きが</span><br><span class='scene-font-katari'>姬塔の記憶を刺激する。</span>,露莉娅的低语刺激着姬塔的记忆。
33,,<span class='scene-font-4'>グルァアアアア！！</span>,咕噜噜啊啊啊啊！ ！
