id,en,jp,trans
0-chapter_name,,第4話　夢魔の罠,第四章 梦魔的陷阱
0-synopsis,,カタリナとラカムを悪夢から救出し、一度、夢の回廊へと戻る姬塔達。そこでカタリナとラカムは改めて星晶獣オネイロスについて説明を受け、ひとまずは互いの無事を喜び合う。, 众人将拉卡姆和卡塔丽娜从恶梦中救出，回到梦之回廊，向他们说明了星晶兽奥涅伊洛斯的情况。
0,,<span class='scene-font-katari'>夢の回廊に戻ってきた</span><br><span class='scene-font-katari'>姬塔達はカタリナとラカムに</span><br><span class='scene-font-katari'>星晶獣オネイロスについて説明した。</span>, 回到梦之回廊的姬塔众人向卡塔丽娜和拉卡姆说明了星晶兽奥涅伊洛斯的情况。
1,,なるほど……夢を操る星晶獣、か。,原来如此……操纵梦的星晶兽，吗。
2,,夢と現実を混同する……って、<br>洒落にならねぇ力だな。,能把梦和现实混淆……可不是能简单应付的能力呢
3,,モルフェくんとヴェトルちゃんが<br>いなかったら、<br>どうしようもありませんでした……,要是莫尔菲和薇特尔不在的话，就毫无办法了……
4,,ぞっとするな……<br>モルフェ、ヴェトル。<br>本当に助かったよ。,别打哆嗦了……莫尔菲，薇特尔，你们真是帮大忙了。
5,,んふふ……<br>どういたしまして。,呼呼……不敢当。
6,,姬塔達もありがとうな。<br>すっかり悪夢に囚われちまって<br>迷惑かけたぜ……,也要谢谢姬塔他们啊。完全被困在恶梦里了，给大家添了麻烦……
7,,へへ、気にすんなって！<br>仲間が危ない目にあってりゃ<br>助けんのは当然だろ？,嘿嘿，不用在意！帮助身陷险境的伙伴不是当然的吗？
8,,ま、ジジイみたいになっちまった<br>ラカムには<br>心底驚いたけどよぉ。,嘛，虽然说变成老头子口气的拉卡姆真是让人大吃了一惊。
9,,ジジイ！？<br>……あー、そういえば<br>そんな夢も見たな……,老头？！……啊，这么说的话还做了那样的梦呢……
10,,とにかく、カタリナもラカムも<br>無事で……本当に良かったです！,总之，卡塔丽娜和拉卡姆都没事，真是太好了！
11,,<span class='scene-font-katari'>悪夢から仲間達を取り戻し、</span><br><span class='scene-font-katari'>一同は無事を喜び合う。</span>,从恶梦中平安地带回了同伴们，大家都很开心。
12,,<span class='scene-font-katari'>姬塔達は力を合わせ</span><br><span class='scene-font-katari'>オネイロスの魔の手を</span><br><span class='scene-font-katari'>振り払おうとしていた。</span>,姬塔等人合力逃脱了奥涅伊洛斯的魔掌。
info,,1,scene_evt160531_cp4_q4_s30
