id,en,jp,trans
0-chapter_name,,人生で最高の日,人生中最美好的一天
0-synopsis,,イルザが結婚式に憧れていることを知り、驚くビィに対し、ルリアは共感を示す。イルザはルリアに理想の結婚式について聞かれ、事細かに語る。その後、式場から馬車で店の前まで来た新郎新婦を祝うため、イルザ達は店の外へ出る。しかし突然現れた魔物の群れによって幸せに包まれた通りは恐怖の混乱に陥る。イルザは街人を守るため、姬塔と共に魔物を迎え撃つ。,得知伊尔莎很憧憬婚礼，碧很吃惊，而露莉亚则表示同感。被露莉亚问起理想中的婚礼的事情，伊尔莎详细地述说了自己的想法。之后，为了给乘坐马车从婚礼现场来到店前的新郎新娘祝贺，伊尔莎等人一起走出商店。然而因为突然出现的大群魔物，原本被幸福包围的大街顿时陷入了恐惧的混乱中。伊尔莎为了保护居民，与姬塔一起迎击魔物。
1,,<span class='scene-font-katari'>鳴り響く鐘の音を聞きながら</span><br><span class='scene-font-katari'>イルザは目を細めて</span><br><span class='scene-font-katari'>窓の外を眺めている。</span>,<span class='scene-font-katari'>听着外面响彻着的钟声，伊尔莎眯起眼睛眺望窗外。</span>
2,,ふ……こう盛大に挙げる式も<br>いいものだな。,呵……像这样盛大地举行的婚礼可真好啊。
3,,おっかない姉ちゃんって<br>結婚式とか憧れるんだな。<br>意外だぜ。,可怕的姐姐你也憧憬婚礼啊。真让人意外。
4,,心外だ。<br>誰でも一度は結婚式に憧れを抱く事が<br>あっても不思議ではないだろう。,真遗憾。无论是谁都可能有过憧憬婚礼的想法，这并不是不可思议的事情吧。
5,,わかります！<br>私も綺麗なドレスを着てみたいなとか<br>思っちゃいます。,我懂！我也想过要穿漂亮的婚纱。
6,,そうか……<br>ルリアはどんな結婚式がいいんだ？,是吗……露莉亚你觉得哪种婚礼好？
7,,えっと……<br>どんなのがいいんだろう？,嗯……哪种比较好呢？
8,,結婚式なんて<br>ちょっと夢みたいで……,婚礼这种的就像一种梦想……
9,,イルザさんはどんな結婚式がいいとか<br>あるんですか？,伊尔莎小姐你想过自己觉得哪种婚礼好吗？
10,,私か？<br>そうだな……,我吗？让我想想啊……
11,,<span class='scene-font-katari'>イルザは姿勢を正し、</span><br><span class='scene-font-katari'>自分の夢見る結婚式について</span><br><span class='scene-font-katari'>語り始める。</span>,<span class='scene-font-katari'>伊尔莎坐正以后开始述说自己梦想中的婚礼。</span>
12,,まずはドレスだが、やはり白だな。<br>エレガントなトレーンスカート<br>これは絶対に外せない。,首先是婚纱，一定要白色。还有一定要有优雅花纹的长后摆。
13,,ベールは肩が隠れるくらいの長さ。<br>頭に可愛らしい銀のティアラを乗せる。,头纱长度要能到遮住肩膀。要带上可爱的银色头冠。
14,,うわぁ～、素敵です！<br>イルザさん、とっても似合いそうです。,哇〜，太棒了！听上去很适合伊尔莎小姐。
15,,式場は白を基調とした場所にする。<br>ベンチにはピンク色の花をあしらう。,礼堂选以白色为基调的地方。长凳上摆粉红色的花做装饰。
16,,窓の外には可愛らしくカットされた<br>木が並び、見上げると澄んだ青空が<br>どこまでも広がっている。,窗外竖立着被修剪地很可爱的树木，抬头可以看到碧蓝的天空一望无垠。
17,,うわぁ～<br>想像するだけでワクワクしてきました！,哇〜光想象就让人兴奋起来了！
18,,当日は柔らかなオルガンの演奏に<br>包まれる中、大扉から入場する。,当天在柔和的风琴演奏声中，从大门处入场。
19,,家族や友人達に見守られながら<br>誓いの言葉、指輪の交換、<br>そして誓いのキスを交わす。,在家人和朋友的注视下交换誓言和戒指，然后交换誓约之吻。
20,,うふふ……<br>なんだか私、照れてきちゃいました。,嘿嘿……不知怎么我也有点害羞了。
21,,その後はフラワーシャワーを<br>浴びながら外へ出る。,之后沐浴在抛洒下的花瓣中走出大门。
22,,階段の上からブーケトスをして<br>次に結婚する人を占う。<br>そして皆に祝われながら退場。,在台阶上扔捧花卜出下一个要结婚的人。然后在所有人的祝福下退场。
23,,以上が私の夢見る結婚式だ。,以上就是我梦想的婚礼。
24,,ず、随分と具体的に決まってんだな……<br>びっくりだぜ。,还、还真是非常具体啊……吓我一跳。
26,,あっ！<br>馬車が来たみたいよ。,啊！马车好像过来了。
27,,ええ、<br>早く行きましょう！,好，我们快去吧！
29,,私達も外へ出よう。<br>精一杯お祝いするぞ。,我们也去外面吧。竭尽全力祝贺他们。
30,,おうよ！<br>行こうぜ、ルリア、姬塔。,噢噢！我们走，露莉亚，姬塔。
36,,<span class='scene-font-katari'>外には籠を持った正装の男がおり、</span><br><span class='scene-font-katari'>姬塔達はそれぞれ</span><br><span class='scene-font-katari'>一握りの花びらをもらう。</span>,<span class='scene-font-katari'>外面有一个穿着正装的男子，手中拿着一个篮子，姬塔等人从他那里分别得到了一把花瓣。</span>
37,,<span class='scene-font-katari'>馬車が通るのに合わせて花びらをまき</span><br><span class='scene-font-katari'>姬塔達は声の限り</span><br><span class='scene-font-katari'>祝いの言葉を叫ぶ。</span>,<span class='scene-font-katari'>马车通过的时候，姬塔等人洒出花瓣，用最大的声音叫出祝贺的言语。</span>
38,,わーいわーい！<br>おめでとうございまーす！,哇~哇~！恭喜你们！
39,,おめでとー！<br>兄ちゃんと姉ちゃん！,恭喜你们！哥哥姐姐！
40,,おめでとう！<br>幸せになれよ！！,恭喜！要幸福啊！！
41,,ありがとうございます。<br>皆さん、ありがとうございます。,谢谢。谢谢大家。
42,,<span class='scene-font-kokoro'>（ん？</span><br><span class='scene-font-kokoro'>あの新郎、どこかで見覚えがある）</span>,<span class='scene-font-kokoro'>（嗯？那个新郎，好像在哪见过）</span>
43,,<span class='scene-font-kokoro'>（……思い出せんな。</span><br><span class='scene-font-kokoro'>会った事があるのは</span><br><span class='scene-font-kokoro'>間違いないんだが）</span>,<span class='scene-font-kokoro'>（……想不起来啊。见是肯定见过。）</span>
44,,……っ！,……！
45,,<span class='scene-font-katari'>幸せそうに手を振っていた新婦は</span><br><span class='scene-font-katari'>ふと路地へと目を向け、</span><br><span class='scene-font-katari'>顔を強張らせた。</span>,<span class='scene-font-katari'>幸福地挥着手的新娘偶然看了一下小巷，表情顿时变得有点僵硬。</span>
46,,<span class='scene-font-4'>キャーーー！！！</span>,<span class='scene-font-4'>呀！！！</span>
47,,……！？<br>何事だ！,……！？发生了什么事！
50,,<span class='scene-font-4'>グルルルルル……</span>,<span class='scene-font-4'>（低吼）……</span>
51,,お、おい！　魔物じゃねえか！<br>スゲエ数の魔物が<br>向こうから来てやがる！,喂，喂！那不是魔物吗！有一大群魔物朝这里来了！
52,,<span class='scene-font-katari'>幸せに包まれた通りは</span><br><span class='scene-font-katari'>一変して、恐怖の混乱に陥る。</span>,<span class='scene-font-katari'>被幸福包围的街道突然改变，陷入了恐惧的混乱中。</span>
53,,ビィ、ルリア、ふたりは通りの人を<br>建物の中に誘導してほしい。,碧，露莉亚，请你们两人去把街上的人诱导到建筑物里。
54,,姬塔、君は私と<br>魔物の掃討に当たってくれるか。,姬塔，你能和我一起去扫荡魔物吗？
